strategy,horizon_s,subset,n,h2_kg,degradation_proxy_sum,battery_throughput_kwh
constant,3,clipped,63,0.01789234899303574,16.017501479810335,1.8340076771927643
constant,3,unclipped,3537,0.287298735319936,194.63604477969096,14.329804648490486
constant,5,clipped,63,0.01789234899303574,16.017501479810335,1.8340076771927643
constant,5,unclipped,3537,0.28716554165497543,194.6022983132236,14.32690358089095
constant,10,clipped,63,0.019295322263953665,16.90608302727202,1.8144878623936613
constant,10,unclipped,3537,0.29819397711371004,212.19352014094397,14.158806312719339
instant,1,clipped,63,0.018025542657996305,14.841998268392022,1.8204585000374074
instant,1,unclipped,3537,0.28496340639429407,173.6869696692913,14.185788471096432
perfect,3,clipped,63,0.017119825736264468,13.117848592551157,1.7961765895307154
perfect,3,unclipped,3537,0.2850166838602783,172.73625144289522,14.187801939120353
perfect,5,clipped,63,0.017164223624584654,13.647909998157203,1.794639488762294
perfect,5,unclipped,3537,0.2871033846113272,190.81764749590548,14.138591873935832
perfect,10,clipped,63,0.014979847519231398,10.670151702770431,1.7835068656310402
perfect,10,unclipped,3537,0.28673044234943756,169.32995195043586,14.290741319744475
predicted,3,clipped,63,0.018718149715791232,16.42878862672618,1.8312140254023588
predicted,3,unclipped,3537,0.2852031549912231,181.66552739883963,14.302340838193173
predicted,5,clipped,63,0.019091091977680816,16.797696918808033,1.8229367852859135
predicted,5,unclipped,3537,0.2848657310399897,182.21955991643654,14.31894068621503
predicted,10,clipped,63,0.017537165886474238,14.204927443206937,1.8165928179552533
predicted,10,unclipped,3537,0.28619766768959526,183.2204818858247,14.247941834033806
