strategy,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,runtime_s,w_h2,w_deg,w_smooth,w_soc,w_switch,confidence_decay,selection_score,instant_soc_error
predicted,5,1200,0.20833265115364977,127.21169420840181,0.6909932725129186,-0.009006727487081312,11.240349660784867,60,319.4563504076042,1.883829099999275,0.45,2.5,0.1,3.0,0.1,0.08,2.6621604013806857,-0.019244765752001625
predicted,5,1200,0.2118933617969288,132.83016909888298,0.6927605011707477,-0.007239498829252233,11.19089894989735,63,334.340149947473,1.7504121999954805,0.45,2.0,0.05,3.0,0.05,0.0,2.6743572932286916,-0.007490465604139684
predicted,5,1200,0.2118933617969288,132.83016909888298,0.6927605011707477,-0.007239498829252233,11.19089894989735,63,334.340149947473,1.7335450999671593,0.45,2.0,0.2,3.0,0.05,0.0,2.6743572932286916,-0.010530752784167596
predicted,5,1200,0.2118933617969288,132.83016909888298,0.6927605011707477,-0.007239498829252233,11.19089894989735,63,334.340149947473,1.6200807000277564,0.45,2.0,0.05,3.0,0.1,0.0,2.6743572932286916,-0.01060408180734762
predicted,5,1200,0.2118933617969288,132.83016909888298,0.6927605011707477,-0.007239498829252233,11.19089894989735,63,334.340149947473,1.8189209999982268,0.45,2.0,0.1,3.0,0.1,0.0,2.6743572932286916,-0.010504689580433269
predicted,5,1200,0.21359824070842404,139.39864501124046,0.6933948858332021,-0.006605114166797876,11.157586248565902,63,351.0174516908705,1.7729147999780253,0.3,1.5,0.1,5.0,0.1,0.0,2.7202104902433772,-0.0016042511291201045
predicted,5,1200,0.21359824070842404,139.39864501124046,0.6933948858332021,-0.006605114166797876,11.157586248565902,63,351.0174516908705,1.87217079999391,0.3,1.5,0.05,5.0,0.1,0.0,2.7202104902433772,-0.0016042511291201045
predicted,5,1200,0.21550734990619214,140.81593122501087,0.6942845417006692,-0.0057154582993307335,11.241236355626594,67,364.19125618416814,1.7125354000017978,0.6,1.5,0.05,3.0,0.1,0.08,2.7223611130594616,-0.007109252950643019
predicted,5,1200,0.21160921531167964,136.3952652617596,0.6922931207500594,-0.0077068792499405125,11.263180167027034,63,348.879899183885,1.7098578999866731,0.45,2.0,0.1,3.0,0.1,0.08,2.723220497463026,-0.010504689580433269
predicted,5,1200,0.21160921531167964,136.3952652617596,0.6922931207500594,-0.0077068792499405125,11.263180167027034,63,348.879899183885,1.8711536000482738,0.45,2.0,0.05,3.0,0.1,0.16,2.723220497463026,-0.01060408180734762
predicted,5,1200,0.21137834629241464,136.26910504803624,0.6921743757265092,-0.007825624273490761,11.25855536084665,63,348.879899183885,1.7983961999998428,0.6,2.0,0.1,3.0,0.1,0.16,2.7246381215270983,-0.010680054697117636
predicted,5,1200,0.221865127513643,150.15455312078754,0.6974276090392805,-0.002572390960719484,11.193865563734375,67,374.6674595628523,1.6574984000180848,0.3,2.0,0.1,5.0,0.05,0.08,2.7317020382940544,-0.001510953102850765
predicted,5,1200,0.2196185943646415,147.97606259512958,0.6962480858463043,-0.00375191415369569,11.21383808553115,67,372.5299070558669,1.8726728999754414,0.6,1.5,0.2,5.0,0.2,0.16,2.739707896948338,-0.0058532131875433935
predicted,5,1200,0.22480426772043946,158.11849852487185,0.6983499042591946,-0.001650095740805324,11.357156208944732,68,376.05112893254886,1.7987278999644332,0.6,2.0,0.05,5.0,0.2,0.08,2.7819016701109014,-0.0062737122038507565
predicted,5,1200,0.2462218090460981,187.89528980864435,0.7086695542265418,0.008669554226541809,11.45451411793576,70,380.3325216697091,1.6002024000044912,0.3,1.5,0.05,5.0,0.2,0.16,3.3189966139245097,-0.0016042511291201045
predicted,5,1200,0.19526191283218644,107.627563119239,0.6848389915836662,-0.015161008416333721,11.182267345916092,41,232.53475085833895,2.6989281999995,0.6,2.0,0.2,2.0,0.2,0.08,102.5913358478738,-0.11666560290262196
predicted,5,1200,0.19247372544567867,106.60047900997547,0.6834441997497631,-0.01655580025023684,11.081996941156058,54,305.13503249564656,2.2612279999884777,0.6,2.0,0.2,2.0,0.05,0.16,102.64920844635935,-0.03584446923489337
predicted,5,1200,0.21191112095225692,131.07810565391213,0.6927872516373995,-0.007212748362600441,11.262025771645899,61,314.85928024309527,1.7781309999991208,0.3,1.5,0.05,2.0,0.2,0.08,102.65193977042966,-0.051829228661878
predicted,5,1200,0.17494543913686847,90.79071786733388,0.6744032959218016,-0.025596704078198362,11.052608038170757,32,206.50270116974696,2.944673900026828,0.6,2.5,0.2,2.0,0.2,0.08,102.66628970381572,-0.11666560290262196
predicted,5,1200,0.21258596885472375,133.2086497400531,0.693059008397539,-0.0069409916024609775,11.246396624061939,65,350.9894521968488,1.6012401999905705,0.3,2.0,0.05,3.0,0.2,0.0,102.68195886150693,-0.029226555939348864
predicted,5,1200,0.21299442942726948,134.7074768038685,0.6931615092680073,-0.006838490731992608,11.266753794153347,63,334.340149947473,1.7529452999588102,0.3,2.5,0.2,3.0,0.1,0.08,102.68340625010867,-0.029226555939348864
predicted,5,1200,0.21540967455188773,138.68960949043247,0.694282459645722,-0.005717540354277961,11.302307265732392,65,344.71038647979043,1.7304301999974996,0.3,2.0,0.1,3.0,0.2,0.16,102.6972295125257,-0.02904843840402349
predicted,5,1200,0.21540967455188773,138.68960949043247,0.694282459645722,-0.005717540354277961,11.302307265732392,65,344.71038647979043,1.8652488999650814,0.3,2.0,0.1,3.0,0.2,0.08,102.6972295125257,-0.02904843840402349
predicted,5,1200,0.21193775968524903,136.3973201497989,0.6924660409502901,-0.007533959049709882,11.274699409505278,63,348.879899183885,1.913770499988459,0.45,2.0,0.2,3.0,0.2,0.16,102.71989908868287,-0.051829228661878
