step,horizon_s,perfect,predicted,action_difference_tiers,actions_differ
0,3,0.0,0.0,0.0,False
0,5,0.0,0.0,0.0,False
0,10,0.0,0.0,0.0,False
1,3,0.0,0.0,0.0,False
1,5,0.0,0.0,0.0,False
1,10,0.0,0.0,0.0,False
2,3,0.0,0.0,0.0,False
2,5,0.0,0.0,0.0,False
2,10,0.0,0.0,0.0,False
3,3,0.0,0.0,0.0,False
3,5,0.0,0.0,0.0,False
3,10,0.0,0.0,0.0,False
4,3,0.0,0.0,0.0,False
4,5,0.0,0.0,0.0,False
4,10,0.0,0.0,0.0,False
5,3,0.0,0.0,0.0,False
5,5,0.0,0.0,0.0,False
5,10,0.0,0.0,0.0,False
6,3,0.0,0.0,0.0,False
6,5,0.0,0.0,0.0,False
6,10,0.0,0.0,0.0,False
7,3,0.0,0.0,0.0,False
7,5,0.0,0.0,0.0,False
7,10,0.0,0.0,0.0,False
8,3,0.0,0.0,0.0,False
8,5,0.0,0.0,0.0,False
8,10,0.0,0.0,0.0,False
9,3,0.0,0.0,0.0,False
9,5,0.0,0.0,0.0,False
9,10,0.0,0.0,0.0,False
10,3,0.0,0.0,0.0,False
10,5,0.0,0.0,0.0,False
10,10,0.0,0.0,0.0,False
11,3,0.0,0.0,0.0,False
11,5,0.0,0.0,0.0,False
11,10,0.0,0.0,0.0,False
12,3,0.0,0.0,0.0,False
12,5,0.0,0.0,0.0,False
12,10,0.0,0.0,0.0,False
13,3,0.0,0.0,0.0,False
13,5,0.0,0.0,0.0,False
13,10,0.0,0.0,0.0,False
14,3,0.0,0.0,0.0,False
14,5,0.0,0.0,0.0,False
14,10,0.0,0.0,0.0,False
15,3,0.0,0.0,0.0,False
15,5,0.0,0.0,0.0,False
15,10,0.0,0.0,0.0,False
16,3,0.0,0.0,0.0,False
16,5,0.0,0.0,0.0,False
16,10,0.0,0.0,0.0,False
17,3,0.0,0.0,0.0,False
17,5,0.0,0.0,0.0,False
17,10,0.0,0.0,0.0,False
18,3,0.0,0.0,0.0,False
18,5,0.0,0.0,0.0,False
18,10,0.0,0.0,0.0,False
19,3,0.0,0.0,0.0,False
19,5,0.0,0.0,0.0,False
19,10,0.0,0.0,0.0,False
