strategy,horizon_s,tier,count,p_fc_kw,share_pct
constant,3,0,1803,0.0,50.083333333333336
constant,3,1,504,3.4812811194420124,14.0
constant,3,2,516,11.805932244129895,14.333333333333334
constant,3,3,448,15.460267757196538,12.444444444444445
constant,3,4,224,20.1833795237559,6.222222222222222
constant,3,5,90,24.1847225108308,2.5
constant,3,6,15,32.35539093375507,0.4166666666666667
constant,5,0,1810,0.0,50.27777777777778
constant,5,1,529,3.4812811194420124,14.694444444444445
constant,5,2,475,11.805932244129895,13.194444444444445
constant,5,3,424,15.460267757196538,11.777777777777779
constant,5,4,242,20.1833795237559,6.722222222222222
constant,5,5,105,24.1847225108308,2.9166666666666665
constant,5,6,15,32.35539093375507,0.4166666666666667
constant,10,0,2095,0.0,58.19444444444444
constant,10,1,269,3.4812811194420124,7.472222222222222
constant,10,2,361,11.805932244129895,10.027777777777779
constant,10,3,356,15.460267757196538,9.88888888888889
constant,10,4,312,20.1833795237559,8.666666666666666
constant,10,5,177,24.1847225108308,4.916666666666667
constant,10,6,30,32.35539093375507,0.8333333333333334
instant,1,0,1748,0.0,48.55555555555556
instant,1,1,433,3.4812811194420124,12.027777777777779
instant,1,2,506,11.805932244129895,14.055555555555555
instant,1,3,822,15.460267757196538,22.833333333333332
instant,1,4,91,20.1833795237559,2.5277777777777777
perfect,3,0,1802,0.0,50.05555555555556
perfect,3,1,515,3.4812811194420124,14.305555555555555
perfect,3,2,492,11.805932244129895,13.666666666666666
perfect,3,3,446,15.460267757196538,12.38888888888889
perfect,3,4,233,20.1833795237559,6.472222222222222
perfect,3,5,112,24.1847225108308,3.111111111111111
perfect,5,0,1810,0.0,50.27777777777778
perfect,5,1,522,3.4812811194420124,14.5
perfect,5,2,415,11.805932244129895,11.527777777777779
perfect,5,3,479,15.460267757196538,13.305555555555555
perfect,5,4,321,20.1833795237559,8.916666666666666
perfect,5,5,53,24.1847225108308,1.4722222222222223
perfect,10,0,1819,0.0,50.52777777777778
perfect,10,1,524,3.4812811194420124,14.555555555555555
perfect,10,2,462,11.805932244129895,12.833333333333334
perfect,10,3,390,15.460267757196538,10.833333333333334
perfect,10,4,306,20.1833795237559,8.5
perfect,10,5,99,24.1847225108308,2.75
predicted,3,0,1778,0.0,49.388888888888886
predicted,3,1,529,3.4812811194420124,14.694444444444445
predicted,3,2,497,11.805932244129895,13.805555555555555
predicted,3,3,443,15.460267757196538,12.305555555555555
predicted,3,4,294,20.1833795237559,8.166666666666666
predicted,3,5,59,24.1847225108308,1.6388888888888888
predicted,5,0,1797,0.0,49.916666666666664
predicted,5,1,500,3.4812811194420124,13.88888888888889
predicted,5,2,495,11.805932244129895,13.75
predicted,5,3,471,15.460267757196538,13.083333333333334
predicted,5,4,283,20.1833795237559,7.861111111111111
predicted,5,5,54,24.1847225108308,1.5
predicted,10,0,1845,0.0,51.25
predicted,10,1,440,3.4812811194420124,12.222222222222221
predicted,10,2,494,11.805932244129895,13.722222222222221
predicted,10,3,486,15.460267757196538,13.5
predicted,10,4,277,20.1833795237559,7.694444444444445
predicted,10,5,58,24.1847225108308,1.6111111111111112
