strategy,horizon_s,tier,count,proxy_sum,weighted_proxy_sum
constant,3,0,1803,0.0,0.0
constant,3,1,504,5.669406366518462,14.173515916296155
constant,3,2,516,38.353727373016945,95.88431843254236
constant,3,3,448,54.95804423688665,137.3951105922166
constant,3,4,224,46.15711009139599,115.39277522849
constant,3,5,90,26.709551363683772,66.77387840920943
constant,3,6,15,8.205574985058707,20.51393746264677
constant,5,0,1810,0.0,0.0
constant,5,1,529,5.950626920413227,14.876567301033068
constant,5,2,475,35.30624128330049,88.2656032082512
constant,5,3,424,52.013863295624866,130.03465823906217
constant,5,4,242,49.86616358088317,124.66540895220794
constant,5,5,105,31.161143257631064,77.90285814407765
constant,5,6,15,8.205574985058707,20.51393746264677
constant,10,0,2095,0.0,0.0
constant,10,1,269,3.0259331599076713,7.564832899769178
constant,10,2,361,26.832743375308368,67.08185843827091
constant,10,3,356,43.67201729538314,109.18004323845784
constant,10,4,312,64.29026048444442,160.72565121111106
constant,10,5,177,52.528784348578085,131.3219608714452
constant,10,6,30,16.411149970117414,41.02787492529354
instant,1,0,1748,0.0,0.0
instant,1,1,433,4.870739993457329,12.176849983643324
instant,1,2,506,37.6104380828422,94.0260952071055
instant,1,3,822,100.83819723821613,252.09549309554032
instant,1,4,91,18.751325974629623,46.87831493657406
perfect,3,0,1802,0.0,0.0
perfect,3,1,515,5.793143410232159,14.482858525580397
perfect,3,2,492,36.569833076597554,91.42458269149388
perfect,3,3,446,54.712695825114835,136.78173956278707
perfect,3,4,233,48.01163683613958,120.02909209034897
perfect,3,5,112,33.2385528081398,83.09638202034951
perfect,5,0,1810,0.0,0.0
perfect,5,1,522,5.871885165322693,14.679712913306734
perfect,5,2,415,30.846505542252004,77.11626385563
perfect,5,3,479,58.76094461934979,146.90236154837447
perfect,5,4,321,66.14478722918801,165.36196807297003
perfect,5,5,53,15.728958025280443,39.32239506320111
perfect,10,0,1819,0.0,0.0
perfect,10,1,524,5.8943828096342745,14.735957024085685
perfect,10,2,462,34.339965206073316,85.84991301518328
perfect,10,3,390,47.84294029550401,119.60735073876
perfect,10,4,306,63.05390932128203,157.63477330320507
perfect,10,5,99,29.380506500052146,73.45126625013036
predicted,3,0,1778,0.0,0.0
predicted,3,1,529,5.950626920413227,14.876567301033068
predicted,3,2,497,36.941477721684926,92.35369430421231
predicted,3,3,443,54.34467320745711,135.86168301864276
predicted,3,4,294,60.58120699495724,151.4530174873931
predicted,3,5,59,17.50959478285936,43.7739869571484
predicted,5,0,1797,0.0,0.0
predicted,5,1,500,5.624411077895299,14.06102769473825
predicted,5,2,495,36.79281986364998,91.98204965912494
predicted,5,3,471,57.77955097226253,144.44887743065632
predicted,5,4,283,58.31456319582619,145.78640798956548
predicted,5,5,54,16.025730818210263,40.06432704552565
predicted,10,0,1845,0.0,0.0
predicted,10,1,440,4.949481748547864,12.37370437136966
predicted,10,2,494,36.718490934632506,91.79622733658125
predicted,10,3,486,59.619664060551145,149.04916015137786
predicted,10,4,277,57.07821203266379,142.69553008165948
predicted,10,5,58,17.21282198992954,43.03205497482385
