reference_strategy,strategy,metric,mean_difference,difference_std,difference_ci95,mean_relative_pct,relative_pct_std,relative_pct_ci95,win_share,n_pairs
average,daisy_chain,total_hydrogen_g,174.52940722401115,16.68965433712126,10.34435492897733,14.716980265139814,0.8935563538749598,0.553831966008218,0.0,10
average,daisy_chain,hydrogen_g_per_net_kwh,9.945172500917419,0.5705674765576569,0.35364138580843707,14.716980265139814,0.8935563538749599,0.5538319660082182,0.0,10
average,daisy_chain,energy_weighted_efficiency_lhv_pct,-5.6935986386262245,0.3299021863151756,0.20447549350973648,-12.824177497069744,0.6803257869565004,0.4216702913948866,1.0,10
average,daisy_chain,total_stack_state_changes,28.7,3.4334951418181574,2.128102336720571,1435.0,171.67475709090786,106.40511683602855,0.0,10
average,daisy_chain,total_evaluated_objective_g,177.9486677255262,16.842396253617167,10.439025349637365,15.002345464682776,0.8900331371283948,0.5516482536447377,0.0,10
average,instantaneous,total_hydrogen_g,-6.851364198026476,0.9029746421715351,0.559669481572966,-0.5792745762832627,0.07709015274399598,0.047780971696896095,1.0,10
average,instantaneous,hydrogen_g_per_net_kwh,-0.3917213795117306,0.05352196600691229,0.03317325821666222,-0.5792745762832597,0.07709015274399851,0.047780971696897656,1.0,10
average,instantaneous,energy_weighted_efficiency_lhv_pct,0.2585351465929634,0.033890691764801875,0.02100566838127514,0.5827041303128893,0.07797099136101547,0.0483269211279357,0.0,10
average,instantaneous,total_stack_state_changes,19.6,5.399588461684424,3.346699601431569,980.0,269.97942308422114,167.33498007157843,0.0,10
average,instantaneous,total_evaluated_objective_g,-4.516259465284497,0.6413422584739962,0.39750805011287343,-0.38003435614576564,0.038890114798589996,0.024104342880877105,1.0,10
average,sticky,total_hydrogen_g,-3.1690418431383476,0.7501130676666955,0.4649248961106215,-0.2651672227173838,0.048159644515362254,0.029849656922625808,1.0,10
average,sticky,hydrogen_g_per_net_kwh,-0.17943175679256457,0.033830278756465076,0.020968224010772328,-0.26516722271738,0.0481596445153592,0.029849656922623917,1.0,10
average,sticky,energy_weighted_efficiency_lhv_pct,0.11789391523875921,0.020695189218536233,0.012827011169591987,0.26589326987298967,0.04841619050845449,0.030008665776527024,0.0,10
average,sticky,total_stack_state_changes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
average,sticky,total_evaluated_objective_g,-3.1690418431383476,0.7501130676666955,0.4649248961106215,-0.2651141541114863,0.048152688407312225,0.029845345482188496,1.0,10
average,one_step_greedy,total_hydrogen_g,-3.1690418431383476,0.7501130676666955,0.4649248961106215,-0.2651672227173838,0.048159644515362254,0.029849656922625808,1.0,10
average,one_step_greedy,hydrogen_g_per_net_kwh,-0.17943175679256457,0.033830278756465076,0.020968224010772328,-0.26516722271738,0.0481596445153592,0.029849656922623917,1.0,10
average,one_step_greedy,energy_weighted_efficiency_lhv_pct,0.11789391523875921,0.020695189218536233,0.012827011169591987,0.26589326987298967,0.04841619050845449,0.030008665776527024,0.0,10
average,one_step_greedy,total_stack_state_changes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
average,one_step_greedy,total_evaluated_objective_g,-3.1690418431383476,0.7501130676666955,0.4649248961106215,-0.2651141541114863,0.048152688407312225,0.029845345482188496,1.0,10
average,break_even_hysteresis,total_hydrogen_g,-4.562774762673802,0.7734162769985049,0.47936837489354234,-0.38360074467826405,0.04813986842294904,0.02983739957355804,1.0,10
average,break_even_hysteresis,hydrogen_g_per_net_kwh,-0.2595170080524468,0.03482739932484895,0.021586245741959692,-0.3836007446782594,0.048139868422948796,0.029837399573557886,1.0,10
average,break_even_hysteresis,energy_weighted_efficiency_lhv_pct,0.1707855940593923,0.02011219820304528,0.012465669594576265,0.3850990100181787,0.04852220143854613,0.030074372031735665,0.0,10
average,break_even_hysteresis,total_stack_state_changes,10.2,4.565571644870381,2.829770622820474,510.0,228.27858224351908,141.48853114102374,0.0,10
average,break_even_hysteresis,total_evaluated_objective_g,-3.347567197675448,0.996956838530786,0.6179202503730477,-0.2794049261839922,0.06774217075797011,0.04198703243489114,1.0,10
average,offline_dp,total_hydrogen_g,-6.017573190649614,0.8909229055786798,0.5521997378437773,-0.5081907235932015,0.07269821506929916,0.045058820523761145,1.0,10
average,offline_dp,hydrogen_g_per_net_kwh,-0.3436893139837295,0.05055490167380631,0.03133425269031699,-0.5081907235932029,0.07269821506929888,0.04505882052376098,1.0,10
average,offline_dp,energy_weighted_efficiency_lhv_pct,0.22662383451517912,0.031837416768467554,0.019733035353661436,0.510834789498662,0.07344044004605757,0.04551885633047428,0.0,10
average,offline_dp,total_stack_state_changes,10.2,4.565571644870381,2.829770622820474,510.0,228.27858224351908,141.48853114102374,0.0,10
average,offline_dp,total_evaluated_objective_g,-4.80236562565126,0.741671628804497,0.45969283809803446,-0.4039693890377629,0.04577015981998114,0.028368638964608298,1.0,10
