strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,load_event_count,unique_demand_count
average,900,1.0,0.1191379965684705,1.0,2.0,1078.8286001245567,64.69442407974428,46.37184800195627,2,2,0,1,0.0,1.0,0.0,0.0,1079.0668761176937,0.09949159994721413,2026,development,50,50
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1295.9753827405054,77.7161274721889,38.602026343548246,29,15,14,29,0.5288888888888889,0.4711111111111111,0.0,0.0,1299.4303846409912,0.06997630000114441,2026,development,50,50
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1076.0074902664192,64.52524977576603,46.49342715332968,12,7,5,12,0.12666666666666668,0.8733333333333333,0.0,0.0,1077.437146225241,0.018667199881747365,2026,development,50,50
sticky,900,1.0,0.1191379965684705,1.0,2.0,1078.2273573213733,64.65836918012486,46.397705943411495,2,2,0,2,0.03777777777777778,0.9622222222222222,0.0,0.0,1078.4656333145103,0.017901699990034103,2026,development,50,50
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1078.2273573213733,64.65836918012486,46.397705943411495,2,2,0,2,0.03777777777777778,0.9622222222222222,0.0,0.0,1078.4656333145103,0.019845300121232867,2026,development,50,50
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1077.3803597755086,64.60757703536679,46.434182144885995,8,5,3,8,0.044444444444444446,0.9555555555555556,0.0,0.0,1078.3334637480564,0.024217600002884865,2026,development,50,50
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1076.4302676941254,64.550602591029,46.47516645207752,8,5,3,8,0.09444444444444444,0.9055555555555556,0.0,0.0,1077.3833716666732,0.031080699991434813,2026,development,50,50
average,900,1.0,0.1191379965684705,1.0,2.0,1064.5497503678846,65.48467738744243,45.81224371390546,2,2,0,1,0.0,1.0,0.0,0.0,1064.7880263610216,0.06744589982554317,2027,development,54,54
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1278.3381746310977,78.63565129656048,38.15063461083347,25,13,12,25,0.48333333333333334,0.5166666666666667,0.0,0.0,1281.3166245453094,0.07041070004925132,2027,development,54,54
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1059.5089523291251,65.17459790714634,46.03020342793805,28,15,13,28,0.2833333333333333,0.7166666666666667,0.0,0.0,1062.8448162330424,0.018940299982205033,2027,development,54,54
sticky,900,1.0,0.1191379965684705,1.0,2.0,1063.5479755156332,65.42305424301742,45.85539508529129,2,2,0,2,0.03,0.97,0.0,0.0,1063.7862515087702,0.017716299975290895,2027,development,54,54
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1063.5479755156332,65.42305424301742,45.85539508529129,2,2,0,2,0.03,0.97,0.0,0.0,1063.7862515087702,0.020320499781519175,2027,development,54,54
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1062.6530876115926,65.36800613871438,45.89401111047886,20,11,9,20,0.06888888888888889,0.9311111111111111,0.0,0.0,1065.035847542962,0.024410299956798553,2027,development,54,54
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1060.234007188649,65.21919890728532,45.99872507273153,20,11,9,20,0.22666666666666666,0.7733333333333333,0.0,0.0,1062.6167671200185,0.03049020003527403,2027,development,54,54
average,900,1.0,0.1191379965684705,1.0,2.0,1110.1933286220067,65.85164097825036,45.55695128373248,2,2,0,1,0.0,1.0,0.0,0.0,1110.4316046151437,0.06516820006072521,2028,development,59,59
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1327.3412062281757,78.73186976962614,38.104010596701855,36,19,17,36,0.4633333333333333,0.5366666666666666,0.0,0.0,1331.6301741046407,0.07206699997186661,2028,development,59,59
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1105.2511857443087,65.55849544219375,45.76065969429199,26,14,12,26,0.25666666666666665,0.7433333333333333,0.0,0.0,1108.348773655089,0.019646800123155117,2028,development,59,59
sticky,900,1.0,0.1191379965684705,1.0,2.0,1109.6695590239606,65.82057333747407,45.578454393255825,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,1109.9078350170976,0.018171600066125393,2028,development,59,59
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1109.6695590239606,65.82057333747407,45.578454393255825,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,1109.9078350170976,0.02005950012244284,2028,development,59,59
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1107.7938653523413,65.70931568255558,45.65562689000047,14,8,6,14,0.08222222222222222,0.9177777777777778,0.0,0.0,1109.4617973042998,0.022751200012862682,2028,development,59,59
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1106.1585861141814,65.61231832316399,45.723121460576216,14,8,6,14,0.18666666666666668,0.8133333333333334,0.0,0.0,1107.82651806614,0.029646899783983827,2028,development,59,59
average,900,1.0,0.1191379965684705,1.0,2.0,1146.9281537640097,65.78951474984704,45.59997153660392,2,2,0,1,0.0,1.0,0.0,0.0,1147.1664297571467,0.0687328998465091,2029,development,59,59
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1360.594806659604,78.04575361371359,38.43899073418448,33,17,16,33,0.4855555555555556,0.5144444444444445,0.0,0.0,1364.5263605463635,0.07326630013994873,2029,development,59,59
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1143.2004675411597,65.57568909133813,45.74866145625092,20,11,9,20,0.16,0.84,0.0,0.0,1145.5832274725292,0.019011199939996004,2029,development,59,59
sticky,900,1.0,0.1191379965684705,1.0,2.0,1147.039080623328,65.79587768044851,45.59556169415546,2,2,0,2,0.03888888888888889,0.9611111111111111,0.0,0.0,1147.2773566164649,0.01843529986217618,2029,development,59,59
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1147.039080623328,65.79587768044851,45.59556169415546,2,2,0,2,0.03888888888888889,0.9611111111111111,0.0,0.0,1147.2773566164649,0.02092160005122423,2029,development,59,59
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1144.918890535153,65.67426040510246,45.679996721621514,8,5,3,8,0.03222222222222222,0.9677777777777777,0.0,0.0,1145.8719945077007,0.023107699817046523,2029,development,59,59
