strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,penalty_multiple
one_step_greedy,900,1.0,0.0,1.0,2.0,1076.0074902664192,64.52524977576603,46.49342715332968,12,7,5,12,0.12666666666666668,0.8733333333333333,0.0,0.0,1076.0074902664192,0.02044200012460351,2026,development,0.0
break_even_hysteresis,900,1.0,0.0,1.0,2.0,1076.0074902664192,64.52524977576603,46.49342715332968,12,7,5,12,0.12666666666666668,0.8733333333333333,0.0,0.0,1076.0074902664192,0.022859300021082163,2026,development,0.0
offline_dp,900,1.0,0.0,1.0,2.0,1076.0074902664192,64.52524977576603,46.49342715332968,12,7,5,12,0.12666666666666668,0.8733333333333333,0.0,0.0,1076.0074902664192,0.030877299839630723,2026,development,0.0
one_step_greedy,900,1.0,0.05956899828423525,1.0,2.0,1077.3281181830343,64.60444424880761,46.43643382251283,2,2,0,2,0.025555555555555557,0.9744444444444444,0.0,0.0,1077.4472561796028,0.02063669986091554,2026,development,0.5
break_even_hysteresis,900,1.0,0.05956899828423525,1.0,2.0,1076.5879322661242,64.56005730763742,46.46836023866229,12,7,5,12,0.08222222222222222,0.9177777777777778,0.0,0.0,1077.302760245535,0.022684099851176143,2026,development,0.5
offline_dp,900,1.0,0.05956899828423525,1.0,2.0,1076.0074902664192,64.52524977576603,46.49342715332968,12,7,5,12,0.12666666666666668,0.8733333333333333,0.0,0.0,1076.72231824583,0.030289700021967292,2026,development,0.5
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1078.2273573213733,64.65836918012486,46.397705943411495,2,2,0,2,0.03777777777777778,0.9622222222222222,0.0,0.0,1078.4656333145103,0.02012469992041588,2026,development,1.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1077.3803597755086,64.60757703536679,46.434182144885995,8,5,3,8,0.044444444444444446,0.9555555555555556,0.0,0.0,1078.3334637480564,0.022322499891743064,2026,development,1.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1076.4302676941254,64.550602591029,46.47516645207752,8,5,3,8,0.09444444444444444,0.9055555555555556,0.0,0.0,1077.3833716666732,0.030746200121939182,2026,development,1.0
one_step_greedy,900,1.0,0.238275993136941,1.0,2.0,1078.2273573213733,64.65836918012486,46.397705943411495,2,2,0,2,0.03777777777777778,0.9622222222222222,0.0,0.0,1078.7039093076473,0.020200799917802215,2026,development,2.0
break_even_hysteresis,900,1.0,0.238275993136941,1.0,2.0,1077.4916162081868,64.61424878177438,46.429387581863814,2,2,0,2,0.027777777777777776,0.9722222222222222,0.0,0.0,1077.9681681944608,0.02276169997639954,2026,development,2.0
offline_dp,900,1.0,0.238275993136941,1.0,2.0,1077.3281181830343,64.60444424880761,46.43643382251283,2,2,0,2,0.025555555555555557,0.9744444444444444,0.0,0.0,1077.8046701693083,0.029751500114798546,2026,development,2.0
one_step_greedy,900,1.0,0.476551986273882,1.0,2.0,1078.2273573213733,64.65836918012486,46.397705943411495,2,2,0,2,0.03777777777777778,0.9622222222222222,0.0,0.0,1079.180461293921,0.021920200204476714,2026,development,4.0
break_even_hysteresis,900,1.0,0.476551986273882,1.0,2.0,1077.7368632459156,64.62895558122455,46.41882222945142,2,2,0,2,0.03111111111111111,0.9688888888888889,0.0,0.0,1078.6899672184634,0.022272000089287758,2026,development,4.0
offline_dp,900,1.0,0.476551986273882,1.0,2.0,1077.3281181830343,64.60444424880761,46.43643382251283,2,2,0,2,0.025555555555555557,0.9744444444444444,0.0,0.0,1078.281222155582,0.030296199955046177,2026,development,4.0
one_step_greedy,900,1.0,0.0,1.0,2.0,1059.5089523291251,65.17459790714634,46.03020342793805,28,15,13,28,0.2833333333333333,0.7166666666666667,0.0,0.0,1059.5089523291251,0.02154969982802868,2027,development,0.0
break_even_hysteresis,900,1.0,0.0,1.0,2.0,1059.5089523291251,65.17459790714634,46.03020342793805,28,15,13,28,0.2833333333333333,0.7166666666666667,0.0,0.0,1059.5089523291251,0.022443599998950958,2027,development,0.0
offline_dp,900,1.0,0.0,1.0,2.0,1059.5089523291251,65.17459790714634,46.03020342793805,28,15,13,28,0.2833333333333333,0.7166666666666667,0.0,0.0,1059.5089523291251,0.02931799995712936,2027,development,0.0
one_step_greedy,900,1.0,0.05956899828423525,1.0,2.0,1062.8682015487348,65.38123865017796,45.884722619763956,2,2,0,2,0.021111111111111112,0.9788888888888889,0.0,0.0,1062.9873395453033,0.02006089990027249,2027,development,0.5
break_even_hysteresis,900,1.0,0.05956899828423525,1.0,2.0,1060.991663466721,65.26580534998372,45.96587729076043,28,15,13,28,0.16777777777777778,0.8322222222222222,0.0,0.0,1062.6595954186796,0.02260929998010397,2027,development,0.5
offline_dp,900,1.0,0.05956899828423525,1.0,2.0,1059.5089523291251,65.17459790714634,46.03020342793805,28,15,13,28,0.2833333333333333,0.7166666666666667,0.0,0.0,1061.1768842810836,0.031017799861729145,2027,development,0.5
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1063.5479755156332,65.42305424301742,45.85539508529129,2,2,0,2,0.03,0.97,0.0,0.0,1063.7862515087702,0.01999089983291924,2027,development,1.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1062.6530876115926,65.36800613871438,45.89401111047886,20,11,9,20,0.06888888888888889,0.9311111111111111,0.0,0.0,1065.035847542962,0.02233889978379011,2027,development,1.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1060.234007188649,65.21919890728532,45.99872507273153,20,11,9,20,0.22666666666666666,0.7733333333333333,0.0,0.0,1062.6167671200185,0.031047699972987175,2027,development,1.0
one_step_greedy,900,1.0,0.238275993136941,1.0,2.0,1063.5479755156332,65.42305424301742,45.85539508529129,2,2,0,2,0.03,0.97,0.0,0.0,1064.0245275019072,0.02090059989131987,2027,development,2.0
break_even_hysteresis,900,1.0,0.238275993136941,1.0,2.0,1063.0381450404595,65.39169254838784,45.877387219792475,2,2,0,2,0.023333333333333334,0.9766666666666667,0.0,0.0,1063.5146970267335,0.022707900032401085,2027,development,2.0
offline_dp,900,1.0,0.238275993136941,1.0,2.0,1062.8682015487348,65.38123865017796,45.884722619763956,2,2,0,2,0.021111111111111112,0.9788888888888889,0.0,0.0,1063.3447535350087,0.031059000175446272,2027,development,2.0
one_step_greedy,900,1.0,0.476551986273882,1.0,2.0,1063.5479755156332,65.42305424301742,45.85539508529129,2,2,0,2,0.03,0.97,0.0,0.0,1064.501079488181,0.020013100001960993,2027,development,4.0
break_even_hysteresis,900,1.0,0.476551986273882,1.0,2.0,1063.2930602780464,65.40737339570262,45.866388516330666,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1064.2461642505941,0.022761299973353744,2027,development,4.0
offline_dp,900,1.0,0.476551986273882,1.0,2.0,1062.8682015487348,65.38123865017796,45.884722619763956,2,2,0,2,0.021111111111111112,0.9788888888888889,0.0,0.0,1063.8213055212825,0.030238599982112646,2027,development,4.0
one_step_greedy,900,1.0,0.0,1.0,2.0,1105.2511857443087,65.55849544219375,45.76065969429199,26,14,12,26,0.25666666666666665,0.7433333333333333,0.0,0.0,1105.2511857443087,0.02115119993686676,2028,development,0.0
break_even_hysteresis,900,1.0,0.0,1.0,2.0,1105.2511857443087,65.55849544219375,45.76065969429199,26,14,12,26,0.25666666666666665,0.7433333333333333,0.0,0.0,1105.2511857443087,0.023227500030770898,2028,development,0.0
