strategy,failed_stack,n_seeds,all_power_balanced,all_faulted_power_zero,all_immediate_reconfiguration,incremental_post_fault_hydrogen_g_mean,incremental_post_fault_hydrogen_g_ci95,incremental_post_fault_hydrogen_pct_mean,incremental_post_fault_hydrogen_pct_ci95,total_stack_state_changes_mean,total_stack_state_changes_ci95,fault_step_state_changes_mean,fault_step_state_changes_ci95,reserve_stack_1_post_fault_share_mean,reserve_stack_1_post_fault_share_ci95,power_balance_max_abs_kw_mean,power_balance_max_abs_kw_ci95,faulted_stack_post_fault_max_kw_mean,faulted_stack_post_fault_max_kw_ci95
average,stack_1,10,True,True,True,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daisy_chain,stack_1,10,True,True,True,0.0,0.0,0.0,0.0,28.9,2.899063143691615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instantaneous,stack_1,10,True,True,True,0.0,0.0,0.0,0.0,20.8,2.475779922008865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sticky,stack_1,10,True,True,True,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one_step_greedy,stack_1,10,True,True,True,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
break_even_hysteresis,stack_1,10,True,True,True,0.0,0.0,0.0,0.0,11.6,3.732586591985063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offline_dp,stack_1,10,True,True,True,0.0,0.0,0.0,0.0,11.6,3.732586591985063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average,stack_2,10,True,True,True,15.678743890020456,1.836990822897446,2.2990166570925963,0.15570475981667287,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
daisy_chain,stack_2,10,True,True,True,2.562103943737861,0.32604177311732896,0.31411530891617856,0.022768797299265894,30.9,2.899063143691615,2.0,0.0,0.504770778195653,0.04560854688360243,0.0,0.0,0.0,0.0
instantaneous,stack_2,10,True,True,True,10.397451643485846,1.1444613881440593,1.5269907160072016,0.07073678999032805,22.8,2.475779922008865,2.0,0.0,0.8200405667584455,0.04806839489931603,0.0,0.0,0.0,0.0
sticky,stack_2,10,True,True,True,10.679494480941713,1.1042370967708752,1.5667357942107896,0.06250411869230452,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
one_step_greedy,stack_2,10,True,True,True,10.679494480941713,1.1042370967708752,1.5667357942107896,0.06250411869230452,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
break_even_hysteresis,stack_2,10,True,True,True,10.46218270029882,1.1594649380539903,1.5331725019313636,0.07194701074785662,15.2,3.6116985231636125,2.0,0.0,0.9483415142591646,0.02472818035757505,0.0,0.0,0.0,0.0
offline_dp,stack_2,10,True,True,True,10.286845076815359,1.090050535131999,1.509891573581228,0.05927312040660229,14.4,3.6399521364374494,0.6,0.598789890807563,0.8607696486813792,0.057888692701036776,0.0,0.0,0.0,0.0
average,stack_3,10,True,True,True,24.77150700080219,2.722204813858572,3.631451079736658,0.20016088388712577,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
daisy_chain,stack_3,10,True,True,True,-0.32623461117743774,1.493214939859699,-0.033106053485739695,0.1774242861234004,30.9,2.899063143691615,2.0,0.0,0.504770778195653,0.04560854688360243,0.0,0.0,0.0,0.0
instantaneous,stack_3,10,True,True,True,22.930008218940863,2.4541002194481547,3.3693438377588754,0.14639591370224506,22.8,2.475779922008865,2.0,0.0,0.8200405667584455,0.04806839489931603,0.0,0.0,0.0,0.0
sticky,stack_3,10,True,True,True,23.057281124673743,2.43593338800402,3.3815942319229757,0.1437265880381047,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
one_step_greedy,stack_3,10,True,True,True,23.057281124673743,2.43593338800402,3.3815942319229757,0.1437265880381047,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
break_even_hysteresis,stack_3,10,True,True,True,22.95843697114475,2.4695478482431565,3.3666471779956693,0.14951240873958696,14.6,3.6981206037661885,2.0,0.0,0.9579516616490394,0.021224693671551706,0.0,0.0,0.0,0.0
offline_dp,stack_3,10,True,True,True,22.851886333117733,2.447270987905646,3.3547501227069114,0.14150833767424686,14.4,3.7325865919850627,1.4,0.5987898908075631,0.8684598481597545,0.06079083884105285,0.0,0.0,0.0,0.0
