strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,failed_stack,fault_step,fault_demand_net_power_kw,faulted_stack_active_before_fault,faulted_stack_post_fault_max_kw,reconfiguration_delay_steps,fault_step_state_changes,reserve_stack_1_post_fault_share,healthy_post_fault_hydrogen_g,faulted_post_fault_hydrogen_g,incremental_post_fault_hydrogen_g,incremental_post_fault_hydrogen_pct
average,900,1.0,0.1191379965684705,1.0,2.0,951.5144235153705,65.0980319067471,46.08434252355736,2,2,0,1,0.0,1.0,0.0,0.0,951.7526995085075,0.06456249998882413,3026,stack_1,308,104.36533502451285,False,0.0,0,0,0.0,595.3668128246104,595.3668128246104,0.0,0.0
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1111.912473012548,76.07169356220658,39.43648234341975,24,13,11,24,0.6266666666666667,0.37333333333333335,0.0,0.0,1114.7717849301912,0.06068850005976856,3026,stack_1,308,104.36533502451285,False,0.0,0,0,0.0,691.2108053789598,691.2108053789598,0.0,0.0
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,946.0582475295361,64.72474663682713,46.35012349809735,28,15,13,28,0.33,0.67,0.0,0.0,949.3941114334532,0.017969700042158365,3026,stack_1,308,104.36533502451285,False,0.0,0,0,0.0,591.4594370373995,591.4594370373995,0.0,0.0
sticky,900,1.0,0.1191379965684705,1.0,2.0,951.904570463525,65.1247238809848,46.0654544268395,2,2,0,2,0.034444444444444444,0.9655555555555555,0.0,0.0,952.142846456662,0.017299799947068095,3026,stack_1,308,104.36533502451285,False,0.0,0,0,0.0,594.6581044840832,594.6581044840832,0.0,0.0
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,951.904570463525,65.1247238809848,46.0654544268395,2,2,0,2,0.034444444444444444,0.9655555555555555,0.0,0.0,952.142846456662,0.019196700071915984,3026,stack_1,308,104.36533502451285,False,0.0,0,0,0.0,594.6581044840832,594.6581044840832,0.0,0.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,949.5764740290577,64.96544674106188,46.178394061651815,26,14,12,26,0.11333333333333333,0.8866666666666667,0.0,0.0,952.674061939838,0.02089660009369254,3026,stack_1,308,104.36533502451285,False,0.0,0,0,0.0,594.3468428895351,594.3468428895351,0.0,0.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,946.198039225526,64.73431051106903,46.343275711371405,26,14,12,26,0.3188888888888889,0.6811111111111111,0.0,0.0,949.2956271363063,0.023747900035232306,3026,stack_1,308,104.36533502451285,False,0.0,0,0,0.0,591.5992287333893,591.5992287333893,0.0,0.0
average,900,1.0,0.1191379965684705,1.0,2.0,964.7903960551329,66.00630997655671,45.45020015609886,4,3,1,2,0.0,1.0,0.0,0.0,965.2669480414067,0.06600100011564791,3026,stack_2,308,104.36533502451285,True,0.0,0,2,1.0,595.3668128246104,608.6427853643702,13.275972539759778,2.229881184806781
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1113.8931898292715,76.20720466256061,39.36635667564208,26,14,12,25,0.6266666666666667,0.37333333333333335,0.0,0.0,1116.9907777400517,0.06298460019752383,3026,stack_2,308,104.36533502451285,True,0.0,0,2,0.33783783783783783,691.2108053789598,693.191522195677,1.9807168167171767,0.28655755976372266
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,953.914480177973,65.26223221873278,45.96839393947179,30,16,14,29,0.33,0.67,0.0,0.0,957.4886200750271,0.01816760003566742,3026,stack_2,308,104.36533502451285,True,0.0,0,2,0.6266891891891891,591.4594370373995,599.3156696858374,7.856232648437867,1.3282791948995731
sticky,900,1.0,0.1191379965684705,1.0,2.0,960.3885949052458,65.70515995232077,45.65851452423173,4,3,1,3,0.034444444444444444,0.9655555555555555,0.0,0.0,960.8651468915197,0.01756870001554489,3026,stack_2,308,104.36533502451285,True,0.0,0,2,1.0,594.6581044840832,603.1421289258055,8.48402444172234,1.42670626663417
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,960.3885949052458,65.70515995232077,45.65851452423173,4,3,1,3,0.034444444444444444,0.9655555555555555,0.0,0.0,960.8651468915197,0.01879590004682541,3026,stack_2,308,104.36533502451285,True,0.0,0,2,1.0,594.6581044840832,603.1421289258055,8.48402444172234,1.42670626663417
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,957.4044573719016,65.50099964160044,45.80082771888979,28,15,13,27,0.14444444444444443,0.8555555555555555,0.0,0.0,960.7403212758187,0.020901000127196312,3026,stack_2,308,104.36533502451285,True,0.0,0,2,0.8581081081081081,594.3468428895351,602.1748262323806,7.827983342845528,1.3170732605877422
