scenario_id,local_seed,policy,n_plus_one_weight,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
reference,0,order_blend_25,0.25,333.0,-29.0,20
reference,1,order_blend_25,0.25,214.0,20.0,24
reference,2,order_blend_25,0.25,332.0,-8.0,22
reference,3,order_blend_25,0.25,411.0,-9.0,24
reference,4,order_blend_25,0.25,263.0,37.0,23
reference,5,order_blend_25,0.25,395.0,-10.0,24
reference,6,order_blend_25,0.25,298.0,-4.0,23
reference,7,order_blend_25,0.25,247.0,19.0,21
reference,8,order_blend_25,0.25,260.0,-11.0,18
reference,9,order_blend_25,0.25,316.0,0.0,24
reference,10,order_blend_25,0.25,294.0,-10.0,17
reference,11,order_blend_25,0.25,351.0,-10.0,22
reference,12,order_blend_25,0.25,285.0,21.0,22
reference,13,order_blend_25,0.25,333.0,0.0,26
reference,14,order_blend_25,0.25,333.0,0.0,26
reference,15,order_blend_25,0.25,307.0,5.0,27
reference,16,order_blend_25,0.25,289.0,22.0,21
reference,17,order_blend_25,0.25,340.0,9.0,24
reference,18,order_blend_25,0.25,310.0,-32.0,17
reference,19,order_blend_25,0.25,304.0,-12.0,23
heterogeneity_gp_re_increased_perm_2,0,order_blend_25,0.25,225.0,25.0,10
heterogeneity_gp_re_increased_perm_2,1,order_blend_25,0.25,159.0,20.0,10
heterogeneity_gp_re_increased_perm_2,2,order_blend_25,0.25,155.0,5.0,14
heterogeneity_gp_re_increased_perm_2,3,order_blend_25,0.25,202.0,0.0,12
heterogeneity_gp_re_increased_perm_2,4,order_blend_25,0.25,179.0,20.0,18
heterogeneity_gp_re_increased_perm_2,5,order_blend_25,0.25,127.0,-32.0,14
heterogeneity_gp_re_increased_perm_2,6,order_blend_25,0.25,148.0,-28.0,12
heterogeneity_gp_re_increased_perm_2,7,order_blend_25,0.25,211.0,23.0,14
heterogeneity_gp_re_increased_perm_2,8,order_blend_25,0.25,176.0,0.0,12
heterogeneity_gp_re_increased_perm_2,9,order_blend_25,0.25,209.0,2.0,16
heterogeneity_gp_re_increased_perm_2,10,order_blend_25,0.25,157.0,4.0,12
heterogeneity_gp_re_increased_perm_2,11,order_blend_25,0.25,155.0,-77.0,14
heterogeneity_gp_re_increased_perm_2,12,order_blend_25,0.25,135.0,0.0,12
heterogeneity_gp_re_increased_perm_2,13,order_blend_25,0.25,206.0,2.0,15
heterogeneity_gp_re_increased_perm_2,14,order_blend_25,0.25,185.0,-41.0,18
heterogeneity_gp_re_increased_perm_2,15,order_blend_25,0.25,140.0,9.0,14
heterogeneity_gp_re_increased_perm_2,16,order_blend_25,0.25,174.0,-8.0,12
heterogeneity_gp_re_increased_perm_2,17,order_blend_25,0.25,151.0,-22.0,12
heterogeneity_gp_re_increased_perm_2,18,order_blend_25,0.25,192.0,-3.0,14
heterogeneity_gp_re_increased_perm_2,19,order_blend_25,0.25,311.0,61.0,16
reference,0,order_blend_50,0.5,0.0,0.0,0
reference,1,order_blend_50,0.5,326.0,24.0,4
reference,2,order_blend_50,0.5,168.0,0.0,2
reference,3,order_blend_50,0.5,0.0,0.0,0
reference,4,order_blend_50,0.5,0.0,0.0,0
reference,5,order_blend_50,0.5,0.0,0.0,0
reference,6,order_blend_50,0.5,0.0,0.0,0
reference,7,order_blend_50,0.5,0.0,0.0,0
reference,8,order_blend_50,0.5,0.0,0.0,0
reference,9,order_blend_50,0.5,0.0,0.0,0
reference,10,order_blend_50,0.5,0.0,0.0,0
reference,11,order_blend_50,0.5,0.0,0.0,0
