scenario,load_source,load_seed,strategy,power_interface,health_seed,n_steps,hydrogen_g,fc_energy_kwh,hydrogen_g_per_fc_kwh,hydrogen_soc_corrected_g,sampled_damage_increment_pct,main_sampled_damage_increment_pct,recovery_sampled_damage_increment_pct,main_expected_continuous_damage_pct,main_sampled_continuous_damage_pct,main_discrete_damage_pct,expected_damage_increment_pct,main_expected_damage_increment_pct,recovery_expected_damage_increment_pct,performance_loss_sum,objective_total_sum,objective_degradation_increment_sum,main_performance_loss_sum,recovery_performance_loss_sum,main_hydrogen_g,recovery_hydrogen_g,battery_throughput_kwh,soc_final,soc_error,soc_metrics_applicable,fc_tracking_mae_kw,fc_tracking_rmse_kw,fc_tracking_bias_kw,fc_tracking_max_abs_kw,fc_tracking_within_tolerance_share,online_stack_count_mean,online_stack_count_max,online_step_range,total_switch_count,total_load_shift_count,constraint_violation_steps,safety_override_steps,planning_runtime_s,planning_runtime_mean_ms,planning_runtime_max_ms,planning_expanded_nodes,planning_feasible_candidates,max_power_balance_error_kw,clipped_points,clipped_share,soc_recovery_steps,health_changed_steps,final_damage_mean_pct,final_damage_range_pct,damage_increment_range_pct,aged_stack_index,aged_stack_current_share,main_aged_stack_current_share,stack_0_current_a_step,stack_1_current_a_step,stack_2_current_a_step,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,stack_0_online_steps,stack_1_online_steps,stack_2_online_steps,stack_0_switch_count,stack_1_switch_count,stack_2_switch_count,stack_0_load_shift_count,stack_1_load_shift_count,stack_2_load_shift_count,stack_0_max_consecutive_online_steps,stack_1_max_consecutive_online_steps,stack_2_max_consecutive_online_steps,stack_0_max_consecutive_off_steps,stack_1_max_consecutive_off_steps,stack_2_max_consecutive_off_steps
empirical_1s_seed_2026,empirical_1s,2026,average,fc_only,12026,60,25.57318367242824,0.5204178540037414,49.13971239780791,,0.004086333333333335,0.004086333333333335,0.0,6.833333333333333e-05,6.833333333333351e-05,0.004018,0.004086333333333335,0.004086333333333335,0.0,0.6046188015321936,17.639650782275098,0.6421184303611659,0.6046188015321936,0.0,25.57318367242824,0.0,,,,False,3.193166144382148,3.193166144382157,-3.193166144382148,3.193166545405486,1.0,2.0,2,60,2,0,0,0,2.0730710988864303,34.55118498144051,115.97509984858334,2268,152,3.193166545405486,0,0.0,0,60,4.054341141018516,6.545126638055556,0.002092999999991907,2,0.0,0.0,7200.0,7200.0,0.0,0.9372961863888891,3.7433044122222143,7.482422824444445,60,60,0,1,1,0,0,0,0,60,60,0,0,0,60
empirical_1s_seed_2026,empirical_1s,2026,rotating,fc_only,12026,60,28.769831631481775,0.5505573494461055,52.25583067854056,,0.006231266666666668,0.006231266666666668,0.0,5.7266666666666685e-05,5.726666666666674e-05,0.006174,0.006231266666666668,0.006231266666666668,0.0,1.3615681217757574,12.747974615771305,0.9791690605665679,1.3615681217757574,0.0,28.769831631481775,0.0,,,,False,1.384796417840306,1.3869592883848798,-1.384796417840306,1.4622241084634666,1.0,2.0,2,30,4,0,0,0,16.1699216007255,269.498693345425,566.4745999965817,7084,1130,1.4622241084634666,0,0.0,0,60,4.055056118796293,6.547322404722216,0.00020243333332636837,2,0.0,0.0,8100.0,8100.0,0.0,0.9372795197222223,3.7432869122222185,7.484601924444438,30,30,60,2,1,1,0,0,0,30,30,60,30,30,0
empirical_1s_seed_2026,empirical_1s,2026,instant_health,fc_only,12026,60,28.769831631481775,0.5518477959262228,52.1336351143605,,0.004073383333333335,0.004073383333333335,0.0,5.5383333333333336e-05,5.538333333333349e-05,0.004018,0.004073383333333335,0.004073383333333335,0.0,0.2677158320861838,11.814048363803664,0.640083492681132,0.2677158320861838,0.0,28.769831631481775,0.0,,,,False,1.3073696290332715,1.3073696290333074,-1.3073696290332715,1.307370151629577,1.0,2.0,2,60,2,0,0,0,21.94182660174556,365.69711002909264,501.30899995565414,9996,1578,1.307370151629577,0,0.0,0,60,4.054336824351856,6.545126638055556,0.0020800500000124345,2,0.0,0.0,16200.0,0.0,0.0,0.9372961863888891,3.743291462222235,7.482422824444445,60,60,0,1,1,0,0,0,0,60,60,0,0,0,60
empirical_1s_seed_2026,empirical_1s,2026,beam_health,fc_only,12026,60,28.769831631481775,0.5518477959262228,52.1336351143605,,0.004073383333333335,0.004073383333333335,0.0,5.5383333333333336e-05,5.538333333333349e-05,0.004018,0.004073383333333335,0.004073383333333335,0.0,0.2677158320861838,11.814048363803664,0.640083492681132,0.2677158320861838,0.0,28.769831631481775,0.0,,,,False,1.3073696290332715,1.3073696290333074,-1.3073696290332715,1.307370151629577,1.0,2.0,2,60,2,0,0,0,43.78690869943239,729.7818116572065,1013.6605000589043,19820,3167,1.307370151629577,0,0.0,0,60,4.054336824351856,6.545126638055556,0.0020800500000124345,2,0.0,0.0,16200.0,0.0,0.0,0.9372961863888891,3.743291462222235,7.482422824444445,60,60,0,1,1,0,0,0,0,60,60,0,0,0,60
zuo_slow_30s_seed_2026,zuo_slow_30s,2026,average,fc_only,12026,60,25.57318367242824,0.5204178540037414,49.13971239780791,,0.004086333333333335,0.004086333333333335,0.0,6.833333333333333e-05,6.833333333333351e-05,0.004018,0.004086333333333335,0.004086333333333335,0.0,0.6046188015321936,17.639650782275098,0.6421184303611659,0.6046188015321936,0.0,25.57318367242824,0.0,,,,False,3.193166144382148,3.193166144382157,-3.193166144382148,3.193166545405486,1.0,2.0,2,60,2,0,0,0,5.32464119954966,88.74401999249433,125.48119993880391,2268,152,3.193166545405486,0,0.0,0,60,4.054341141018516,6.545126638055556,0.002092999999991907,2,0.0,0.0,7200.0,7200.0,0.0,0.9372961863888891,3.7433044122222143,7.482422824444445,60,60,0,1,1,0,0,0,0,60,60,0,0,0,60
zuo_slow_30s_seed_2026,zuo_slow_30s,2026,rotating,fc_only,12026,60,28.769831631481775,0.5505573494461055,52.25583067854056,,0.006231266666666668,0.006231266666666668,0.0,5.7266666666666685e-05,5.726666666666674e-05,0.006174,0.006231266666666668,0.006231266666666668,0.0,1.3615681217757574,12.747974615771305,0.9791690605665679,1.3615681217757574,0.0,28.769831631481775,0.0,,,,False,1.384796417840306,1.3869592883848798,-1.384796417840306,1.4622241084634666,1.0,2.0,2,30,4,0,0,0,16.322108899243176,272.0351483207196,539.3185000866652,7084,1130,1.4622241084634666,0,0.0,0,60,4.055056118796293,6.547322404722216,0.00020243333332636837,2,0.0,0.0,8100.0,8100.0,0.0,0.9372795197222223,3.7432869122222185,7.484601924444438,30,30,60,2,1,1,0,0,0,30,30,60,30,30,0
zuo_slow_30s_seed_2026,zuo_slow_30s,2026,instant_health,fc_only,12026,60,28.769831631481775,0.5518477959262228,52.1336351143605,,0.004073383333333335,0.004073383333333335,0.0,5.5383333333333336e-05,5.538333333333349e-05,0.004018,0.004073383333333335,0.004073383333333335,0.0,0.2677158320861838,11.814048363803664,0.640083492681132,0.2677158320861838,0.0,28.769831631481775,0.0,,,,False,1.3073696290332715,1.3073696290333074,-1.3073696290332715,1.307370151629577,1.0,2.0,2,60,2,0,0,0,21.974510699976236,366.2418449996039,490.64270011149347,9996,1578,1.307370151629577,0,0.0,0,60,4.054336824351856,6.545126638055556,0.0020800500000124345,2,0.0,0.0,16200.0,0.0,0.0,0.9372961863888891,3.743291462222235,7.482422824444445,60,60,0,1,1,0,0,0,0,60,60,0,0,0,60
zuo_slow_30s_seed_2026,zuo_slow_30s,2026,beam_health,fc_only,12026,60,28.769831631481775,0.5518477959262228,52.1336351143605,,0.004073383333333335,0.004073383333333335,0.0,5.5383333333333336e-05,5.538333333333349e-05,0.004018,0.004073383333333335,0.004073383333333335,0.0,0.2677158320861838,11.814048363803664,0.640083492681132,0.2677158320861838,0.0,28.769831631481775,0.0,,,,False,1.3073696290332715,1.3073696290333074,-1.3073696290332715,1.307370151629577,1.0,2.0,2,60,2,0,0,0,43.992819000035524,733.213650000592,1096.8630001880229,19820,3167,1.307370151629577,0,0.0,0,60,4.054336824351856,6.545126638055556,0.0020800500000124345,2,0.0,0.0,16200.0,0.0,0.0,0.9372961863888891,3.743291462222235,7.482422824444445,60,60,0,1,1,0,0,0,0,60,60,0,0,0,60
zuo_fast_30s_seed_2026,zuo_fast_30s,2026,average,fc_only,12026,60,41.55642346769589,0.8107662079722946,51.25574186377037,,0.004207898333333336,0.004207898333333336,0.0,6.833333333333333e-05,6.833333333333352e-05,0.0041395649999999996,0.004207898333333336,0.004207898333333336,0.0,1.663935566236087,20.847064496414138,0.6612209167760909,1.663935566236087,0.0,41.55642346769589,0.0,,,,False,2.9813835985722665,2.988896104279393,-2.9813835985722665,3.193166137584811,1.0,2.0,2,60,2,2,0,0,3.777869500219822,62.964491670330375,118.8726001419127,1596,124,3.193166137584811,0,0.0,0,60,4.054381662685183,6.5450673380555555,0.002155264999991857,2,0.0,0.0,11700.0,11700.0,0.0,0.9373554863888891,3.7433666772222143,7.482422824444445,60,60,0,1,1,0,1,1,0,60,60,0,0,0,60
zuo_fast_30s_seed_2026,zuo_fast_30s,2026,rotating,fc_only,12026,60,44.486684096828284,0.8425912144090671,52.79746968169855,,0.006308545833333333,0.006308545833333333,0.0,7.524583333333334e-05,7.524583333333324e-05,0.0062333,0.006308545833333333,0.006308545833333333,0.0,2.467067105991339,15.55045706112655,0.9913125577195868,2.467067105991339,0.0,44.486684096828284,0.0,,,,False,1.071883212365925,1.0974458292954155,-1.071883212365925,1.3073696201747822,1.0,2.0,2,30,4,1,0,0,16.08956359908916,268.1593933181527,551.5775999519974,6972,780,1.3073696201747822,0,0.0,0,60,4.055081878518515,6.547234888055552,0.00011491666666318956,2,0.0,0.0,13950.0,11100.0,0.0,0.9373554863888891,3.743299774722217,7.4845903744444415,60,30,30,1,1,2,1,0,0,60,30,30,0,30,30
