month,calendar_rows,active_rows,event_segments,raw_target_events,transitions,target_rounding_kw
2025-06,493434,372926,28,203,175,0.1
2025-07,861509,754200,72,417,345,0.1
2025-08,1200023,1028602,120,558,438,0.1
2025-09,1280206,1020477,148,614,466,0.1
2025-10,948064,700954,112,424,312,0.1
2025-11,1248546,981829,161,601,440,0.1
2025-12,1178139,960604,144,574,430,0.1
2026-01,1374799,1076285,142,639,497,0.1
2026-02,823234,590009,100,393,293,0.1
2026-03,915396,713662,116,459,343,0.1
2026-04,1252812,993941,130,600,470,0.1
2026-05,1353871,1069133,114,600,486,0.1
2026-06,1277978,1037580,143,624,481,0.1
