step,demand_power_kw,stack_power_kw,tracking_error_kw
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.016979169261500986,0.0,-0.016979169261500986
74,0.03406218665304174,0.0,-0.03406218665304174
75,0.03406218665304174,0.0,-0.03406218665304174
76,0.03406218665304174,0.0,-0.03406218665304174
77,0.02270812443536109,0.0,-0.02270812443536109
78,0.01135406221768044,0.0,-0.01135406221768044
79,0.0,0.0,0.0
80,1.64080045462823,0.0,-1.64080045462823
81,1.6092306230961428,0.0,-1.6092306230961428
82,1.577937719910828,0.0,-1.577937719910828
83,1.5469217450722859,0.0,-1.5469217450722859
84,1.5784915766043732,0.0,-1.5784915766043732
85,2.328742392076629,0.0,-2.328742392076629
86,3.063727532433041,0.0,-3.063727532433041
87,3.063727532433041,0.0,-3.063727532433041
88,3.063727532433041,3.496407299293347,0.4326797668603062
89,3.780902718487633,3.4964072987978625,-0.28449541968977066
90,4.488108484058409,3.4964072983023775,-0.9917011857560314
91,4.508462717546202,3.496407297806893,-1.0120554197393088
92,4.528816951033995,3.496407297311408,-1.0324096537225866
93,4.5491711845217875,3.496407296815923,-1.0527638877058645
94,4.5491711845217875,3.496407296320438,-1.0527638882013495
95,5.035088123658946,3.4964072958249535,-1.5386808278339927
96,5.5163895903498945,6.989589948234473,1.4732003578845783
97,5.99307558459463,6.989589946843228,0.9965143622485986
98,5.99307558459463,6.989589945451984,0.9965143608573541
99,5.99307558459463,6.989589944060738,0.9965143594661079
100,5.99307558459463,6.989589942669493,0.9965143580748634
101,5.99307558459463,6.989589941278247,0.9965143566836172
102,7.447157101411369,6.9895899398870025,-0.4575671615243664
103,7.447157101411369,6.9895899384957545,-0.4575671629156144
104,7.447157101411369,6.98958993710451,-0.45756716430685884
105,7.447157101411369,6.989589935713263,-0.45756716569810596
106,8.81836781045638,6.989589934322018,-1.828777876134362
107,8.848922238050301,6.989589932930771,-1.8593323051195298
108,8.879522820368681,6.989589931539524,-1.8899328888291569
109,8.910169557411528,6.989589930148277,-1.9205796272632512
110,8.880468992220155,6.989589928757029,-1.8908790634631263
111,9.555689533738683,6.989589927365783,-2.5660996063729
112,10.220525262253236,11.908362430800532,1.6878371685472953
113,10.256768259637113,11.908362428301142,1.6515941686640296
114,10.293011257020991,11.908362425801757,1.6153511687807658
115,10.967297165369164,11.908362423302364,0.9410652579332002
116,11.630990564453276,11.908362420802975,0.2773718563496992
117,11.658683399130549,11.90836241830358,0.2496790191730316
118,11.686376233807815,11.908362415804191,0.22198618199637643
119,11.714069068485085,11.9083624133048,0.19429334481971594
120,11.630990564453276,11.908362410805404,0.2773718463521284
121,12.10592267916845,11.90836240830601,-0.1975602708624411
122,12.580854793883628,11.908362405806614,-0.6724923880770142
123,13.055786908598801,11.908362403307217,-1.1474245052915837
124,13.055786908598801,11.90836240080782,-1.1474245077909817
125,13.475933365377447,11.908362398308421,-1.5675709670690257
126,13.891464349709878,11.908362395809025,-1.983101953900853
127,14.3023798615961,15.401544832188268,1.0991649705921684
128,14.406020295375779,15.401544828793089,0.99552453341731
129,14.406020295375779,15.401544825397902,0.9955245300221236
130,14.406020295375779,15.401544822002725,0.9955245266269461
131,15.073348379011286,15.40154481860754,0.32819643959625466
132,15.735484056144806,15.401544815212354,-0.33393924093245175
133,15.735484056144806,15.401544811817171,-0.33393924432763455
134,15.735484056144806,15.40154480842198,-0.33393924772282624
135,16.406706444656802,15.401544805026795,-1.005161639630007
136,17.072632578536776,15.401544801631609,-1.6710877769051677
137,17.058405384721326,15.401544798236419,-1.6568605864849069
138,17.044178190905875,15.401544794841223,-1.6426333960646513
139,17.044178190905875,15.401544791446033,-1.6426333994598412
140,17.044178190905875,15.401544788050842,-1.642633402855033
141,17.704911918283862,19.122718742530324,1.4178068242464619
142,18.360349391029814,19.12271873753108,0.7623693465012664
