template_id,template_source,month,stratum,raw_power_mean_kw,raw_power_max_kw,positive_share,above_40kw_steps,duration_h,role_0_source_stack,role_1_source_stack,role_0_continuous_mean_pct,role_1_continuous_mean_pct,role_0_load_shift_damage_pct,role_1_load_shift_damage_pct,role_0_operational_start_damage_pct,role_1_operational_start_damage_pct,tracking_mae_kw,tracking_max_abs_kw,constraint_violation_steps,safety_override_steps
external_2025-06_s1,external_monthly_real_power,2025-06,1,14.233953729938271,23.4,0.8016666666666666,0,0.5,1,0,0.0007761366666666667,0.0008296166666666667,0.001183035,0.0009488,0.002058,0.00196,0.5862070888049448,5.070492492573738,0,2
external_2025-06_s2,external_monthly_real_power,2025-06,2,15.384369573109568,23.5882,0.8005555555555556,0,0.5,1,0,0.0008272016666666668,0.0008378972222222222,0.00112077,0.0009488,0.002058,0.00196,0.37625479024092984,4.486239217717693,0,0
external_2025-06_s3,external_monthly_real_power,2025-06,3,15.981407379629632,23.4,0.9516666666666667,0,0.5,1,0,0.0008654333333333335,0.000972675,0.0013075650000000001,0.0011267,0.002058,0.00196,0.49953336511710594,4.715158608252082,0,3
external_2025-07_s1,external_monthly_real_power,2025-07,1,17.457378697530864,30.78,0.8011111111111111,0,0.5,1,0,0.0008264900000000001,0.0009254277777777777,0.001432095,0.0013046,0.002058,0.00196,0.537772196162516,4.4712850869919665,0,0
external_2025-07_s2,external_monthly_real_power,2025-07,2,22.929669916666665,23.0979,1.0,0,0.5,0,1,0.0017349999999999998,0.0010500000000000002,0.0,0.0,0.0,0.0,0.40173630336224175,0.750775533414469,0,0
external_2025-07_s3,external_monthly_real_power,2025-07,3,19.393569814236113,40.836,0.8044444444444444,68,0.5,1,0,0.0008632020833333335,0.0009291694444444444,0.0014943600000000001,0.0013046,0.002058,0.00196,1.215870347130674,5.472335291920629,0,1
external_2025-08_s1,external_monthly_real_power,2025-08,1,25.971690410493828,41.1642,0.9588888888888889,346,0.5,1,0,0.0011406266666666668,0.001207486111111111,0.001432095,0.0011859999999999998,0.002058,0.00196,1.6952756352694034,5.367499827832717,0,1
external_2025-08_s2,external_monthly_real_power,2025-08,2,33.18505714814815,33.246900000000004,1.0,0,0.5,0,1,0.0017349999999999998,0.0010500000000000002,0.0,0.0,0.0,0.0,0.5937713389468048,0.7222153677391816,0,0
external_2025-08_s3,external_monthly_real_power,2025-08,3,23.84490392438272,32.964400000000005,1.0,0,0.5,0,1,0.0013879166666666666,0.0009202841666666669,0.001186,0.001307565,0.0,0.0,0.4302722029964344,2.4970254578276254,0,0
external_2025-09_s1,external_monthly_real_power,2025-09,1,17.801409342592592,32.818,0.8038888888888889,0,0.5,1,0,0.0008294941666666668,0.0008929750000000001,0.0012453,0.0011267,0.002058,0.00196,0.6812522494603858,3.4960778103215446,0,0
external_2025-09_s2,external_monthly_real_power,2025-09,2,16.66406300154321,24.6123,0.8027777777777778,0,0.5,1,0,0.0008274875,0.0008085972222222222,0.001058505,0.0008302,0.002058,0.00196,0.8056460407621875,3.9406467668678076,0,0
external_2025-09_s3,external_monthly_real_power,2025-09,3,15.922697162037037,24.4122,0.805,0,0.5,1,0,0.0008266883333333334,0.0008141666666666666,0.0008717099999999999,0.0007116,0.002058,0.00196,0.559738061670571,3.57939522821448,0,0
external_2025-10_s1,external_monthly_real_power,2025-10,1,15.761299402777778,26.62,0.805,0,0.5,1,0,0.0008266883333333334,0.0008211083333333332,0.001058505,0.0008895,0.002058,0.00196,0.538700273050319,3.209903735496262,0,0
external_2025-10_s2,external_monthly_real_power,2025-10,2,17.898761751543212,28.919,0.8966666666666666,0,0.5,1,0,0.0009242333333333334,0.0009184916666666667,0.001183035,0.0010081,0.002058,0.00196,0.5249059264595475,4.414099383383405,0,0
external_2025-10_s3,external_monthly_real_power,2025-10,3,23.79563203780864,32.818,1.0,0,0.5,0,1,0.0011840499999999999,0.0010435250000000002,0.0027871,0.00286419,0.0,0.0,0.6885818467649748,5.328422897944424,0,3
external_2025-11_s1,external_monthly_real_power,2025-11,1,14.833124197530868,24.048,0.8005555555555556,0,0.5,1,0,0.0008237483333333334,0.0008097222222222221,0.001058505,0.0008302,0.002058,0.00196,0.4888924918776916,4.33046702265805,0,0
external_2025-11_s2,external_monthly_real_power,2025-11,2,14.12196398611111,23.988,0.8044444444444444,0,0.5,1,0,0.0008273358333333333,0.0008141666666666666,0.001058505,0.0008302,0.002058,0.00196,0.5455441441734779,2.8478272700803773,0,0
external_2025-11_s3,external_monthly_real_power,2025-11,3,14.320500391589507,24.3878,0.8227777777777778,0,0.5,1,0,0.0008557616666666668,0.000844775,0.00199248,0.001779,0.002058,0.00196,0.5703028057842655,4.631294231261084,0,5
external_2025-12_s1,external_monthly_real_power,2025-12,1,13.425058603395062,24.5877,0.8427777777777777,0,0.5,1,0,0.0008729641666666667,0.0008695861111111111,0.00273966,0.002372,0.002058,0.00196,0.6888306765663822,4.811852767406503,0,11
external_2025-12_s2,external_monthly_real_power,2025-12,2,29.0039043441358,32.412000000000006,1.0,0,0.5,1,0,0.0010500000000000002,0.0010020416666666667,0.00024906,0.0001779,0.0,0.0,0.5471076022686545,5.221556670741634,0,2
external_2025-12_s3,external_monthly_real_power,2025-12,3,31.52523941666667,32.412000000000006,1.0,0,0.5,1,0,0.0010500000000000002,0.0010302166666666666,0.000560385,0.00041509999999999995,0.0,0.0,0.5883301264361606,4.878645534102539,0,2
external_2026-01_s1,external_monthly_real_power,2026-01,1,11.92975799537037,22.4,0.8,0,0.5,1,0,0.0008233808333333334,0.0008204166666666667,0.00112077,0.0008895,0.002058,0.00196,0.9013339214810988,3.224344966527461,0,0
external_2026-01_s2,external_monthly_real_power,2026-01,2,39.01079948919753,39.44,1.0,0,0.5,0,1,0.0017349999999999998,0.0010500000000000002,0.0,0.0,0.0,0.0,4.1686605786378905,5.0601008869572865,0,0
external_2026-01_s3,external_monthly_real_power,2026-01,3,22.288986572530863,32.267999999999994,1.0,0,0.5,1,0,0.0010374816666666668,0.0010804416666666667,0.0013075650000000001,0.001186,0.0,0.0,0.40130634567601947,2.428798297416243,0,0
external_2026-02_s1,external_monthly_real_power,2026-02,1,13.313832108024691,22.8,0.8005555555555556,0,0.5,1,0,0.0008265541666666668,0.0009265055555555555,0.0009339750000000001,0.0008895,0.002058,0.00196,0.7338627873687991,4.14354038858648,0,0
external_2026-02_s2,external_monthly_real_power,2026-02,2,25.786005513888888,31.6134,1.0,0,0.5,0,1,0.0010630527777777776,0.0010500000000000002,0.0017197,0.00161889,0.0,0.0,0.5818379943281636,5.4015576670683885,0,5
external_2026-02_s3,external_monthly_real_power,2026-02,3,15.217024394097221,25.415,0.8005555555555556,0,0.5,1,0,0.0008231008333333333,0.0008905722222222222,0.0015566249999999998,0.0013639,0.002058,0.00196,0.7906062144239792,4.718859029006758,0,0
external_2026-03_s1,external_monthly_real_power,2026-03,1,13.36625473611111,22.8,0.8005555555555556,0,0.5,1,0,0.0008209425,0.0008958805555555555,0.00099624,0.0008302,0.002058,0.00196,0.7228538804037387,5.0233417462833385,0,0
external_2026-03_s2,external_monthly_real_power,2026-03,2,23.07252002777778,23.2169,1.0,0,0.5,0,1,0.0014095583333333334,0.0010500000000000002,0.0043882,0.00460761,0.0,0.0,0.6778942829868425,1.1198468305037252,0,0
external_2026-03_s3,external_monthly_real_power,2026-03,3,17.655959347222222,23.4117,0.8688888888888889,0,0.5,1,0,0.0008970091666666668,0.0009535972222222222,0.001432095,0.001186,0.002058,0.00196,0.7937634938361761,4.486239217717693,0,0
external_2026-04_s1,external_monthly_real_power,2026-04,1,13.972088458333332,22.8114,0.8033333333333333,0,0.5,1,0,0.0008246175000000001,0.0009753444444444443,0.00112077,0.0009488,0.002058,0.00196,0.5904963461950742,3.733997541404527,0,0
external_2026-04_s2,external_monthly_real_power,2026-04,2,14.557217277777777,23.2,0.8016666666666666,0,0.5,1,0,0.0008228675000000001,0.0010087944444444445,0.0012453,0.0011267,0.002058,0.00196,0.5536721520558662,3.75705205157783,0,0
external_2026-04_s3,external_monthly_real_power,2026-04,3,14.074581194444447,22.8342,0.8005555555555556,0,0.5,1,0,0.0008211583333333334,0.0009587638888888888,0.00099624,0.0008302,0.002058,0.00196,0.598694158788356,5.413083778322563,0,0
external_2026-05_s1,external_monthly_real_power,2026-05,1,14.354928180555556,22.8,0.8016666666666666,0,0.5,1,0,0.0008277208333333334,0.0010003,0.00087171,0.0007709,0.002058,0.00196,0.5708818095897341,4.361621461669979,0,0
external_2026-05_s2,external_monthly_real_power,2026-05,2,34.901914680555564,38.4426,1.0,0,0.5,0,1,0.0015779638888888886,0.0010500000000000002,0.0005337,0.000560385,0.0,0.0,2.3026276318591425,5.154403370829314,0,6
external_2026-05_s3,external_monthly_real_power,2026-05,3,22.737335041666665,23.0454,1.0,0,0.5,0,1,0.0017153999999999997,0.001048705,0.0002372,0.00024906,0.0,0.0,0.5635245933226871,5.4126299728613425,0,3
external_2026-06_s1,external_monthly_real_power,2026-06,1,14.164904624999998,23.0115,0.8005555555555556,0,0.5,1,0,0.0008274175000000002,0.001008172222222222,0.00087171,0.0007709,0.002058,0.00196,0.6119073612354964,5.074019633742743,0,0
