boundary_id,boundary_label,boundary_order,health_limit_pct,boundary_over_calibration,extrapolated,scenario_id,policy,effective_policy,seeds,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_nonworse_share,start_count_delta_mean,assignment_change_delta_mean,first_gain_per_extra_start_h,second_gain_per_extra_start_h
lzw_calibration_endpoint,LZW endpoint,0,9.353028530555555,1.0,False,reference,order_blend_50,order_blend_50,20,91.65,34.5,167.3625783210713,2.45,0.65,6.832588454542474,1.0,1.1,1.1,83.31818181818181,2.227272727272727
lzw_calibration_endpoint,LZW endpoint,0,9.353028530555555,1.0,False,heterogeneity_gp_re_increased_perm_2,order_blend_50,order_blend_50,20,51.3,30.95,81.6115011278257,-16.45,-40.83641225105911,-1.25,0.55,3.45,3.45,14.869565217391303,-4.768115942028985
lzw_calibration_endpoint,LZW endpoint,0,9.353028530555555,1.0,False,heterogeneity_gp_re_increased_perm_3,order_blend_50,order_blend_50,20,383.7,311.783811172332,463.59670519084597,44.4,5.5,90.25,0.8,11.55,11.55,33.22077922077922,3.8441558441558437
370a_5pct_voltage_loss,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,reference,order_blend_50,order_blend_50,20,629.5,572.3779977137933,677.1,132.5,90.8,179.8,0.95,23.8,23.8,26.449579831932773,5.567226890756302
370a_5pct_voltage_loss,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,heterogeneity_gp_re_increased_perm_2,order_blend_50,order_blend_50,20,259.65,218.84728141343643,308.27595100289926,-14.2,-43.08040146724158,16.953003713290034,0.35,19.3,19.3,13.453367875647666,-0.7357512953367875
370a_5pct_voltage_loss,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,heterogeneity_gp_re_increased_perm_3,order_blend_50,order_blend_50,20,1524.5,1465.3557327290491,1579.95,236.55,189.65,283.9,1.0,47.4,47.4,32.16244725738397,4.9905063291139244
195a_5pct_voltage_loss,"195 A, 5% loss",2,17.716327818434742,1.894180880616048,True,reference,order_blend_50,order_blend_50,20,1072.15,1015.8752349519605,1129.4119717445171,633.75,567.724389919,696.65,1.0,74.3,74.3,14.430013458950203,8.529609690444145
195a_5pct_voltage_loss,"195 A, 5% loss",2,17.716327818434742,1.894180880616048,True,heterogeneity_gp_re_increased_perm_2,order_blend_50,order_blend_50,20,729.2,662.5,806.0118589941327,15.55,-22.065160763150246,54.721575998403566,0.55,51.3,51.3,14.214424951267059,0.3031189083820663
195a_5pct_voltage_loss,"195 A, 5% loss",2,17.716327818434742,1.894180880616048,True,heterogeneity_gp_re_increased_perm_3,order_blend_50,order_blend_50,20,2519.0,2444.9879824492145,2586.6,901.55,815.95,983.9930304727167,1.0,81.1,81.1,31.060419235511716,11.11652281134402
370a_10pct_voltage_loss,"370 A, 10% loss",3,18.526280762103205,1.9807788142182403,True,reference,order_blend_50,order_blend_50,20,1153.95,1094.85,1217.05,713.9,649.7,778.5442214740253,1.0,82.05,82.05,14.063985374771482,8.700792199878123
