boundary_id,boundary_label,boundary_order,boundary_over_calibration,scenario_id,policy,local_seed,first_gain_change_vs_lzw_h,second_gain_change_vs_lzw_h
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,0,734.0,122.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,1,200.0,186.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,2,230.0,232.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,3,697.0,116.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,4,685.0,108.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,5,608.0,91.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,6,633.0,140.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,7,664.0,5.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,8,696.0,31.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,9,397.0,-20.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,10,762.0,126.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,11,784.0,11.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,12,734.0,65.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,13,300.0,222.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,14,185.0,277.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,15,210.0,330.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,16,822.0,9.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,17,148.0,306.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,18,706.0,118.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,19,562.0,126.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,0,88.0,-43.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,1,335.0,-3.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,2,267.0,38.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,3,405.0,119.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,4,131.0,-112.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,5,297.0,74.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,6,131.0,24.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,7,239.0,-51.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,8,141.0,46.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,9,105.0,-35.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,10,103.0,-137.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,11,192.0,90.0
