policy,effective_policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,boundary_id,boundary_label,health_limit_pct,diagnostic_current_a,voltage_loss_fraction,extrapolated,boundary_order,boundary_over_calibration,scenario_id,local_seed,initial_damage_fraction,initial_damage_absolute_pct,heterogeneity_factors,guard_source,simulation_seed
fixed_pair,fixed_pair,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,0,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,0
order_blend_50,order_blend_50,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,0,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,0
fixed_pair,fixed_pair,True,True,1268.0,1574.0,306.0,24.415707402813606,1.8727833084633332,1574.0,27.850701584874535,0.21718158059147896,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1268.0,1574.0,9.13915693568764,9.355206132907778,9.356338516279118,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,1,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,1
order_blend_50,order_blend_50,True,True,1594.0,1598.0,4.0,27.99378201442405,0.054821349780906914,1598.0,28.03065858176408,0.03645667841314193,7,5,"(np.int64(0), np.int64(1), np.int64(2))",1594.0,1598.0,,9.35453939506145,9.356287932557885,9.319831254144743,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,1,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,1
fixed_pair,fixed_pair,True,True,1140.0,1484.0,344.0,24.27360821879142,1.9416042151083905,1484.0,28.06255589514631,0.02980523204555041,3,1,"(np.int64(1), np.int64(0), np.int64(2))",1484.0,1140.0,,9.359571517736493,9.366394804727683,9.336589572682133,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,2,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,2
order_blend_50,order_blend_50,True,True,1308.0,1484.0,176.0,25.981661369345485,1.285828689586836,1484.0,28.068313626882237,0.006110017902102527,5,3,"(np.int64(1), np.int64(0), np.int64(2))",1484.0,1308.0,1484.0,9.359690117736491,9.355043409311358,9.353580099834389,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,2,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,2
fixed_pair,fixed_pair,True,True,906.0,1342.0,436.0,22.17714328631923,4.012630186494599,1342.0,26.16185662496339,1.9010748521262402,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,906.0,1342.0,7.453553224326231,9.35367532418469,9.354628076452471,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,3,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,3
order_blend_50,order_blend_50,True,True,906.0,1342.0,436.0,22.17714328631923,4.012630186494599,1342.0,26.16185662496339,1.9010748521262402,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,906.0,1342.0,7.453553224326231,9.35367532418469,9.354628076452471,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,3,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,3
fixed_pair,fixed_pair,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164307046,0.4672207989549424,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.92025789718736,9.357277570977384,9.387478696142303,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,4,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,4
order_blend_50,order_blend_50,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164284884,0.46722079892716195,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.920257897190169,9.357277570977384,9.38747869611733,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,4,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,4
fixed_pair,fixed_pair,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,5,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,5
