load_source,strategy,reference_strategy,terminal_cv_assumption,n_load_seeds,samples_per_seed,mean_delta_pct,p05_delta_pct,p50_delta_pct,p95_delta_pct,probability_lower_damage
empirical_1s,instant_health,average,0.05,10,10000,-2.3810801298402993,-11.215112653775247,-0.6826383589906868,1.5114751510247564,0.8
empirical_1s,rotating,average,0.05,10,10000,113.68818623208657,73.59342227927259,122.43822678988167,134.14153712122445,0.0
zuo_slow_30s,instant_health,average,0.05,10,10000,-0.9126495146132045,-3.946254574320752,-0.7620754926005304,0.9087778968296447,0.7
zuo_slow_30s,rotating,average,0.05,10,10000,121.08524471586837,67.68457949721345,127.71694527876984,132.25766941822215,0.0
zuo_fast_30s,instant_health,average,0.05,10,10000,-1.2830950019128873,-3.578988834238868,-1.605671030645965,0.9068049701637875,0.7
zuo_fast_30s,rotating,average,0.05,10,10000,135.83167600837913,63.50064081168859,130.86824421390259,182.9824421451663,0.0
empirical_1s,instant_health,average,0.1,10,10000,-2.3809857020663032,-11.215143490077875,-0.7026245380634606,1.551573362733093,0.8
empirical_1s,rotating,average,0.1,10,10000,113.68827934416842,73.55247154742244,122.37459955705266,134.1413596077856,0.0
zuo_slow_30s,instant_health,average,0.1,10,10000,-0.9125277592421044,-3.946916283770128,-0.7566410461829918,0.9078504810850119,0.7
zuo_slow_30s,rotating,average,0.1,10,10000,121.08536217455281,67.6868067801354,127.71055140811562,132.25662549272383,0.0
zuo_fast_30s,instant_health,average,0.1,10,10000,-1.2828269590365513,-3.5789974099078194,-1.6056622717596838,0.9083860489234603,0.7
zuo_fast_30s,rotating,average,0.1,10,10000,135.83196563000791,63.501462202807645,130.81486957924625,182.98258094234475,0.0
empirical_1s,instant_health,average,0.2,10,10000,-2.3816841506098165,-11.21562440293015,-0.7368605158402772,1.6380636846505792,0.8
empirical_1s,rotating,average,0.2,10,10000,113.68757520530522,73.45319321572738,122.36395788357561,134.14371754103712,0.0
zuo_slow_30s,instant_health,average,0.2,10,10000,-0.9122584778902766,-3.94700547112719,-0.7539338515581022,0.9094336580994109,0.7
zuo_slow_30s,rotating,average,0.2,10,10000,121.08552474525702,67.68716614779854,127.63928573393872,132.25841296913677,0.0
zuo_fast_30s,instant_health,average,0.2,10,10000,-1.2828497112173116,-3.579059337554669,-1.6057838691717166,0.9283490921555545,0.7
zuo_fast_30s,rotating,average,0.2,10,10000,135.83191343054781,63.50036517089667,130.69808095609002,182.9826126373534,0.0
