scenario,load_source,load_seed,strategy,power_interface,health_seed,n_steps,hydrogen_g,fc_energy_kwh,hydrogen_g_per_fc_kwh,hydrogen_soc_corrected_g,sampled_damage_increment_pct,main_sampled_damage_increment_pct,recovery_sampled_damage_increment_pct,main_expected_continuous_damage_pct,main_sampled_continuous_damage_pct,main_discrete_damage_pct,expected_damage_increment_pct,main_expected_damage_increment_pct,recovery_expected_damage_increment_pct,performance_loss_sum,objective_total_sum,objective_degradation_increment_sum,main_performance_loss_sum,recovery_performance_loss_sum,main_hydrogen_g,recovery_hydrogen_g,battery_throughput_kwh,soc_final,soc_error,soc_metrics_applicable,fc_tracking_mae_kw,fc_tracking_rmse_kw,fc_tracking_bias_kw,fc_tracking_max_abs_kw,fc_tracking_within_tolerance_share,online_stack_count_mean,online_stack_count_max,online_step_range,total_switch_count,total_load_shift_count,constraint_violation_steps,safety_override_steps,planning_runtime_s,planning_runtime_mean_ms,planning_runtime_max_ms,planning_expanded_nodes,planning_feasible_candidates,max_power_balance_error_kw,clipped_points,clipped_share,soc_recovery_steps,health_changed_steps,final_damage_mean_pct,final_damage_range_pct,damage_increment_range_pct,aged_stack_index,aged_stack_current_share,main_aged_stack_current_share,stack_0_current_a_step,stack_1_current_a_step,stack_2_current_a_step,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,stack_0_online_steps,stack_1_online_steps,stack_2_online_steps,stack_0_switch_count,stack_1_switch_count,stack_2_switch_count,stack_0_load_shift_count,stack_1_load_shift_count,stack_2_load_shift_count,stack_0_max_consecutive_online_steps,stack_1_max_consecutive_online_steps,stack_2_max_consecutive_online_steps,stack_0_max_consecutive_off_steps,stack_1_max_consecutive_off_steps,stack_2_max_consecutive_off_steps,pair_seed,gamma_residual_pct,gamma_shape_sum,sampled_continuous_near_zero
empirical_1s_pair_2026,empirical_1s,2026,average,fc_only,32026,120,51.4127546747776,1.0458025367382118,49.16105370630535,,0.004261129999999999,0.004261129999999999,0.0,0.0001366666666666666,2.0251357540137084e-138,0.004261129999999999,0.004397796666666669,0.004397796666666669,0.0,1.223661609879384,34.5189125995581,0.6695856367970159,1.223661609879384,0.0,51.4127546747776,0.0,,,,False,3.1702697829288415,3.1800943970782862,-3.162844859648584,3.1931686318489056,1.0,2.0,2,120,2,4,0,1,9.834485301515087,81.9540441792924,153.5004999022931,4537,304,3.1931686318489056,0,0.0,0,4,4.054399406574074,6.545041371388889,0.002182529999999794,2,0.0,0.0,14475.0,14475.0,0.0,0.9373814530555555,3.743393942222222,7.482422824444445,120,120,0,1,1,0,2,2,0,120,120,0,0,0,120,2026,-0.00013666666666666948,0.001018557142204318,True
empirical_1s_pair_2026,empirical_1s,2026,rotating,fc_only,32026,120,57.75277312690044,1.1024183500031401,52.387347440956454,,0.008451255,0.008451255,0.0,0.00011505750000000001,2.0251357540137084e-138,0.008451255,0.0085663125,0.0085663125,0.0,5.299249015567667,26.05322156968771,1.3280136867237011,5.299249015567667,0.0,57.75277312690044,0.0,,,,False,1.4643704617007254,1.4820381937901306,-1.4643704617007254,1.825575064232659,1.0,2.0,2,60,6,5,0,2,33.75095320073888,281.2579433394907,708.1289999186993,13290,2123,1.825575064232659,0,0.0,0,7,4.055796114907408,6.545486431388889,0.0016752050000001795,2,0.24907749077490776,0.24907749077490776,16200.0,8220.0,8100.0,0.9392228530555555,3.743456207222222,7.4847092844444445,60,60,120,3,2,1,0,3,2,30,60,120,60,30,0,2026,-0.00011505749999999974,0.0008575071101646833,True
empirical_1s_pair_2026,empirical_1s,2026,instant_health,fc_only,32026,120,58.019160456821574,1.12032994499946,51.78756554333602,,0.00426113,0.00426113,0.0,0.00011422,2.0251357540137084e-138,0.00426113,0.004375350000000003,0.004375350000000003,0.0,0.6386505132732767,23.31790930865089,0.669585636797016,0.6386505132732767,0.0,58.019160456821574,0.0,,,,False,1.3390862668920596,1.3489501296822992,-0.9270226118111329,1.6451790410013274,1.0,2.0,2,120,2,4,0,0,41.32104829978198,344.3420691648498,690.4372998978943,16784,2671,1.6451790410013274,0,0.0,0,5,4.054399406574074,6.545041371388889,0.002182529999999794,2,0.0,0.0,30750.0,1920.0,0.0,0.9373814530555555,3.743393942222222,7.482422824444445,120,120,0,1,1,0,2,2,0,120,120,0,0,0,120,2026,-0.00011422000000000255,0.0008512653423115409,True
zuo_slow_30s_pair_2026,zuo_slow_30s,2026,average,fc_only,32026,120,51.14636734485647,1.0408357218280138,49.13971174531597,,0.004018,0.004018,0.0,0.0001366666666666666,2.0251357540137084e-138,0.004018,0.004154666666666669,0.004154666666666669,0.0,1.2092258880343962,34.57202517995132,0.631380663967166,1.2092258880343962,0.0,51.14636734485647,0.0,,,,False,3.193165729766224,3.1931657297662253,-3.193165729766224,3.193165729766225,1.0,2.0,2,120,2,0,0,0,11.819963398622349,98.49969498851956,170.56680005043745,5208,332,3.193165729766225,0,0.0,0,2,4.054318363240741,6.545159971388889,0.0020579999999998932,2,0.0,0.0,14400.0,14400.0,0.0,0.9372628530555556,3.7432694122222223,7.482422824444445,120,120,0,1,1,0,0,0,0,120,120,0,0,0,120,2026,-0.00013666666666666948,0.001018557142204318,True
zuo_slow_30s_pair_2026,zuo_slow_30s,2026,rotating,fc_only,32026,120,57.53966326296354,1.0980862580566988,52.39994840186091,,0.008326725,0.008326725,0.0,0.00011484166666666669,2.0251357540137084e-138,0.008326725,0.008441566666666666,0.008441566666666666,0.0,5.290206628224341,26.059049085232736,1.308445286005973,5.290206628224341,0.0,57.53966326296354,0.0,,,,False,1.4756496429056705,1.4907557815818302,-1.4756496429056705,1.825575064232659,1.0,2.0,2,60,6,3,0,0,36.32738109957427,302.7281758297856,677.4977999739349,14056,2246,1.825575064232659,0,0.0,0,5,4.055754604907407,6.545486431388889,0.00179973500000008,2,0.25,0.25,16200.0,8100.0,8100.0,0.9392228530555555,3.7433316772222223,7.4847092844444445,60,60,120,3,2,1,0,1,2,30,60,120,60,30,0,2026,-0.00011484166666666552,0.0008558985351657144,True
zuo_slow_30s_pair_2026,zuo_slow_30s,2026,instant_health,fc_only,32026,120,57.53966326296354,1.1036956098626982,52.13363426363686,,0.004018,0.004018,0.0,0.00011076666666666667,2.0251357540137084e-138,0.004018,0.004128766666666669,0.004128766666666669,0.0,0.5354163977074724,22.924753333006716,0.631380663967166,0.5354163977074724,0.0,57.53966326296354,0.0,,,,False,1.3073690887257001,1.3073690887257001,-1.3073690887257001,1.3073690887257001,1.0,2.0,2,120,2,0,0,0,58.27678400091827,485.6398666743189,691.3207999896258,23016,3618,1.3073690887257001,0,0.0,0,2,4.054318363240741,6.545159971388889,0.0020579999999998932,2,0.0,0.0,32400.0,0.0,0.0,0.9372628530555556,3.7432694122222223,7.482422824444445,120,120,0,1,1,0,0,0,0,120,120,0,0,0,120,2026,-0.00011076666666666891,0.0008255281423280367,True
zuo_fast_30s_pair_2026,zuo_fast_30s,2026,average,fc_only,32026,120,83.11284693539179,1.6291955414207249,51.014654056144785,,0.00426113,0.00426113,0.0,0.0001366666666666666,2.0251357540137084e-138,0.00426113,0.00439779666666667,0.00439779666666667,0.0,3.1325066342584673,32.23798444749905,0.6695856367970159,3.1325066342584673,0.0,83.11284693539179,0.0,,,,False,1.7134369727382373,2.136814741623666,-1.2679451194344589,3.193165729766225,1.0,2.0,2,120,2,4,0,0,8.037584800971672,66.9798733414306,157.97950001433492,3864,276,3.193165729766225,0,0.0,0,4,4.054399406574074,6.545041371388889,0.002182529999999794,2,0.0,0.0,23400.0,23400.0,0.0,0.9373814530555555,3.743393942222222,7.482422824444445,120,120,0,1,1,0,2,2,0,120,120,0,0,0,120,2026,-0.00013666666666666948,0.001018557142204318,True
zuo_fast_30s_pair_2026,zuo_fast_30s,2026,rotating,fc_only,32026,120,86.0431075645242,1.6496496930367546,52.15841152683265,,0.00857313,0.00857313,0.0,0.00014524583333333334,2.0251357540137084e-138,0.00857313,0.008718375833333333,0.008718375833333333,0.0,7.273874767767072,27.464598971089046,1.3471648859325112,7.273874767767072,0.0,86.0431075645242,0.0,,,,False,0.654320570953578,0.806555463276053,-0.654320570953578,1.3073690887257001,1.0,2.0,2,90,6,4,0,0,35.795419198228046,298.2951599852337,689.7650000173599,13944,1992,1.3073690887257001,0,0.0,0,5,4.055836739907408,6.54935930138889,0.0023192300000003385,2,0.24148606811145512,0.24148606811145512,25650.0,11100.0,11700.0,0.9374407530555555,3.7432694122222223,7.486800054444445,120,30,90,1,2,3,3,0,1,120,30,60,0,60,30,2026,-0.00014524583333333334,0.0010824964457347664,True
zuo_fast_30s_pair_2026,zuo_fast_30s,2026,instant_health,fc_only,32026,120,86.0431075645242,1.656045314245841,51.956976553934474,,0.00426113,0.00426113,0.0,0.00014244166666666663,2.0251357540137084e-138,0.00426113,0.004403571666666669,0.004403571666666669,0.0,1.8526000296546088,24.320657237155793,0.6695856367970159,1.8526000296546088,0.0,86.0431075645242,0.0,,,,False,0.5085808086328587,0.7273769995142473,-0.46245193468100076,1.3073690887257001,1.0,2.0,2,120,2,4,0,0,45.0468126994092,375.39010582841,653.4432000480592,16968,2496,1.3073690887257001,0,0.0,0,4,4.054399406574074,6.545041371388889,0.002182529999999794,2,0.0,0.0,35400.0,13050.0,0.0,0.9373814530555555,3.743393942222222,7.482422824444445,120,120,0,1,1,0,2,2,0,120,120,0,0,0,120,2026,-0.000142441666666669,0.0010615973921767323,True
empirical_1s_pair_2027,empirical_1s,2027,average,fc_only,32027,120,51.4127546747776,1.0458025117480556,49.16105488104188,,0.00426113,0.00426113,0.0,0.0001366666666666666,0.0,0.00426113,0.00439779666666667,0.00439779666666667,0.0,1.2236827928887068,34.51892303901974,0.6695856367970159,1.2236827928887068,0.0,51.4127546747776,0.0,,,,False,3.1702705326335336,3.180095149864788,-3.162845609353276,3.1931686318489056,1.0,2.0,2,120,2,4,0,1,12.728754998883232,106.07295832402694,176.17579991929233,4537,304,3.1931686318489056,0,0.0,0,3,4.054399406574074,6.545041371388889,0.002182529999999794,2,0.0,0.0,14475.0,14475.0,0.0,0.9373814530555555,3.743393942222222,7.482422824444445,120,120,0,1,1,0,2,2,0,120,120,0,0,0,120,2027,-0.00013666666666666948,0.001018557142204318,True
