scenario_id,policy,month,seeds,first_boundary_gain_mean_h,second_boundary_gain_mean_h,second_boundary_nonworse_share
heterogeneity_gp_re_increased_perm_2,guarded_blend,2025-06,20,31.8,1.75,0.75
heterogeneity_gp_re_increased_perm_2,guarded_blend,2025-07,20,45.8,-1.1,0.7
heterogeneity_gp_re_increased_perm_2,guarded_blend,2025-08,20,80.3,17.1,0.9
heterogeneity_gp_re_increased_perm_2,guarded_blend,2025-09,20,60.8,2.2,0.6
heterogeneity_gp_re_increased_perm_2,guarded_blend,2025-10,20,44.4,-0.4,0.6
heterogeneity_gp_re_increased_perm_2,guarded_blend,2025-11,20,36.35,-1.8,0.65
heterogeneity_gp_re_increased_perm_2,guarded_blend,2025-12,20,42.35,-12.55,0.65
heterogeneity_gp_re_increased_perm_2,guarded_blend,2026-01,20,78.4,1.75,0.6
heterogeneity_gp_re_increased_perm_2,guarded_blend,2026-02,20,36.0,-1.45,0.65
heterogeneity_gp_re_increased_perm_2,guarded_blend,2026-03,20,28.35,0.25,0.8
heterogeneity_gp_re_increased_perm_2,guarded_blend,2026-04,20,37.05,5.7,0.8
heterogeneity_gp_re_increased_perm_2,guarded_blend,2026-05,20,95.4,-2.85,0.65
heterogeneity_gp_re_increased_perm_2,guarded_blend,2026-06,20,43.05,6.5,0.75
heterogeneity_gp_re_increased_perm_2,order_blend_50,2025-06,20,31.8,1.75,0.75
heterogeneity_gp_re_increased_perm_2,order_blend_50,2025-07,20,45.8,-1.1,0.7
heterogeneity_gp_re_increased_perm_2,order_blend_50,2025-08,20,80.3,17.1,0.9
heterogeneity_gp_re_increased_perm_2,order_blend_50,2025-09,20,60.8,2.2,0.6
heterogeneity_gp_re_increased_perm_2,order_blend_50,2025-10,20,44.4,-0.4,0.6
heterogeneity_gp_re_increased_perm_2,order_blend_50,2025-11,20,36.35,-1.8,0.65
heterogeneity_gp_re_increased_perm_2,order_blend_50,2025-12,20,42.35,-12.55,0.65
heterogeneity_gp_re_increased_perm_2,order_blend_50,2026-01,20,78.4,1.75,0.6
heterogeneity_gp_re_increased_perm_2,order_blend_50,2026-02,20,36.0,-1.45,0.65
heterogeneity_gp_re_increased_perm_2,order_blend_50,2026-03,20,28.35,0.25,0.8
heterogeneity_gp_re_increased_perm_2,order_blend_50,2026-04,20,37.05,5.7,0.8
heterogeneity_gp_re_increased_perm_2,order_blend_50,2026-05,20,95.4,-2.85,0.65
heterogeneity_gp_re_increased_perm_2,order_blend_50,2026-06,20,43.05,6.5,0.75
heterogeneity_gp_re_increased_perm_3,guarded_blend,2025-06,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2025-07,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2025-08,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2025-09,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2025-10,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2025-11,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2025-12,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2026-01,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2026-02,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2026-03,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2026-04,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2026-05,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,2026-06,20,0.0,0.0,1.0
heterogeneity_gp_re_increased_perm_3,order_blend_50,2025-06,20,273.85,-0.7,0.35
heterogeneity_gp_re_increased_perm_3,order_blend_50,2025-07,20,430.45,17.8,0.6
heterogeneity_gp_re_increased_perm_3,order_blend_50,2025-08,20,516.35,-3.65,0.55
heterogeneity_gp_re_increased_perm_3,order_blend_50,2025-09,20,267.3,-5.9,0.45
heterogeneity_gp_re_increased_perm_3,order_blend_50,2025-10,20,284.5,-12.0,0.5
heterogeneity_gp_re_increased_perm_3,order_blend_50,2025-11,20,261.1,-9.2,0.3
heterogeneity_gp_re_increased_perm_3,order_blend_50,2025-12,20,473.7,1.05,0.5
heterogeneity_gp_re_increased_perm_3,order_blend_50,2026-01,20,491.1,-8.9,0.5
heterogeneity_gp_re_increased_perm_3,order_blend_50,2026-02,20,246.75,-20.65,0.4
heterogeneity_gp_re_increased_perm_3,order_blend_50,2026-03,20,227.25,-20.45,0.2
heterogeneity_gp_re_increased_perm_3,order_blend_50,2026-04,20,228.7,-3.15,0.5
heterogeneity_gp_re_increased_perm_3,order_blend_50,2026-05,20,559.15,21.65,0.5
heterogeneity_gp_re_increased_perm_3,order_blend_50,2026-06,20,246.2,-1.7,0.45
reference,guarded_blend,2025-06,20,47.9,-0.45,0.9
