scenario_id,month,local_seed,policy,first_boundary_gain_h,second_boundary_gain_h
reference,2025-06,0,order_blend_50,0.0,0.0
reference,2025-06,1,order_blend_50,279.0,0.0
reference,2025-06,2,order_blend_50,204.0,-5.0
reference,2025-06,3,order_blend_50,0.0,0.0
reference,2025-06,4,order_blend_50,0.0,0.0
reference,2025-06,5,order_blend_50,0.0,0.0
reference,2025-06,6,order_blend_50,0.0,0.0
reference,2025-06,7,order_blend_50,0.0,0.0
reference,2025-06,8,order_blend_50,0.0,0.0
reference,2025-06,9,order_blend_50,0.0,0.0
reference,2025-06,10,order_blend_50,0.0,0.0
reference,2025-06,11,order_blend_50,0.0,0.0
reference,2025-06,12,order_blend_50,0.0,0.0
reference,2025-06,13,order_blend_50,228.0,0.0
reference,2025-06,14,order_blend_50,247.0,-4.0
reference,2025-06,15,order_blend_50,0.0,0.0
reference,2025-06,16,order_blend_50,0.0,0.0
reference,2025-06,17,order_blend_50,0.0,0.0
reference,2025-06,18,order_blend_50,0.0,0.0
reference,2025-06,19,order_blend_50,0.0,0.0
reference,2025-07,0,order_blend_50,249.0,-4.0
reference,2025-07,1,order_blend_50,0.0,0.0
reference,2025-07,2,order_blend_50,0.0,0.0
reference,2025-07,3,order_blend_50,250.0,21.0
reference,2025-07,4,order_blend_50,276.0,-3.0
reference,2025-07,5,order_blend_50,236.0,15.0
reference,2025-07,6,order_blend_50,0.0,0.0
reference,2025-07,7,order_blend_50,0.0,0.0
reference,2025-07,8,order_blend_50,184.0,-16.0
reference,2025-07,9,order_blend_50,0.0,0.0
reference,2025-07,10,order_blend_50,227.0,34.0
reference,2025-07,11,order_blend_50,196.0,59.0
reference,2025-07,12,order_blend_50,0.0,0.0
reference,2025-07,13,order_blend_50,0.0,0.0
reference,2025-07,14,order_blend_50,97.0,-23.0
reference,2025-07,15,order_blend_50,218.0,0.0
reference,2025-07,16,order_blend_50,120.0,0.0
reference,2025-07,17,order_blend_50,0.0,0.0
reference,2025-07,18,order_blend_50,151.0,28.0
reference,2025-07,19,order_blend_50,0.0,0.0
reference,2025-08,0,order_blend_50,215.0,80.0
reference,2025-08,1,order_blend_50,328.0,0.0
reference,2025-08,2,order_blend_50,127.0,3.0
reference,2025-08,3,order_blend_50,0.0,0.0
reference,2025-08,4,order_blend_50,0.0,0.0
reference,2025-08,5,order_blend_50,0.0,0.0
reference,2025-08,6,order_blend_50,0.0,0.0
reference,2025-08,7,order_blend_50,0.0,0.0
reference,2025-08,8,order_blend_50,135.0,114.0
reference,2025-08,9,order_blend_50,186.0,11.0
reference,2025-08,10,order_blend_50,371.0,-5.0
reference,2025-08,11,order_blend_50,303.0,12.0
reference,2025-08,12,order_blend_50,137.0,17.0
reference,2025-08,13,order_blend_50,306.0,-12.0
reference,2025-08,14,order_blend_50,278.0,44.0
reference,2025-08,15,order_blend_50,259.0,27.0
reference,2025-08,16,order_blend_50,0.0,0.0
reference,2025-08,17,order_blend_50,0.0,0.0
reference,2025-08,18,order_blend_50,0.0,0.0
reference,2025-08,19,order_blend_50,0.0,0.0
reference,2025-09,0,order_blend_50,0.0,0.0
reference,2025-09,1,order_blend_50,0.0,0.0
reference,2025-09,2,order_blend_50,0.0,0.0
reference,2025-09,3,order_blend_50,200.0,21.0
reference,2025-09,4,order_blend_50,84.0,-2.0
reference,2025-09,5,order_blend_50,0.0,0.0
reference,2025-09,6,order_blend_50,201.0,24.0
reference,2025-09,7,order_blend_50,218.0,16.0
reference,2025-09,8,order_blend_50,0.0,0.0
reference,2025-09,9,order_blend_50,0.0,0.0
reference,2025-09,10,order_blend_50,0.0,0.0
reference,2025-09,11,order_blend_50,229.0,0.0
reference,2025-09,12,order_blend_50,0.0,0.0
reference,2025-09,13,order_blend_50,24.0,0.0
reference,2025-09,14,order_blend_50,220.0,14.0
reference,2025-09,15,order_blend_50,0.0,0.0
reference,2025-09,16,order_blend_50,0.0,0.0
reference,2025-09,17,order_blend_50,0.0,0.0
reference,2025-09,18,order_blend_50,0.0,0.0
reference,2025-09,19,order_blend_50,0.0,0.0
reference,2025-10,0,order_blend_50,0.0,0.0
reference,2025-10,1,order_blend_50,0.0,0.0
reference,2025-10,2,order_blend_50,0.0,0.0
reference,2025-10,3,order_blend_50,0.0,0.0
reference,2025-10,4,order_blend_50,164.0,2.0
reference,2025-10,5,order_blend_50,0.0,0.0
reference,2025-10,6,order_blend_50,197.0,-3.0
reference,2025-10,7,order_blend_50,0.0,0.0
reference,2025-10,8,order_blend_50,0.0,0.0
reference,2025-10,9,order_blend_50,0.0,0.0
reference,2025-10,10,order_blend_50,0.0,0.0
reference,2025-10,11,order_blend_50,0.0,0.0
reference,2025-10,12,order_blend_50,0.0,0.0
reference,2025-10,13,order_blend_50,0.0,0.0
reference,2025-10,14,order_blend_50,0.0,0.0
reference,2025-10,15,order_blend_50,0.0,0.0
reference,2025-10,16,order_blend_50,0.0,0.0
reference,2025-10,17,order_blend_50,0.0,0.0
reference,2025-10,18,order_blend_50,0.0,0.0
reference,2025-10,19,order_blend_50,0.0,0.0
reference,2025-11,0,order_blend_50,190.0,-4.0
reference,2025-11,1,order_blend_50,0.0,0.0
reference,2025-11,2,order_blend_50,0.0,0.0
reference,2025-11,3,order_blend_50,0.0,0.0
reference,2025-11,4,order_blend_50,190.0,0.0
reference,2025-11,5,order_blend_50,0.0,0.0
