policy,effective_policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,month,local_seed,simulation_seed
fixed_pair,fixed_pair,True,True,744.0,939.0,195.0,23.85717871520033,2.333578008983605,939.0,27.483563258934545,0.5888060024426558,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,744.0,939.0,8.770295153311071,9.354166949869745,9.359101155753727,reference,2025-06,0,0
order_blend_50,order_blend_50,True,True,744.0,939.0,195.0,23.85717871520033,2.333578008983605,939.0,27.483563258934545,0.5888060024426558,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,744.0,939.0,8.770295153311071,9.354166949869745,9.359101155753727,reference,2025-06,0,0
fixed_pair,fixed_pair,True,True,770.0,1051.0,281.0,23.919383893856786,2.272743760224291,1051.0,28.062146547074626,0.002968328934969122,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,770.0,1051.0,9.352162901660671,9.354852414818316,9.35513123059564,reference,2025-06,1,1
order_blend_50,order_blend_50,True,True,1049.0,1051.0,2.0,28.03678754677913,0.016128159230467176,1051.0,28.064213442074628,0.004560718157645027,4,2,"(np.int64(2), np.int64(1), np.int64(0))",,1051.0,1049.0,9.352162901660671,9.356723619818316,9.35532692059564,reference,2025-06,1,1
fixed_pair,fixed_pair,True,True,726.0,952.0,226.0,24.034426080948403,2.25601161817072,952.0,27.754321191209897,0.4090616853312099,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,726.0,952.0,8.99494575200613,9.40400743733734,9.35536800186643,reference,2025-06,2,2
order_blend_50,order_blend_50,True,True,930.0,947.0,17.0,27.43568477895772,0.526074116944736,947.0,27.67473293308135,0.39453839715006467,4,2,"(np.int64(2), np.int64(1), np.int64(0))",,947.0,930.0,8.962224068434232,9.355746399062822,9.356762465584296,reference,2025-06,2,2
fixed_pair,fixed_pair,True,True,626.0,807.0,181.0,22.621478449089462,3.5753340266474707,807.0,25.864485582913943,2.2960754792056948,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,626.0,807.0,7.105607639031002,9.357194825646244,9.401683118236697,reference,2025-06,3,3
order_blend_50,order_blend_50,True,True,626.0,807.0,181.0,22.621478449089462,3.5753340266474707,807.0,25.864485582913943,2.2960754792056948,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,626.0,807.0,7.105607639031002,9.357194825646244,9.401683118236697,reference,2025-06,3,3
fixed_pair,fixed_pair,True,True,644.0,895.0,251.0,22.924889816306464,3.265929001173256,895.0,26.829577564177576,1.2416826819996043,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,644.0,895.0,8.116848442830168,9.354197996517637,9.358531124829772,reference,2025-06,4,4
order_blend_50,order_blend_50,True,True,644.0,895.0,251.0,22.924889816306464,3.265929001173256,895.0,26.829577564177576,1.2416826819996043,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,644.0,895.0,8.116848442830168,9.354197996517637,9.358531124829772,reference,2025-06,4,4
