load_source,load_seed,continuous_multiplier,start_stop_multiplier,shift_multiplier,reference_strategy,total_damage_pct_delta,total_damage_pct_relative_pct,aged_stack_increment_pct_delta,aged_stack_increment_pct_relative_pct,max_terminal_damage_pct_delta,max_terminal_damage_pct_relative_pct,increment_range_pct_delta,increment_range_pct_relative_pct
empirical_1s,2026,0.5,0.0,0.0,average,-1.1223333333333325e-05,-16.424390243902426,0.0,0.0,0.0,0.0,-1.6666666666666688e-06,-4.761904761904767
empirical_1s,2026,0.5,0.0,0.1,average,-1.1223333333333331e-05,-12.11416893634934,0.0,0.0,0.0,0.0,-2.259666666666675e-06,-4.761904761904778
empirical_1s,2026,0.5,0.0,0.5,average,-1.1223333333333331e-05,-5.910180008601094,0.0,0.0,0.0,0.0,-4.631666666666672e-06,-4.761904761904767
empirical_1s,2026,0.5,0.0,1.0,average,-1.1223333333333359e-05,-3.6034204133177874,0.0,0.0,0.0,0.0,-7.5966666666666815e-06,-4.761904761904771
empirical_1s,2026,0.5,0.0,2.0,average,-1.122333333333325e-05,-2.0237050571589843,0.0,0.0,0.0,0.0,-1.1223333333333304e-05,-3.951043206834227
empirical_1s,2026,0.5,0.1,0.0,average,-1.1223333333333304e-05,-2.3872660238230226,0.0,0.0,0.0,0.0,-1.1223333333333331e-05,-4.6608527131782935
empirical_1s,2026,0.5,0.1,0.1,average,-1.1223333333333359e-05,-2.269878969001696,0.0,0.0,0.0,0.0,-1.1223333333333359e-05,-4.431668463289026
empirical_1s,2026,0.5,0.1,0.5,average,-1.1223333333333359e-05,-1.8967998895833786,0.0,0.0,0.0,0.0,-1.1223333333333359e-05,-3.703275974900882
empirical_1s,2026,0.5,0.1,1.0,average,-1.122333333333325e-05,-1.5735188967141518,0.0,0.0,0.0,0.0,-1.1223333333333304e-05,-3.072108322156216
empirical_1s,2026,0.5,0.1,2.0,average,-1.1223333333333359e-05,-1.17350601914136,0.0,0.0,0.0,0.0,-1.1223333333333359e-05,-2.2911307992759884
empirical_1s,2026,0.5,0.5,0.0,average,-1.1223333333333467e-05,-0.5402759948652183,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-1.0548245614035212
empirical_1s,2026,0.5,0.5,0.1,average,-1.1223333333333467e-05,-0.5340257851820676,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-1.042621771069751
empirical_1s,2026,0.5,0.5,0.5,average,-1.1223333333333467e-05,-0.5104071053762589,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-0.9965091104965055
empirical_1s,2026,0.5,0.5,1.0,average,-1.1223333333333467e-05,-0.4836677732464408,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-0.9443037477668603
empirical_1s,2026,0.5,0.5,2.0,average,-1.1223333333333467e-05,-0.43779694647357487,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-0.854746419305551
empirical_1s,2026,0.5,1.0,0.0,average,-1.12233333333326e-05,-0.27465535524918677,0.0,0.0,0.0,0.0,-1.1223333333333033e-05,-0.5362318840579567
empirical_1s,2026,0.5,1.0,0.1,average,-1.12233333333326e-05,-0.27303086724640635,0.0,0.0,0.0,0.0,-1.1223333333333033e-05,-0.5330602646239567
empirical_1s,2026,0.5,1.0,0.5,average,-1.12233333333326e-05,-0.26672063924229633,0.0,0.0,0.0,0.0,-1.1223333333333033e-05,-0.5207402956635511
empirical_1s,2026,0.5,1.0,1.0,average,-1.1223333333333467e-05,-0.2592315136826074,0.0,0.0,0.0,0.0,-1.1223333333333033e-05,-0.5061186695707853
