policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638
periodic_rotation,0,True,True,601.0,1208.0,607.0,18.52118605540454,6.002275612101826,1208.0,25.39687176220483,2.756534411385549,28,26,"(np.int64(2), np.int64(1), np.int64(0))",,1208.0,601.0,6.642517495296469,9.399051906682018,9.355302360226343
health_greedy,0,True,True,1388.0,1423.0,35.0,27.090675038441073,0.8373358543709841,1423.0,27.381847476072437,0.685480374247037,24,22,"(np.int64(2), np.int64(1), np.int64(0))",,1423.0,1388.0,8.670559466662825,9.355248168499752,9.356039840909862
expected_max,0,True,True,1420.0,1422.0,2.0,27.326146420617903,0.7219379278871507,1422.0,27.376127015026327,0.6878442904141888,25,23,"(np.int64(1), np.int64(2), np.int64(0))",,1420.0,1422.0,8.667309440835249,9.353663842941643,9.355153731249437
expected_total,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638
expected_n_plus_one,0,True,True,361.0,1431.0,1070.0,16.07004837669436,6.377647385937081,1431.0,27.40384953048448,0.6563020079672555,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1431.0,361.0,8.697152673656307,9.353454681623562,9.35324217520461
fixed_pair,1,True,True,1268.0,1574.0,306.0,24.415707402813606,1.8727833084633332,1574.0,27.850701584874535,0.21718158059147896,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1268.0,1574.0,9.13915693568764,9.355206132907778,9.356338516279118
periodic_rotation,1,True,True,566.0,1446.0,880.0,17.614526194448946,6.705542340486139,1446.0,26.089193301620764,1.9722080848524106,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1446.0,566.0,7.381916805015195,9.354124889867606,9.353151606737963
health_greedy,1,True,True,1486.0,1594.0,108.0,26.767643698848765,0.8148488055992313,1594.0,28.056949229669204,0.009297895431974013,27,25,"(np.int64(1), np.int64(0), np.int64(2))",1594.0,1486.0,,9.354333690386422,9.355956717357378,9.346658821925404
expected_max,1,True,True,1484.0,1594.0,110.0,26.752287806240805,0.8223020170891644,1594.0,28.031583510049153,0.03443513472158877,24,22,"(np.int64(2), np.int64(0), np.int64(1))",1594.0,,1484.0,9.354333690386422,9.32140734247057,9.355842477192159
expected_total,1,True,True,1268.0,1574.0,306.0,24.415707402813606,1.8727833084633332,1574.0,27.85069565484271,0.21705705055156344,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1268.0,1574.0,9.139216235691684,9.355206132907778,9.356273286243248
expected_n_plus_one,1,True,True,392.0,1604.0,1212.0,16.001905278033824,6.602269888932703,1604.0,28.082005754192192,0.1346022132171356,3,1,"(np.int64(2), np.int64(0), np.int64(1))",1604.0,,392.0,9.35364421266502,9.296879664155018,9.431481877372153
