policy,month,seeds,first_boundary_gain_mean_h,second_boundary_gain_mean_h,second_boundary_gain_median_h,second_boundary_win_share,second_boundary_nonworse_share
expected_n_plus_one,2025-06,20,-466.95,1.0,-0.5,0.2,0.5
expected_n_plus_one,2025-07,20,-580.8,6.25,0.0,0.3,0.6
expected_n_plus_one,2025-08,20,-722.55,6.6,0.5,0.5,0.65
expected_n_plus_one,2025-09,20,-492.95,0.6,0.0,0.25,0.75
expected_n_plus_one,2025-10,20,-469.25,3.6,0.0,0.4,0.55
expected_n_plus_one,2025-11,20,-462.2,-0.65,-0.5,0.2,0.5
expected_n_plus_one,2025-12,20,-676.3,15.85,3.5,0.6,0.75
expected_n_plus_one,2026-01,20,-792.75,8.2,0.0,0.35,0.75
expected_n_plus_one,2026-02,20,-520.7,3.3,0.0,0.45,0.8
expected_n_plus_one,2026-03,20,-391.95,0.3,0.0,0.25,0.75
expected_n_plus_one,2026-04,20,-456.7,-5.0,-1.0,0.1,0.45
expected_n_plus_one,2026-05,20,-833.15,1.05,0.0,0.4,0.55
expected_n_plus_one,2026-06,20,-463.4,3.3,0.5,0.5,0.75
order_blend_50,2025-06,20,47.9,-0.45,0.0,0.0,0.9
order_blend_50,2025-07,20,110.2,5.55,0.0,0.25,0.8
order_blend_50,2025-08,20,132.25,14.55,0.0,0.4,0.9
order_blend_50,2025-09,20,58.8,3.65,0.0,0.2,0.95
order_blend_50,2025-10,20,18.05,-0.05,0.0,0.05,0.95
order_blend_50,2025-11,20,64.75,0.1,0.0,0.1,0.85
order_blend_50,2025-12,20,99.95,11.8,0.0,0.25,0.9
order_blend_50,2026-01,20,151.95,7.45,0.0,0.35,0.95
order_blend_50,2026-02,20,33.15,0.0,0.0,0.05,0.95
order_blend_50,2026-03,20,19.35,0.2,0.0,0.1,1.0
order_blend_50,2026-04,20,13.35,0.1,0.0,0.05,0.95
order_blend_50,2026-05,20,150.2,11.25,0.0,0.3,0.8
order_blend_50,2026-06,20,24.0,-1.15,0.0,0.1,0.95
