policy,month,local_seed,first_boundary_gain_h,second_boundary_gain_h
order_blend_50,2025-06,0,0.0,0.0
order_blend_50,2025-06,1,279.0,0.0
order_blend_50,2025-06,2,204.0,-5.0
order_blend_50,2025-06,3,0.0,0.0
order_blend_50,2025-06,4,0.0,0.0
order_blend_50,2025-06,5,0.0,0.0
order_blend_50,2025-06,6,0.0,0.0
order_blend_50,2025-06,7,0.0,0.0
order_blend_50,2025-06,8,0.0,0.0
order_blend_50,2025-06,9,0.0,0.0
order_blend_50,2025-06,10,0.0,0.0
order_blend_50,2025-06,11,0.0,0.0
order_blend_50,2025-06,12,0.0,0.0
order_blend_50,2025-06,13,228.0,0.0
order_blend_50,2025-06,14,247.0,-4.0
order_blend_50,2025-06,15,0.0,0.0
order_blend_50,2025-06,16,0.0,0.0
order_blend_50,2025-06,17,0.0,0.0
order_blend_50,2025-06,18,0.0,0.0
order_blend_50,2025-06,19,0.0,0.0
order_blend_50,2025-07,0,249.0,-4.0
order_blend_50,2025-07,1,0.0,0.0
order_blend_50,2025-07,2,0.0,0.0
order_blend_50,2025-07,3,250.0,21.0
order_blend_50,2025-07,4,276.0,-3.0
order_blend_50,2025-07,5,236.0,15.0
order_blend_50,2025-07,6,0.0,0.0
order_blend_50,2025-07,7,0.0,0.0
order_blend_50,2025-07,8,184.0,-16.0
order_blend_50,2025-07,9,0.0,0.0
order_blend_50,2025-07,10,227.0,34.0
order_blend_50,2025-07,11,196.0,59.0
order_blend_50,2025-07,12,0.0,0.0
order_blend_50,2025-07,13,0.0,0.0
order_blend_50,2025-07,14,97.0,-23.0
order_blend_50,2025-07,15,218.0,0.0
order_blend_50,2025-07,16,120.0,0.0
order_blend_50,2025-07,17,0.0,0.0
order_blend_50,2025-07,18,151.0,28.0
order_blend_50,2025-07,19,0.0,0.0
order_blend_50,2025-08,0,215.0,80.0
order_blend_50,2025-08,1,328.0,0.0
order_blend_50,2025-08,2,127.0,3.0
order_blend_50,2025-08,3,0.0,0.0
order_blend_50,2025-08,4,0.0,0.0
order_blend_50,2025-08,5,0.0,0.0
order_blend_50,2025-08,6,0.0,0.0
order_blend_50,2025-08,7,0.0,0.0
order_blend_50,2025-08,8,135.0,114.0
order_blend_50,2025-08,9,186.0,11.0
order_blend_50,2025-08,10,371.0,-5.0
order_blend_50,2025-08,11,303.0,12.0
order_blend_50,2025-08,12,137.0,17.0
order_blend_50,2025-08,13,306.0,-12.0
order_blend_50,2025-08,14,278.0,44.0
order_blend_50,2025-08,15,259.0,27.0
order_blend_50,2025-08,16,0.0,0.0
order_blend_50,2025-08,17,0.0,0.0
