policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,month,local_seed,simulation_seed
fixed_pair,True,True,744.0,939.0,195.0,23.85717871520033,2.333578008983605,939.0,27.483563258934545,0.5888060024426558,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,744.0,939.0,8.770295153311071,9.354166949869745,9.359101155753727,2025-06,0,0
order_blend_50,True,True,744.0,939.0,195.0,23.85717871520033,2.333578008983605,939.0,27.483563258934545,0.5888060024426558,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,744.0,939.0,8.770295153311071,9.354166949869745,9.359101155753727,2025-06,0,0
expected_n_plus_one,True,True,228.0,937.0,709.0,16.16201387553463,6.2962034059423315,937.0,27.47187258406988,0.6013587164052616,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,937.0,228.0,8.757144218222107,9.356225431220405,9.358502934627369,2025-06,0,0
fixed_pair,True,True,770.0,1051.0,281.0,23.919383893856786,2.272743760224291,1051.0,28.062146547074626,0.002968328934969122,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,770.0,1051.0,9.352162901660671,9.354852414818316,9.35513123059564,2025-06,1,1
order_blend_50,True,True,1049.0,1051.0,2.0,28.03678754677913,0.016128159230467176,1051.0,28.064213442074628,0.004560718157645027,4,2,"(np.int64(2), np.int64(1), np.int64(0))",,1051.0,1049.0,9.352162901660671,9.356723619818316,9.35532692059564,2025-06,1,1
expected_n_plus_one,True,True,259.0,1051.0,792.0,16.058255664958057,6.3948287406094995,1051.0,28.063673140231536,0.007183641329937984,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1051.0,259.0,9.350276501114465,9.357460142444403,9.355936496672667,2025-06,1,1
fixed_pair,True,True,726.0,952.0,226.0,24.034426080948403,2.25601161817072,952.0,27.754321191209897,0.4090616853312099,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,726.0,952.0,8.99494575200613,9.40400743733734,9.35536800186643,2025-06,2,2
order_blend_50,True,True,930.0,947.0,17.0,27.43568477895772,0.526074116944736,947.0,27.67473293308135,0.39453839715006467,4,2,"(np.int64(2), np.int64(1), np.int64(0))",,947.0,930.0,8.962224068434232,9.355746399062822,9.356762465584296,2025-06,2,2
expected_n_plus_one,True,True,211.0,946.0,735.0,15.578951781148353,6.875174948144391,946.0,27.667087511968113,0.40138013010103357,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,946.0,211.0,8.955077528434227,9.355552324998625,9.35645765853526,2025-06,2,2
fixed_pair,True,True,626.0,807.0,181.0,22.621478449089462,3.5753340266474707,807.0,25.864485582913943,2.2960754792056948,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,626.0,807.0,7.105607639031002,9.357194825646244,9.401683118236697,2025-06,3,3
order_blend_50,True,True,626.0,807.0,181.0,22.621478449089462,3.5753340266474707,807.0,25.864485582913943,2.2960754792056948,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,626.0,807.0,7.105607639031002,9.357194825646244,9.401683118236697,2025-06,3,3
expected_n_plus_one,True,True,221.0,807.0,586.0,15.735434784494128,6.724227799533113,807.0,25.87172052249849,2.301279658533976,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,807.0,221.0,7.105607639031002,9.406887297564978,9.359225585902509,2025-06,3,3
fixed_pair,True,True,644.0,895.0,251.0,22.924889816306464,3.265929001173256,895.0,26.829577564177576,1.2416826819996043,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,644.0,895.0,8.116848442830168,9.354197996517637,9.358531124829772,2025-06,4,4
order_blend_50,True,True,644.0,895.0,251.0,22.924889816306464,3.265929001173256,895.0,26.829577564177576,1.2416826819996043,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,644.0,895.0,8.116848442830168,9.354197996517637,9.358531124829772,2025-06,4,4
expected_n_plus_one,True,True,194.0,898.0,704.0,15.45888497129969,6.999456592571132,898.0,26.85426965853922,1.2224925581908632,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,898.0,194.0,8.136606012262028,9.359098570452892,9.3585650758243,2025-06,4,4
fixed_pair,True,True,723.0,924.0,201.0,23.55186672825788,2.6406654929334508,924.0,26.915404402608964,1.1481613272502713,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,723.0,924.0,8.206893371123172,9.355054698373444,9.35345633311235,2025-06,5,5
order_blend_50,True,True,723.0,924.0,201.0,23.55186672825788,2.6406654929334508,924.0,26.915404402608964,1.1481613272502713,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,723.0,924.0,8.206893371123172,9.355054698373444,9.35345633311235,2025-06,5,5
expected_n_plus_one,True,True,246.0,923.0,677.0,16.256492313355473,6.192746758908569,923.0,26.908405976035972,1.153694073768719,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,923.0,246.0,8.200349036123173,9.354043109891892,9.354013830020909,2025-06,5,5
fixed_pair,True,True,667.0,929.0,262.0,23.4422511848754,2.7537099193518486,929.0,27.514430058156556,0.6557974146409133,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,667.0,929.0,8.75093175181212,9.356769139891401,9.406729166453033,2025-06,6,6
order_blend_50,True,True,667.0,929.0,262.0,23.4422511848754,2.7537099193518486,929.0,27.514430058156556,0.6557974146409133,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,667.0,929.0,8.75093175181212,9.356769139891401,9.406729166453033,2025-06,6,6
expected_n_plus_one,True,True,245.0,929.0,684.0,16.301014808189723,6.150266126317997,929.0,27.510620070045103,0.6537218052781153,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,929.0,245.0,8.75093175181212,9.404653557090235,9.355034761142749,2025-06,6,6
fixed_pair,True,True,761.0,979.0,218.0,23.8893127948982,2.446483564613244,979.0,27.295379284385874,0.9164597090098852,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,761.0,979.0,8.510227058523613,9.426686767533498,9.358465458328764,2025-06,7,7
order_blend_50,True,True,761.0,979.0,218.0,23.8893127948982,2.446483564613244,979.0,27.295379284385874,0.9164597090098852,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,761.0,979.0,8.510227058523613,9.426686767533498,9.358465458328764,2025-06,7,7
expected_n_plus_one,True,True,238.0,977.0,739.0,16.134136517653797,6.444376492042304,977.0,27.274856917621285,0.9213878802133255,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,977.0,238.0,8.497262918523614,9.35894320036073,9.41865079873694,2025-06,7,7
fixed_pair,True,True,737.0,960.0,223.0,23.21249759940779,2.986205807343163,960.0,26.801456838630394,1.2716115013464524,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,737.0,960.0,8.086528789806803,9.358140291153255,9.356787757670334,2025-06,8,8
order_blend_50,True,True,737.0,960.0,223.0,23.21249759940779,2.986205807343163,960.0,26.801456838630394,1.2716115013464524,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,737.0,960.0,8.086528789806803,9.358140291153255,9.356787757670334,2025-06,8,8
expected_n_plus_one,True,True,255.0,959.0,704.0,15.802112019518578,6.646644848344438,959.0,26.78962950108224,1.2762614536482353,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,959.0,255.0,8.079797659806802,9.356059113455037,9.353772727820397,2025-06,8,8
fixed_pair,True,True,611.0,846.0,235.0,22.62152231278975,3.570696603266496,846.0,26.304104618019366,1.765581787072282,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,611.0,846.0,7.591812392570592,9.354898045805902,9.357394179642874,2025-06,9,9
order_blend_50,True,True,611.0,846.0,235.0,22.62152231278975,3.570696603266496,846.0,26.304104618019366,1.765581787072282,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,611.0,846.0,7.591812392570592,9.354898045805902,9.357394179642874,2025-06,9,9
expected_n_plus_one,True,True,202.0,847.0,645.0,15.803216641745548,6.6461035376788224,847.0,26.310165745007666,1.7597714962654099,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,847.0,202.0,7.598169932570592,9.357941428836002,9.354054383601074,2025-06,9,9
