scenario_id,local_seed,category,policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta,assignment_change_delta
reference,0,reference,health_greedy,332.0,-29.0,21,21
reference,1,reference,health_greedy,218.0,20.0,24,24
reference,2,reference,health_greedy,322.0,-11.0,23,23
reference,3,reference,health_greedy,407.0,-12.0,24,24
reference,4,reference,health_greedy,263.0,40.0,23,23
reference,5,reference,health_greedy,396.0,-8.0,23,23
reference,6,reference,health_greedy,298.0,-4.0,24,24
reference,7,reference,health_greedy,247.0,19.0,22,22
reference,8,reference,health_greedy,265.0,-10.0,18,18
reference,9,reference,health_greedy,316.0,0.0,26,26
reference,10,reference,health_greedy,294.0,-11.0,21,21
reference,11,reference,health_greedy,351.0,-10.0,23,23
reference,12,reference,health_greedy,285.0,10.0,24,24
reference,13,reference,health_greedy,333.0,0.0,26,26
reference,14,reference,health_greedy,329.0,-3.0,27,27
reference,15,reference,health_greedy,301.0,5.0,27,27
reference,16,reference,health_greedy,289.0,33.0,23,23
reference,17,reference,health_greedy,341.0,10.0,26,26
reference,18,reference,health_greedy,306.0,-32.0,19,19
reference,19,reference,health_greedy,303.0,-6.0,20,20
initial_stagger_perm_1,0,initial_health,health_greedy,983.0,-13.0,21,21
initial_stagger_perm_1,1,initial_health,health_greedy,1080.0,0.0,27,27
initial_stagger_perm_1,2,initial_health,health_greedy,1038.0,-9.0,20,20
initial_stagger_perm_1,3,initial_health,health_greedy,980.0,-71.0,26,26
initial_stagger_perm_1,4,initial_health,health_greedy,992.0,0.0,22,22
initial_stagger_perm_1,5,initial_health,health_greedy,1042.0,-8.0,25,25
initial_stagger_perm_1,6,initial_health,health_greedy,1003.0,-3.0,22,22
initial_stagger_perm_1,7,initial_health,health_greedy,1019.0,41.0,22,22
initial_stagger_perm_1,8,initial_health,health_greedy,921.0,0.0,17,17
initial_stagger_perm_1,9,initial_health,health_greedy,985.0,0.0,24,24
initial_stagger_perm_1,10,initial_health,health_greedy,911.0,-7.0,18,18
initial_stagger_perm_1,11,initial_health,health_greedy,1009.0,-15.0,24,24
initial_stagger_perm_1,12,initial_health,health_greedy,1005.0,0.0,26,26
initial_stagger_perm_1,13,initial_health,health_greedy,960.0,-14.0,26,26
initial_stagger_perm_1,14,initial_health,health_greedy,1140.0,-12.0,25,25
initial_stagger_perm_1,15,initial_health,health_greedy,1076.0,7.0,28,28
initial_stagger_perm_1,16,initial_health,health_greedy,974.0,17.0,22,22
initial_stagger_perm_1,17,initial_health,health_greedy,1104.0,-16.0,27,27
initial_stagger_perm_1,18,initial_health,health_greedy,932.0,-16.0,18,18
initial_stagger_perm_1,19,initial_health,health_greedy,998.0,-8.0,19,19
initial_stagger_perm_2,0,initial_health,health_greedy,377.0,-5.0,19,19
initial_stagger_perm_2,1,initial_health,health_greedy,231.0,48.0,24,24
initial_stagger_perm_2,2,initial_health,health_greedy,239.0,18.0,21,21
initial_stagger_perm_2,3,initial_health,health_greedy,410.0,-11.0,29,29
initial_stagger_perm_2,4,initial_health,health_greedy,221.0,43.0,23,23
initial_stagger_perm_2,5,initial_health,health_greedy,340.0,11.0,25,25
initial_stagger_perm_2,6,initial_health,health_greedy,312.0,-10.0,24,24
initial_stagger_perm_2,7,initial_health,health_greedy,185.0,0.0,21,21
initial_stagger_perm_2,8,initial_health,health_greedy,263.0,-13.0,18,18
initial_stagger_perm_2,9,initial_health,health_greedy,253.0,-3.0,23,23
initial_stagger_perm_2,10,initial_health,health_greedy,303.0,-15.0,22,22
initial_stagger_perm_2,11,initial_health,health_greedy,306.0,23.0,27,27
initial_stagger_perm_2,12,initial_health,health_greedy,256.0,-1.0,21,21
initial_stagger_perm_2,13,initial_health,health_greedy,273.0,26.0,25,25
initial_stagger_perm_2,14,initial_health,health_greedy,245.0,50.0,26,26
initial_stagger_perm_2,15,initial_health,health_greedy,219.0,-10.0,27,27
initial_stagger_perm_2,16,initial_health,health_greedy,249.0,0.0,21,21
initial_stagger_perm_2,17,initial_health,health_greedy,282.0,-10.0,18,18
initial_stagger_perm_2,18,initial_health,health_greedy,323.0,-8.0,18,18
initial_stagger_perm_2,19,initial_health,health_greedy,319.0,18.0,19,19
initial_stagger_perm_3,0,initial_health,health_greedy,1062.0,401.0,22,22
initial_stagger_perm_3,1,initial_health,health_greedy,1081.0,222.0,23,23
initial_stagger_perm_3,2,initial_health,health_greedy,1063.0,355.0,19,19
initial_stagger_perm_3,3,initial_health,health_greedy,1120.0,326.0,27,27
initial_stagger_perm_3,4,initial_health,health_greedy,996.0,206.0,22,22
initial_stagger_perm_3,5,initial_health,health_greedy,1095.0,447.0,28,28
initial_stagger_perm_3,6,initial_health,health_greedy,1087.0,385.0,24,24
initial_stagger_perm_3,7,initial_health,health_greedy,1019.0,288.0,22,22
initial_stagger_perm_3,8,initial_health,health_greedy,1057.0,322.0,20,20
initial_stagger_perm_3,9,initial_health,health_greedy,1066.0,273.0,25,25
initial_stagger_perm_3,10,initial_health,health_greedy,1028.0,335.0,19,19
initial_stagger_perm_3,11,initial_health,health_greedy,1070.0,258.0,29,29
initial_stagger_perm_3,12,initial_health,health_greedy,1017.0,223.0,22,22
initial_stagger_perm_3,13,initial_health,health_greedy,960.0,410.0,22,22
initial_stagger_perm_3,14,initial_health,health_greedy,1120.0,236.0,22,22
initial_stagger_perm_3,15,initial_health,health_greedy,1047.0,184.0,26,26
initial_stagger_perm_3,16,initial_health,health_greedy,974.0,126.0,21,21
initial_stagger_perm_3,17,initial_health,health_greedy,1058.0,263.0,20,20
initial_stagger_perm_3,18,initial_health,health_greedy,1053.0,357.0,19,19
initial_stagger_perm_3,19,initial_health,health_greedy,1014.0,293.0,19,19
initial_stagger_perm_4,0,initial_health,health_greedy,972.0,-9.0,19,19
initial_stagger_perm_4,1,initial_health,health_greedy,1056.0,7.0,26,26
initial_stagger_perm_4,2,initial_health,health_greedy,1037.0,2.0,20,20
initial_stagger_perm_4,3,initial_health,health_greedy,1027.0,-41.0,24,24
initial_stagger_perm_4,4,initial_health,health_greedy,973.0,13.0,25,25
initial_stagger_perm_4,5,initial_health,health_greedy,1036.0,-12.0,24,24
initial_stagger_perm_4,6,initial_health,health_greedy,1013.0,0.0,23,23
initial_stagger_perm_4,7,initial_health,health_greedy,996.0,41.0,20,20
initial_stagger_perm_4,8,initial_health,health_greedy,910.0,-12.0,18,18
initial_stagger_perm_4,9,initial_health,health_greedy,980.0,1.0,25,25
initial_stagger_perm_4,10,initial_health,health_greedy,920.0,-1.0,22,22
initial_stagger_perm_4,11,initial_health,health_greedy,996.0,-15.0,23,23
initial_stagger_perm_4,12,initial_health,health_greedy,985.0,0.0,24,24
initial_stagger_perm_4,13,initial_health,health_greedy,932.0,39.0,26,26
initial_stagger_perm_4,14,initial_health,health_greedy,1090.0,-7.0,25,25
initial_stagger_perm_4,15,initial_health,health_greedy,1026.0,-1.0,27,27
initial_stagger_perm_4,16,initial_health,health_greedy,957.0,23.0,23,23
initial_stagger_perm_4,17,initial_health,health_greedy,1056.0,6.0,24,24
initial_stagger_perm_4,18,initial_health,health_greedy,945.0,-11.0,19,19
initial_stagger_perm_4,19,initial_health,health_greedy,988.0,8.0,19,19
initial_stagger_perm_5,0,initial_health,health_greedy,1022.0,417.0,20,20
initial_stagger_perm_5,1,initial_health,health_greedy,1056.0,299.0,25,25
initial_stagger_perm_5,2,initial_health,health_greedy,987.0,416.0,20,20
initial_stagger_perm_5,3,initial_health,health_greedy,1078.0,349.0,25,25
initial_stagger_perm_5,4,initial_health,health_greedy,969.0,221.0,22,22
initial_stagger_perm_5,5,initial_health,health_greedy,1067.0,489.0,24,24
initial_stagger_perm_5,6,initial_health,health_greedy,1030.0,436.0,26,26
initial_stagger_perm_5,7,initial_health,health_greedy,996.0,358.0,23,23
initial_stagger_perm_5,8,initial_health,health_greedy,984.0,340.0,19,19
initial_stagger_perm_5,9,initial_health,health_greedy,988.0,326.0,25,25
initial_stagger_perm_5,10,initial_health,health_greedy,960.0,346.0,20,20
initial_stagger_perm_5,11,initial_health,health_greedy,1042.0,311.0,25,25
initial_stagger_perm_5,12,initial_health,health_greedy,990.0,263.0,25,25
initial_stagger_perm_5,13,initial_health,health_greedy,930.0,495.0,24,24
initial_stagger_perm_5,14,initial_health,health_greedy,1048.0,289.0,19,19
initial_stagger_perm_5,15,initial_health,health_greedy,1024.0,235.0,26,26
initial_stagger_perm_5,16,initial_health,health_greedy,957.0,192.0,22,22
initial_stagger_perm_5,17,initial_health,health_greedy,1037.0,274.0,22,22
initial_stagger_perm_5,18,initial_health,health_greedy,1001.0,363.0,19,19
initial_stagger_perm_5,19,initial_health,health_greedy,984.0,352.0,20,20
initial_zuo_one_aged_stack_0,0,initial_health,health_greedy,890.0,825.0,89,89
initial_zuo_one_aged_stack_0,1,initial_health,health_greedy,753.0,737.0,76,76
initial_zuo_one_aged_stack_0,2,initial_health,health_greedy,667.0,614.0,67,67
initial_zuo_one_aged_stack_0,3,initial_health,health_greedy,809.0,731.0,79,79
initial_zuo_one_aged_stack_0,4,initial_health,health_greedy,906.0,789.0,77,77
initial_zuo_one_aged_stack_0,5,initial_health,health_greedy,804.0,797.0,82,82
initial_zuo_one_aged_stack_0,6,initial_health,health_greedy,809.0,807.0,70,70
initial_zuo_one_aged_stack_0,7,initial_health,health_greedy,798.0,663.0,80,80
