policy,effective_policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,category,boundary_scale,gamma_terminal_cv,risk_horizon_h,reschedule_h,evidence,local_seed,initial_damage_fraction,heterogeneity_factors
fixed_pair,fixed_pair,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,0,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,0,True,True,1388.0,1423.0,35.0,27.090675038441073,0.8373358543709841,1423.0,27.381847476072437,0.685480374247037,24,22,"(np.int64(2), np.int64(1), np.int64(0))",,1423.0,1388.0,8.670559466662825,9.355248168499752,9.356039840909862,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,0,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,0,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,1,True,True,1268.0,1574.0,306.0,24.415707402813606,1.8727833084633332,1574.0,27.850701584874535,0.21718158059147896,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1268.0,1574.0,9.13915693568764,9.355206132907778,9.356338516279118,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,1,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,1,True,True,1486.0,1594.0,108.0,26.767643698848765,0.8148488055992313,1594.0,28.056949229669204,0.009297895431974013,27,25,"(np.int64(1), np.int64(0), np.int64(2))",1594.0,1486.0,,9.354333690386422,9.355956717357378,9.346658821925404,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,1,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,1,True,True,1594.0,1598.0,4.0,27.99378201442405,0.054821349780906914,1598.0,28.03065858176408,0.03645667841314193,7,5,"(np.int64(0), np.int64(1), np.int64(2))",1594.0,1598.0,,9.35453939506145,9.356287932557885,9.319831254144743,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,1,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,2,True,True,1140.0,1484.0,344.0,24.27360821879142,1.9416042151083905,1484.0,28.06255589514631,0.02980523204555041,3,1,"(np.int64(1), np.int64(0), np.int64(2))",1484.0,1140.0,,9.359571517736493,9.366394804727683,9.336589572682133,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,2,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,2,True,True,1462.0,1473.0,11.0,27.941670218005452,0.08216432798001527,1473.0,28.021689836101537,0.04379525319282429,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1473.0,1462.0,9.31189375097931,9.35410708095009,9.355689004172135,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,2,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,2,True,True,1308.0,1484.0,176.0,25.981661369345485,1.285828689586836,1484.0,28.068313626882237,0.006110017902102527,5,3,"(np.int64(1), np.int64(0), np.int64(2))",1484.0,1308.0,1484.0,9.359690117736491,9.355043409311358,9.353580099834389,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,2,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,3,True,True,906.0,1342.0,436.0,22.17714328631923,4.012630186494599,1342.0,26.16185662496339,1.9010748521262402,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,906.0,1342.0,7.453553224326231,9.35367532418469,9.354628076452471,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,3,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,3,True,True,1313.0,1330.0,17.0,25.920883558410267,2.0746093525275313,1330.0,26.11874604002303,1.9465063048241644,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1313.0,1330.0,7.409489421139113,9.353260892920641,9.355995725963277,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,3,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,3,True,True,906.0,1342.0,436.0,22.17714328631923,4.012630186494599,1342.0,26.16185662496339,1.9010748521262402,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,906.0,1342.0,7.453553224326231,9.35367532418469,9.354628076452471,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,3,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,4,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164307046,0.4672207989549424,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.92025789718736,9.357277570977384,9.387478696142303,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,4,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,4,True,True,1319.0,1359.0,40.0,27.720368009863613,0.6079371533001492,1359.0,28.037186495886687,0.4514678263945928,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1359.0,1319.0,9.1047321693703,9.376254330751493,9.556199995764892,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,4,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,4,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164284884,0.46722079892716195,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.920257897190169,9.357277570977384,9.38747869611733,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,4,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,5,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,5,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
