scenario_id,category,policy,seeds,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_gain_median_h,second_boundary_wins,second_boundary_ties,second_boundary_losses,second_boundary_sign_p_one_sided,second_boundary_nonworse_share,start_count_delta_mean,assignment_change_delta_mean
reference,reference,health_greedy,20,309.8,291.2254504206282,330.25,0.05,-7.05,8.528723747742424,-3.5,7,2,11,0.8810577392578125,0.45,23.2,23.2
initial_stagger_perm_1,initial_health,health_greedy,20,1007.6,984.0820128917196,1034.9094975309833,-6.35,-16.65,0.9240805448101128,-7.5,3,5,12,0.996307373046875,0.4,22.95,22.95
initial_stagger_perm_2,initial_health,health_greedy,20,280.3,258.6071473676527,306.45,7.55,-0.3,17.8,-0.5,8,2,10,0.7596588134765625,0.5,22.55,22.55
initial_stagger_perm_3,initial_health,health_greedy,20,1049.35,1030.2812973528273,1066.9,295.5,260.15,331.4,290.5,20,0,0,9.5367431640625e-07,1.0,22.55,22.55
initial_stagger_perm_4,initial_health,health_greedy,20,994.75,974.5,1015.2,1.55,-5.95,9.949735224422783,0.0,9,2,9,0.5927352905273438,0.55,22.8,22.8
initial_stagger_perm_5,initial_health,health_greedy,20,1007.5,990.45,1024.45,338.55,304.25,376.46351264664344,343.0,20,0,0,9.5367431640625e-07,1.0,22.55,22.55
initial_zuo_one_aged_stack_0,initial_health,health_greedy,20,833.75,803.25,863.9068283200246,750.2,712.05,785.25,767.0,20,0,0,9.5367431640625e-07,1.0,76.65,76.65
initial_zuo_one_aged_stack_1,initial_health,health_greedy,20,875.45,835.65,910.5,705.25,657.5,747.2800784015556,735.0,20,0,0,9.5367431640625e-07,1.0,76.65,76.65
initial_zuo_one_aged_stack_2,initial_health,health_greedy,20,764.9,733.9716545077633,795.15,655.55,621.9919364815264,687.0,664.0,20,0,0,9.5367431640625e-07,1.0,76.75,76.75
initial_equal_fresh,initial_health,health_greedy,20,842.6,810.65,879.8518168308473,736.6,704.15,766.45,723.0,20,0,0,9.5367431640625e-07,1.0,84.45,84.45
initial_equal_midlife,initial_health,health_greedy,20,497.7,468.6,527.05,419.35,400.15,442.2,412.0,20,0,0,9.5367431640625e-07,1.0,50.05,50.05
heterogeneity_current_perm_1,heterogeneity,health_greedy,20,338.15,318.55,355.1,-4.85,-9.6,3.319863457167321,-6.5,3,3,14,0.9988250732421875,0.3,22.95,22.95
heterogeneity_current_perm_2,heterogeneity,health_greedy,20,280.3,257.9,305.6,7.55,-0.1808001622758013,18.3,-0.5,8,2,10,0.7596588134765625,0.5,22.55,22.55
