policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638
order_blend_50,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638
expected_n_plus_one,0,True,True,361.0,1431.0,1070.0,16.07004837669436,6.377647385937081,1431.0,27.40384953048448,0.6563020079672555,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1431.0,361.0,8.697152673656307,9.353454681623562,9.35324217520461
fixed_pair,1,True,True,1268.0,1574.0,306.0,24.415707402813606,1.8727833084633332,1574.0,27.850701584874535,0.21718158059147896,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1268.0,1574.0,9.13915693568764,9.355206132907778,9.356338516279118
order_blend_50,1,True,True,1594.0,1598.0,4.0,27.99378201442405,0.054821349780906914,1598.0,28.03065858176408,0.03645667841314193,7,5,"(np.int64(0), np.int64(1), np.int64(2))",1594.0,1598.0,,9.35453939506145,9.356287932557885,9.319831254144743
expected_n_plus_one,1,True,True,392.0,1604.0,1212.0,16.001905278033824,6.602269888932703,1604.0,28.082005754192192,0.1346022132171356,3,1,"(np.int64(2), np.int64(0), np.int64(1))",1604.0,,392.0,9.35364421266502,9.296879664155018,9.431481877372153
fixed_pair,2,True,True,1140.0,1484.0,344.0,24.27360821879142,1.9416042151083905,1484.0,28.06255589514631,0.02980523204555041,3,1,"(np.int64(1), np.int64(0), np.int64(2))",1484.0,1140.0,,9.359571517736493,9.366394804727683,9.336589572682133
order_blend_50,2,True,True,1308.0,1484.0,176.0,25.981661369345485,1.285828689586836,1484.0,28.068313626882237,0.006110017902102527,5,3,"(np.int64(1), np.int64(0), np.int64(2))",1484.0,1308.0,1484.0,9.359690117736491,9.355043409311358,9.353580099834389
expected_n_plus_one,2,True,True,354.0,1484.0,1130.0,15.653156773541422,6.808003128190509,1484.0,28.070118445768372,0.009342261477828018,3,1,"(np.int64(2), np.int64(0), np.int64(1))",1484.0,,354.0,9.359512217736492,9.350631983277026,9.359974244754854
fixed_pair,3,True,True,906.0,1342.0,436.0,22.17714328631923,4.012630186494599,1342.0,26.16185662496339,1.9010748521262402,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,906.0,1342.0,7.453553224326231,9.35367532418469,9.354628076452471
order_blend_50,3,True,True,906.0,1342.0,436.0,22.17714328631923,4.012630186494599,1342.0,26.16185662496339,1.9010748521262402,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,906.0,1342.0,7.453553224326231,9.35367532418469,9.354628076452471
expected_n_plus_one,3,True,True,289.0,1409.0,1120.0,15.852852392491037,7.231286955612012,1409.0,26.86408330535879,1.8433224364250531,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1409.0,289.0,7.82814153151536,9.364477805903018,9.671463967940413
fixed_pair,4,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164307046,0.4672207989549424,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.92025789718736,9.357277570977384,9.387478696142303
order_blend_50,4,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164284884,0.46722079892716195,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.920257897190169,9.357277570977384,9.38747869611733
