boundary_scale,damage_boundary_pct,current_a,voltage_loss_fraction,within_lzw_calibration_range
0.8,7.482422824444445,90.0,0.006072903036186409,True
0.8,7.482422824444445,120.0,0.007651312277655979,True
0.8,7.482422824444445,160.0,0.009836436682438984,True
0.8,7.482422824444445,195.0,0.011808218047597407,True
0.8,7.482422824444445,270.0,0.016205770934611712,True
0.8,7.482422824444445,340.0,0.0205447865476295,True
0.8,7.482422824444445,370.0,0.022496259266526403,True
1.0,9.353028530555555,90.0,0.008834184540362984,True
1.0,9.353028530555555,120.0,0.011108298454577352,True
1.0,9.353028530555555,160.0,0.014247127768113791,True
1.0,9.353028530555555,195.0,0.017075201231224815,True
1.0,9.353028530555555,270.0,0.02337551981390987,True
1.0,9.353028530555555,340.0,0.02958574988272513,True
1.0,9.353028530555555,370.0,0.032376320934450635,True
1.2,11.223634236666665,90.0,0.012045901808295234,False
1.2,11.223634236666665,120.0,0.015108794180747186,False
1.2,11.223634236666665,160.0,0.01932748199934903,False
1.2,11.223634236666665,195.0,0.023124433083257616,False
1.2,11.223634236666665,270.0,0.031576584309111456,False
1.2,11.223634236666665,340.0,0.039902090536709574,False
1.2,11.223634236666665,370.0,0.04364091832968713,False
