scenario_id,policy,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_wins,second_boundary_ties,second_boundary_losses,second_boundary_nonworse_share,start_count_delta_mean
reference,order_blend_50,91.65,40.75,166.9,2.45,0.65,6.85,4,16,0,1.0,1.1
heterogeneity_current_perm_3,order_blend_50,-538.7,-638.8,-334.95,-1.2,-4.35,2.95,4,6,10,0.5,0.5
heterogeneity_gp_re_high_perm_1,order_blend_50,-382.6,-403.52446526906823,-363.40429045425407,-4.45,-9.45,1.65,5,5,10,0.5,0.0
heterogeneity_gp_re_high_perm_3,order_blend_50,75.05,-21.42015138589258,180.83470214378485,-12.6,-27.25,6.247757813362114,4,1,15,0.25,6.9
heterogeneity_gp_re_increased_perm_1,order_blend_50,-277.7,-292.6,-261.0,-10.15,-24.8,5.65,6,2,12,0.4,0.0
heterogeneity_gp_re_increased_perm_3,order_blend_50,367.1,262.3,471.85,-47.2,-76.25,-2.75,4,1,15,0.25,12.35
boundary_scale_0.80,order_blend_50,97.05,47.5,158.45,-0.2,-3.7105631357832305,1.9,3,14,3,0.85,2.1
boundary_scale_1.20,order_blend_50,99.2,43.55,175.46515066034263,-0.5,-3.9,2.65,2,14,4,0.8,1.65
reference,guarded_blend,91.65,34.25,167.35,2.45,0.65,6.65,4,16,0,1.0,1.1
heterogeneity_current_perm_3,guarded_blend,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,0.0
heterogeneity_gp_re_high_perm_1,guarded_blend,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,0.0
heterogeneity_gp_re_high_perm_3,guarded_blend,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,0.0
heterogeneity_gp_re_increased_perm_1,guarded_blend,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,0.0
heterogeneity_gp_re_increased_perm_3,guarded_blend,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,0.0
boundary_scale_0.80,guarded_blend,97.05,47.919417206952545,154.4,-0.2,-3.8,1.95,3,14,3,0.85,2.1
boundary_scale_1.20,guarded_blend,99.2,43.55,177.05,-0.5,-3.9,2.65,2,14,4,0.8,1.65
reference,protected_blend_50,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,0.0
heterogeneity_current_perm_3,protected_blend_50,24.95,7.85,79.62304743806197,-2.1,-8.587062605849797,-0.1,1,15,4,0.8,0.75
heterogeneity_gp_re_high_perm_1,protected_blend_50,208.9,149.60388536879125,270.95,-3.4,-11.25,9.35,5,6,9,0.55,11.85
heterogeneity_gp_re_high_perm_3,protected_blend_50,551.1,463.6415123428225,587.95,-3.2,-17.35,11.4,9,2,9,0.55,19.25
heterogeneity_gp_re_increased_perm_1,protected_blend_50,292.8,230.13478688714417,344.1,-15.4,-30.50058831464414,-6.1,4,4,12,0.4,14.65
heterogeneity_gp_re_increased_perm_3,protected_blend_50,736.75,701.9,770.45,-24.5,-52.9,5.2,5,1,14,0.3,18.25
boundary_scale_0.80,protected_blend_50,9.35,0.0,37.35,0.55,-0.1,2.95,1,18,1,0.95,0.3
boundary_scale_1.20,protected_blend_50,18.0,0.0,68.0,0.3,-0.9,3.0,1,18,1,0.95,0.4
