scenario_id,month,local_seed,policy,effective_policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
reference,2025-06,0,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,1,guarded_blend,order_blend_50,279.0,0.0,1
reference,2025-06,2,guarded_blend,order_blend_50,204.0,-5.0,1
reference,2025-06,3,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,4,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,5,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,6,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,7,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,8,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,9,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,10,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,11,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,12,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,13,guarded_blend,order_blend_50,228.0,0.0,2
reference,2025-06,14,guarded_blend,order_blend_50,247.0,-4.0,3
reference,2025-06,15,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,16,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,17,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,18,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-06,19,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-07,0,guarded_blend,order_blend_50,249.0,-4.0,4
reference,2025-07,1,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-07,2,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-07,3,guarded_blend,order_blend_50,250.0,21.0,1
reference,2025-07,4,guarded_blend,order_blend_50,276.0,-3.0,5
reference,2025-07,5,guarded_blend,order_blend_50,236.0,15.0,2
reference,2025-07,6,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-07,7,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-07,8,guarded_blend,order_blend_50,184.0,-16.0,6
reference,2025-07,9,guarded_blend,order_blend_50,0.0,0.0,0
reference,2025-07,10,guarded_blend,order_blend_50,227.0,34.0,11
reference,2025-07,11,guarded_blend,order_blend_50,196.0,59.0,8
reference,2025-07,12,guarded_blend,order_blend_50,0.0,0.0,0
