scenario_id,local_seed,policy,effective_policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
reference,0,guarded_blend,order_blend_50,0.0,0.0,0
reference,1,guarded_blend,order_blend_50,326.0,24.0,4
reference,2,guarded_blend,order_blend_50,168.0,0.0,2
reference,3,guarded_blend,order_blend_50,0.0,0.0,0
reference,4,guarded_blend,order_blend_50,0.0,0.0,0
reference,5,guarded_blend,order_blend_50,0.0,0.0,0
reference,6,guarded_blend,order_blend_50,0.0,0.0,0
reference,7,guarded_blend,order_blend_50,0.0,0.0,0
reference,8,guarded_blend,order_blend_50,0.0,0.0,0
reference,9,guarded_blend,order_blend_50,0.0,0.0,0
reference,10,guarded_blend,order_blend_50,0.0,0.0,0
reference,11,guarded_blend,order_blend_50,0.0,0.0,0
reference,12,guarded_blend,order_blend_50,0.0,0.0,0
reference,13,guarded_blend,order_blend_50,333.0,0.0,8
reference,14,guarded_blend,order_blend_50,345.0,8.0,4
reference,15,guarded_blend,order_blend_50,321.0,5.0,1
reference,16,guarded_blend,order_blend_50,0.0,0.0,0
reference,17,guarded_blend,order_blend_50,340.0,12.0,3
reference,18,guarded_blend,order_blend_50,0.0,0.0,0
reference,19,guarded_blend,order_blend_50,0.0,0.0,0
initial_stagger_perm_1,0,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,1,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,2,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,3,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,4,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,5,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,6,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,7,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,8,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,9,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,10,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,11,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,12,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,13,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,14,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,15,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,16,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,17,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,18,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_1,19,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_2,0,guarded_blend,order_blend_50,374.0,-5.0,8
initial_stagger_perm_2,1,guarded_blend,order_blend_50,210.0,51.0,13
initial_stagger_perm_2,2,guarded_blend,order_blend_50,239.0,21.0,6
initial_stagger_perm_2,3,guarded_blend,order_blend_50,0.0,0.0,0
initial_stagger_perm_2,4,guarded_blend,order_blend_50,221.0,45.0,4
initial_stagger_perm_2,5,guarded_blend,order_blend_50,47.0,-4.0,2
initial_stagger_perm_2,6,guarded_blend,order_blend_50,318.0,-1.0,6
initial_stagger_perm_2,7,guarded_blend,order_blend_50,239.0,0.0,2
initial_stagger_perm_2,8,guarded_blend,order_blend_50,0.0,0.0,0
initial_stagger_perm_2,9,guarded_blend,order_blend_50,0.0,0.0,0
initial_stagger_perm_2,10,guarded_blend,order_blend_50,100.0,-3.0,2
initial_stagger_perm_2,11,guarded_blend,order_blend_50,0.0,0.0,0
initial_stagger_perm_2,12,guarded_blend,order_blend_50,0.0,0.0,0
initial_stagger_perm_2,13,guarded_blend,order_blend_50,277.0,26.0,10
initial_stagger_perm_2,14,guarded_blend,order_blend_50,246.0,54.0,9
initial_stagger_perm_2,15,guarded_blend,order_blend_50,225.0,-3.0,4
initial_stagger_perm_2,16,guarded_blend,order_blend_50,0.0,0.0,0
initial_stagger_perm_2,17,guarded_blend,order_blend_50,278.0,0.0,4
initial_stagger_perm_2,18,guarded_blend,order_blend_50,0.0,0.0,0
initial_stagger_perm_2,19,guarded_blend,order_blend_50,317.0,24.0,8
initial_stagger_perm_3,0,guarded_blend,fixed_pair,0.0,0.0,0
