scenario_id,policy,samples,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_nonworse_share,start_count_delta_mean
reference,guarded_blend,20,91.65,40.72430720806406,167.1,2.45,0.65,6.85,1.0,1.1
initial_stagger_perm_1,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_stagger_perm_2,guarded_blend,20,154.55,97.95,213.3,10.25,3.4,20.2,0.75,3.9
initial_stagger_perm_3,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_stagger_perm_4,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_stagger_perm_5,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_zuo_one_aged_stack_0,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_zuo_one_aged_stack_1,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_zuo_one_aged_stack_2,guarded_blend,20,763.1,732.8405508903927,795.1771507078607,653.8,619.646130621736,686.448055255381,1.0,76.35
initial_equal_fresh,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_equal_midlife,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_current_perm_1,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_current_perm_2,guarded_blend,20,154.55,97.32759241854149,212.4141399946255,10.25,3.5,20.49361253383704,0.75,3.9
heterogeneity_current_perm_3,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_current_perm_4,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_current_perm_5,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_identical,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_low_perm_0,guarded_blend,20,12.5,1.2,45.7,0.3,-0.1,1.7,0.95,0.4
heterogeneity_gp_re_low_perm_1,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_base_perm_0,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_base_perm_1,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_0,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_1,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_2,guarded_blend,20,169.65,146.33644192450816,190.85,42.25,25.345163554403822,66.10651385475839,0.95,13.8
heterogeneity_gp_re_high_perm_3,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_4,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_5,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_0,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_1,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_2,guarded_blend,20,64.3,42.2,96.9557557525527,1.0,-16.951927124209316,17.0,0.65,4.6
heterogeneity_gp_re_increased_perm_3,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_4,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_5,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
boundary_scale_0.80,guarded_blend,20,97.05,48.255379220308654,155.25,-0.2,-3.8,1.95,0.85,2.1
boundary_scale_1.20,guarded_blend,20,99.2,43.7,177.51286308821946,-0.5,-4.0,2.645186549103619,0.8,1.65
gamma_cv_0.05,guarded_blend,20,15.95,0.0,79.75,0.0,0.0,0.0,1.0,0.2
gamma_cv_0.20,guarded_blend,20,54.35,17.2,113.32008755203287,6.25,-4.6,21.769416904569244,0.95,2.15
risk_horizon_24h,guarded_blend,20,12.0,0.0,60.0,0.6,0.0,3.0,1.0,0.1
risk_horizon_240h,guarded_blend,20,193.75,125.6,255.4534298395044,2.85,-1.4,9.65,0.7,5.75
reschedule_12h,guarded_blend,20,100.35,49.05,183.0232680701255,2.5,0.75,6.5,0.95,1.95
reschedule_48h,guarded_blend,20,69.15,25.9,135.6,2.95,0.95,7.582419267447403,1.0,0.85
reference,rate_bounded_blend,20,91.65,34.5,167.5109790117396,2.45,0.65,6.861778852154475,1.0,1.1
initial_stagger_perm_1,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_stagger_perm_2,rate_bounded_blend,20,154.55,95.9,211.43720260080664,10.25,3.5,20.75,0.75,3.9
initial_stagger_perm_3,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_stagger_perm_4,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_stagger_perm_5,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_zuo_one_aged_stack_0,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_zuo_one_aged_stack_1,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_zuo_one_aged_stack_2,rate_bounded_blend,20,763.1,732.2,793.1,653.8,620.3136576622472,687.1,1.0,76.35
initial_equal_fresh,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
initial_equal_midlife,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_current_perm_1,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_current_perm_2,rate_bounded_blend,20,154.55,99.65,214.05,10.25,3.45,20.897887366567375,0.75,3.9
heterogeneity_current_perm_3,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
