scenario,health_case,policy,assignment,online_set,expected_max_fraction,expected_regret_fraction,gamma_cvar_fraction,gamma_cvar_regret_fraction,expected_optimal_assignment,expected_optimal_online_set,cvar_optimal_assignment,cvar_optimal_online_set,expected_assignment_match,expected_online_set_match,cvar_assignment_match,cvar_online_set_match
real_calibration_window,oldest_stack_2,health_greedy,"(0, 1)","(0, 1)",0.8,0.0,0.8,0.0,"(0, 1)","(0, 1)","(0, 1)","(0, 1)",True,True,True,True
real_calibration_window,oldest_stack_2,expected_max,"(0, 1)","(0, 1)",0.8,0.0,0.8,0.0,"(0, 1)","(0, 1)","(0, 1)","(0, 1)",True,True,True,True
real_calibration_window,oldest_stack_2,gamma_cvar,"(0, 1)","(0, 1)",0.8,0.0,0.8,0.0,"(0, 1)","(0, 1)","(0, 1)","(0, 1)",True,True,True,True
real_calibration_window,oldest_stack_0,health_greedy,"(1, 2)","(1, 2)",0.8,0.0,0.8,0.0,"(1, 2)","(1, 2)","(1, 2)","(1, 2)",True,True,True,True
real_calibration_window,oldest_stack_0,expected_max,"(1, 2)","(1, 2)",0.8,0.0,0.8,0.0,"(1, 2)","(1, 2)","(1, 2)","(1, 2)",True,True,True,True
real_calibration_window,oldest_stack_0,gamma_cvar,"(1, 2)","(1, 2)",0.8,0.0,0.8,0.0,"(1, 2)","(1, 2)","(1, 2)","(1, 2)",True,True,True,True
real_calibration_window,oldest_stack_1,health_greedy,"(2, 0)","(0, 2)",0.8,0.0,0.8,0.0,"(0, 2)","(0, 2)","(0, 2)","(0, 2)",False,True,False,True
real_calibration_window,oldest_stack_1,expected_max,"(0, 2)","(0, 2)",0.8,0.0,0.8,0.0,"(0, 2)","(0, 2)","(0, 2)","(0, 2)",True,True,True,True
real_calibration_window,oldest_stack_1,gamma_cvar,"(0, 2)","(0, 2)",0.8,0.0,0.8,0.0,"(0, 2)","(0, 2)","(0, 2)","(0, 2)",True,True,True,True
empirical_markov_1s,oldest_stack_2,health_greedy,"(0, 1)","(0, 1)",0.8,0.0,0.8,0.0,"(0, 1)","(0, 1)","(0, 1)","(0, 1)",True,True,True,True
empirical_markov_1s,oldest_stack_2,expected_max,"(0, 1)","(0, 1)",0.8,0.0,0.8,0.0,"(0, 1)","(0, 1)","(0, 1)","(0, 1)",True,True,True,True
empirical_markov_1s,oldest_stack_2,gamma_cvar,"(0, 1)","(0, 1)",0.8,0.0,0.8,0.0,"(0, 1)","(0, 1)","(0, 1)","(0, 1)",True,True,True,True
empirical_markov_1s,oldest_stack_0,health_greedy,"(1, 2)","(1, 2)",0.8,0.0,0.8,0.0,"(1, 2)","(1, 2)","(1, 2)","(1, 2)",True,True,True,True
empirical_markov_1s,oldest_stack_0,expected_max,"(1, 2)","(1, 2)",0.8,0.0,0.8,0.0,"(1, 2)","(1, 2)","(1, 2)","(1, 2)",True,True,True,True
empirical_markov_1s,oldest_stack_0,gamma_cvar,"(1, 2)","(1, 2)",0.8,0.0,0.8,0.0,"(1, 2)","(1, 2)","(1, 2)","(1, 2)",True,True,True,True
empirical_markov_1s,oldest_stack_1,health_greedy,"(2, 0)","(0, 2)",0.8,0.0,0.8,0.0,"(0, 2)","(0, 2)","(0, 2)","(0, 2)",False,True,False,True
empirical_markov_1s,oldest_stack_1,expected_max,"(0, 2)","(0, 2)",0.8,0.0,0.8,0.0,"(0, 2)","(0, 2)","(0, 2)","(0, 2)",True,True,True,True
empirical_markov_1s,oldest_stack_1,gamma_cvar,"(0, 2)","(0, 2)",0.8,0.0,0.8,0.0,"(0, 2)","(0, 2)","(0, 2)","(0, 2)",True,True,True,True
zuo_fast_30s,oldest_stack_2,health_greedy,"(0, 1)","(0, 1)",0.8,0.0,0.8,0.0,"(0, 1)","(0, 1)","(0, 1)","(0, 1)",True,True,True,True
zuo_fast_30s,oldest_stack_2,expected_max,"(0, 1)","(0, 1)",0.8,0.0,0.8,0.0,"(0, 1)","(0, 1)","(0, 1)","(0, 1)",True,True,True,True
zuo_fast_30s,oldest_stack_2,gamma_cvar,"(0, 1)","(0, 1)",0.8,0.0,0.8,0.0,"(0, 1)","(0, 1)","(0, 1)","(0, 1)",True,True,True,True
