policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1329.0,1329.0,9.355375247062213,2.4652670691591148,2,0,6.890108177903098,9.355375247062213,7.482422824444445
health_greedy,2026,True,1740.0,1740.0,9.354425237339933,0.6245771554144639,37,35,8.72984808192547,9.342786249658317,9.354425237339933
fixed_pair,2027,True,1324.0,1324.0,9.355849466467422,2.464660012146629,2,0,6.891189454320793,9.355849466467422,7.482422824444445
health_greedy,2027,True,1724.0,1724.0,9.354230694344796,0.683895781216048,37,35,8.670334913128748,9.272763822970022,9.354230694344796
fixed_pair,2028,True,1330.0,1330.0,9.355292227931132,2.4662245436448824,2,0,6.88906768428625,9.355292227931132,7.482422824444445
health_greedy,2028,True,1743.0,1743.0,9.355040641182008,0.6253975289959861,37,35,8.729643112186022,9.333104727574938,9.355040641182008
fixed_pair,2029,True,1327.0,1327.0,9.357109644074253,2.4675255900485222,2,0,6.889584054025731,9.357109644074253,7.482422824444445
health_greedy,2029,True,1728.0,1728.0,9.354757503824949,0.6316459651637061,34,32,8.723111538661243,9.354757503824949,9.322567145582598
fixed_pair,2030,True,1343.0,1343.0,9.356703345894235,2.449654539738395,2,0,6.90704880615584,9.356703345894235,7.482422824444445
health_greedy,2030,True,1746.0,1746.0,9.355273843913013,0.6666054236887202,35,33,8.688668420224293,9.28133362590826,9.355273843913013
fixed_pair,2031,True,1329.0,1329.0,9.353718096228857,2.466953412770205,2,0,6.886764683458652,9.353718096228857,7.482422824444445
health_greedy,2031,True,1738.0,1738.0,9.356389306908124,0.6488705099711218,37,35,8.707518796937002,9.312778115908278,9.356389306908124
fixed_pair,2032,True,1337.0,1337.0,9.354431931097185,2.4620439076845964,2,0,6.892388023412589,9.354431931097185,7.482422824444445
health_greedy,2032,True,1744.0,1744.0,9.354869619811543,0.6437966595757523,36,34,8.711072960235791,9.354869619811543,9.308275948638155
fixed_pair,2033,True,1342.0,1342.0,9.354069032108647,2.465419607335936,2,0,6.888649424772711,9.354069032108647,7.482422824444445
health_greedy,2033,True,1744.0,1744.0,9.355838520981246,0.6795915996343336,37,35,8.676246921346912,9.284597090074989,9.355838520981246
fixed_pair,2034,True,1326.0,1326.0,9.353502706538691,2.4708967450071855,2,0,6.882605961531506,9.353502706538691,7.482422824444445
health_greedy,2034,True,1744.0,1744.0,9.355669392925687,0.6089186215787716,37,35,8.746750771346916,9.349332194658295,9.355669392925687
fixed_pair,2035,True,1331.0,1331.0,9.355392585466793,2.4708307170196333,2,0,6.88456186844716,9.355392585466793,7.482422824444445
health_greedy,2035,True,1737.0,1737.0,9.353784102664473,0.651724667666155,37,35,8.702059434998318,9.318008087158288,9.353784102664473
