policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1456.0,1456.0,9.355474818669398,2.575259652330926,2,0,6.780215166338472,9.355474818669398,7.482422824444445
health_greedy,2026,True,1897.0,1897.0,9.354722032688983,0.7991490986120198,41,39,8.555572934076963,9.350345659766116,9.354722032688983
fixed_pair,2027,True,1452.0,1452.0,9.353318692693572,2.563156851887597,2,0,6.7901618408059745,9.353318692693572,7.482422824444445
health_greedy,2027,True,1895.0,1895.0,9.35458562889716,0.7916008409197559,40,38,8.562984787977404,9.35458562889716,9.340136645945314
fixed_pair,2028,True,1454.0,1454.0,9.353667282764802,2.570930279192554,2,0,6.782737003572247,9.353667282764802,7.482422824444445
health_greedy,2028,True,1904.0,1904.0,9.355829300467775,0.7843642272643994,40,38,8.571465073203376,9.355829300467775,9.35140866066752
fixed_pair,2029,True,1455.0,1455.0,9.353181673217081,2.5679764104839524,2,0,6.785205262733129,9.353181673217081,7.482422824444445
health_greedy,2029,True,1888.0,1888.0,9.355909642551532,0.8080091075894149,39,37,8.547900534962118,9.328509573932765,9.355909642551532
fixed_pair,2030,True,1468.0,1468.0,9.354013485763518,2.55594320949408,2,0,6.7980702762694385,9.354013485763518,7.482422824444445
health_greedy,2030,True,1895.0,1895.0,9.354763093918741,0.8558067809413075,38,36,8.498956312977434,9.354763093918741,9.270720311319518
fixed_pair,2031,True,1455.0,1455.0,9.35495394780042,2.575238946178403,2,0,6.779715001622017,9.35495394780042,7.482422824444445
health_greedy,2031,True,1894.0,1894.0,9.356275443846867,0.8043483205859463,39,37,8.55192712326092,9.338021547266115,9.356275443846867
fixed_pair,2032,True,1459.0,1459.0,9.35588939627626,2.565060630232799,2,0,6.79082876604346,9.35588939627626,7.482422824444445
health_greedy,2032,True,1892.0,1892.0,9.355522091748435,0.8220430201426439,39,37,8.533479071605791,9.309326059349436,9.355522091748435
fixed_pair,2033,True,1468.0,1468.0,9.3540587465969,2.566983048105244,2,0,6.787075698491656,9.3540587465969,7.482422824444445
health_greedy,2033,True,1894.0,1894.0,9.354172741902419,0.871507513085902,39,37,8.482665228816517,9.268115793516133,9.354172741902419
fixed_pair,2034,True,1454.0,1454.0,9.355677711931474,2.5743686722481067,2,0,6.781309039683367,9.355677711931474,7.482422824444445
health_greedy,2034,True,1896.0,1896.0,9.355174507611977,0.8021434188069669,39,37,8.55303108880501,9.334384898516147,9.355174507611977
fixed_pair,2035,True,1457.0,1457.0,9.355362723288353,2.577901164455608,2,0,6.777461558832745,9.355362723288353,7.482422824444445
health_greedy,2035,True,1892.0,1892.0,9.355019394804,0.8354479343093306,39,37,8.519571460494669,9.31326256476613,9.355019394804
