policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1072.0,1072.0,9.355086907512302,3.732147665458519,2,0,5.622939242053783,9.355086907512302,7.482422824444445
periodic_rotation,2026,True,553.0,553.0,9.354842508576034,6.698607833631801,25,23,2.656234674944234,5.838036675334569,9.354842508576034
expected_max,2026,True,1407.0,1407.0,9.373431973184589,1.8351138965715847,24,22,7.538318076613004,9.373431973184589,9.245936767197499
gamma_cvar,2026,True,1390.0,1390.0,9.355327556908605,2.0983882750407545,20,18,7.256939281867851,9.355327556908605,9.094329964245413
fixed_pair,2027,True,1045.0,1045.0,9.361640856389354,2.49398135255343,2,0,6.867659503835924,9.361640856389354,7.482422824444445
periodic_rotation,2027,True,536.0,536.0,9.389590677563607,6.665298357499761,24,22,2.724292320063846,6.185156245081711,9.389590677563607
expected_max,2027,True,1353.0,1353.0,9.366360828762454,0.7698788901446587,24,22,8.596481938617796,9.366360828762454,9.196015189214583
gamma_cvar,2027,True,1352.0,1352.0,9.353100807469934,0.7595838688521379,22,20,8.593516938617796,9.353100807469934,9.07008075062814
fixed_pair,2028,True,1132.0,1132.0,9.354908093607614,1.906286681605014,2,0,7.4486214120026,9.354908093607614,7.482422824444445
periodic_rotation,2028,True,529.0,529.0,9.354441476013651,6.444412747987663,24,22,2.910028728025989,5.843871946936537,9.354441476013651
expected_max,2028,True,1478.0,1478.0,9.355914512554868,0.11492142594589438,25,23,9.240993086608974,9.294311871455688,9.355914512554868
gamma_cvar,2028,True,1406.0,1406.0,9.367492614157838,0.5514072055641837,20,18,8.816085408593654,9.367492614157838,8.890364657015128
fixed_pair,2029,True,1175.0,1175.0,9.355043688269223,2.7483978544515058,2,0,6.606645833817717,9.355043688269223,7.482422824444445
periodic_rotation,2029,True,614.0,614.0,9.355083338442904,6.161640271447651,27,25,3.193443066995253,5.560427922880035,9.355083338442904
expected_max,2029,True,1482.0,1482.0,9.354951530484882,1.5711650087813398,24,22,7.783786521703543,9.354951530484882,9.232526446167263
gamma_cvar,2029,True,1461.0,1461.0,9.355113313909047,1.6325906652449031,24,22,7.722522648664144,9.355113313909047,9.098160275782881
fixed_pair,2030,True,1061.0,1061.0,9.354371038321137,3.8500359773185417,2,0,5.504335061002595,9.354371038321137,7.482422824444445
periodic_rotation,2030,True,479.0,479.0,9.427468361519933,7.034690976065378,21,19,2.392777385454555,5.398777320620311,9.427468361519933
expected_max,2030,True,1354.0,1354.0,9.353125394769068,2.2885860099417217,18,16,7.064539384827346,9.353125394769068,9.328556668924351
gamma_cvar,2030,True,1307.0,1307.0,9.356397925817992,2.431643160123456,16,14,6.924754765694536,9.356397925817992,9.110544730048332
fixed_pair,2031,True,792.0,792.0,9.357006079553832,4.951498743523381,2,0,4.4055073360304515,9.357006079553832,7.482422824444445
periodic_rotation,2031,True,458.0,458.0,9.35545158233254,7.0630669428159205,21,19,2.292384639516619,5.820674763313698,9.35545158233254
expected_max,2031,True,1152.0,1152.0,9.354598685042127,3.510650245142548,21,19,5.843948439899579,9.319421765736653,9.354598685042127
gamma_cvar,2031,True,1115.0,1115.0,9.354709748817244,3.621255384984134,18,16,5.73345436383311,9.354709748817244,9.152133146935281
fixed_pair,2032,True,1123.0,1123.0,9.421010195707753,2.803040520525153,2,0,6.6179696751826,9.421010195707753,7.482422824444445
periodic_rotation,2032,True,552.0,552.0,9.357501424553389,6.468725035205499,24,22,2.88877638934789,5.16959483609981,9.357501424553389
expected_max,2032,True,1422.0,1422.0,9.355703849073908,1.2773131594030538,22,20,8.078390689670854,9.355703849073908,9.307888043428159
gamma_cvar,2032,True,1367.0,1367.0,9.356255248231601,1.713285385483477,18,16,7.642969862748124,9.356255248231601,9.08933149400457
fixed_pair,2033,True,969.0,969.0,9.356621581223868,3.1745047762133574,2,0,6.18211680501051,9.356621581223868,7.482422824444445
periodic_rotation,2033,True,606.0,606.0,9.35328346148769,6.111766645361259,27,25,3.241516816126431,6.641619272948966,9.35328346148769
expected_max,2033,True,1364.0,1364.0,9.353946111029906,1.6426279011963834,28,26,7.7113182098335225,9.353946111029906,9.315966522657737
gamma_cvar,2033,True,1311.0,1311.0,9.353170562662777,1.7982349808616167,26,24,7.5549355818011605,9.353170562662777,9.105944912222487
fixed_pair,2034,True,947.0,947.0,9.359665485011453,3.8232751633584474,2,0,5.5363903216530055,9.359665485011453,7.482422824444445
periodic_rotation,2034,True,464.0,464.0,9.354131499008188,7.154942160548924,21,19,2.1991893384592642,5.463372866657177,9.354131499008188
expected_max,2034,True,1257.0,1257.0,9.512377259353594,2.39959473835313,21,19,7.112782521000463,9.305131476328494,9.512377259353594
gamma_cvar,2034,True,1252.0,1252.0,9.353273253146781,2.2535367321463182,20,18,7.099736521000463,9.353273253146781,9.171324300648646
fixed_pair,2035,True,1067.0,1067.0,9.353482047195817,3.981816381918164,2,0,5.371665665277653,9.353482047195817,7.482422824444445
periodic_rotation,2035,True,617.0,617.0,9.35831455516933,6.69599417211655,27,25,2.662320383052779,5.699695359102809,9.35831455516933
expected_max,2035,True,1461.0,1461.0,9.427782524207428,1.8831253144328182,25,23,7.54465720977461,9.294203923822261,9.427782524207428
gamma_cvar,2035,True,1427.0,1427.0,9.355429239649904,1.9079127672712302,22,20,7.447516472378674,9.355429239649904,9.102053539480774
fixed_pair,2036,True,969.0,969.0,9.354100866265517,3.8755449704707603,2,0,5.478555895794757,9.354100866265517,7.482422824444445
periodic_rotation,2036,True,422.0,422.0,9.35442857711873,6.92120705896734,19,17,2.4332215181513903,5.028718715722194,9.35442857711873
expected_max,2036,True,1191.0,1191.0,9.35425508126183,2.6575123506624267,19,17,6.696742730599403,9.309828014459399,9.35425508126183
gamma_cvar,2036,True,1162.0,1162.0,9.38644183329159,2.7867892332712962,14,12,6.599652600020294,9.38644183329159,9.099109312221836
fixed_pair,2037,True,1025.0,1025.0,9.355456445832548,1.8730336213881031,2,0,7.512828841994537,9.355456445832548,7.482422824444445
periodic_rotation,2037,True,501.0,501.0,9.364565925559813,6.157867524155719,22,20,3.206698401404093,5.6984826997114295,9.364565925559813
expected_max,2037,True,1359.0,1359.0,9.36146511457641,0.12628299447592362,25,23,9.235182120100486,9.314928150294184,9.36146511457641
gamma_cvar,2037,True,1310.0,1310.0,9.356616836417688,0.3172291023860314,22,20,9.039387734031656,9.356616836417688,9.084615022507771
fixed_pair,2038,True,1066.0,1066.0,9.353434540457576,3.111791545453997,2,0,6.241642995003579,9.353434540457576,7.482422824444445
periodic_rotation,2038,True,504.0,504.0,9.357267469044213,6.980020228525353,22,20,2.3772472405188605,5.980479019179855,9.357267469044213
expected_max,2038,True,1364.0,1364.0,9.355711669930898,1.78347300757357,26,24,7.572238662357328,9.355711669930898,9.348515889635461
gamma_cvar,2038,True,1289.0,1289.0,9.362956255368399,2.0922720376406074,22,20,7.2706842177277915,9.362956255368399,8.840763616600054
fixed_pair,2039,True,1125.0,1125.0,9.35625822635864,3.621909917488839,2,0,5.7343483088698015,9.35625822635864,7.482422824444445
periodic_rotation,2039,True,427.0,427.0,9.354481500631227,7.295838263083025,19,17,2.0586432375482016,4.9127685882127965,9.354481500631227
expected_max,2039,True,1450.0,1450.0,9.356002869157498,2.3681100145962013,27,25,6.987892854561297,9.19860988298201,9.356002869157498
gamma_cvar,2039,True,1443.0,1443.0,9.434756185157475,2.466442277397652,26,24,6.968313907759823,9.434756185157475,9.081012339085335
fixed_pair,2040,True,1036.0,1036.0,9.355062328814817,2.63904659821132,2,0,6.716015730603497,9.355062328814817,7.482422824444445
periodic_rotation,2040,True,499.0,499.0,9.365200817795078,5.891757607718626,22,20,3.473443210076452,5.528666055826107,9.365200817795078
expected_max,2040,True,1338.0,1338.0,9.431566683669713,1.255425989809643,21,19,8.17614069386007,9.191494475915446,9.431566683669713
gamma_cvar,2040,True,1329.0,1329.0,9.356193996496636,1.2065822588195498,24,22,8.149611737677086,9.356193996496636,9.087749613521868
fixed_pair,2041,True,977.0,977.0,9.353594674888928,4.690991329959145,2,0,4.662603344929783,9.353594674888928,7.482422824444445
periodic_rotation,2041,True,534.0,534.0,9.355719252251623,7.0656572642510085,24,22,2.290061988000615,5.388439194474881,9.355719252251623
expected_max,2041,True,1267.0,1267.0,9.356396574805023,3.232312406799158,21,19,6.124084168005865,9.315679658071469,9.356396574805023
gamma_cvar,2041,True,1220.0,1220.0,9.354505194538838,3.684481916663511,16,14,5.670023277875327,9.354505194538838,9.108182023267325
fixed_pair,2042,True,1192.0,1192.0,9.354644633312232,2.265541638459794,2,0,7.089102994852437,9.354644633312232,7.482422824444445
periodic_rotation,2042,True,572.0,572.0,9.354689463789365,6.333714932775041,25,23,3.020974531014324,6.02523911884995,9.354689463789365
expected_max,2042,True,1455.0,1455.0,9.35495903280749,1.1089286333555286,23,21,8.24603039945196,9.134352673939642,9.35495903280749
gamma_cvar,2042,True,1467.0,1467.0,9.416021337678748,1.0741324681015474,22,20,8.3418888695772,9.416021337678748,9.281580639513663
fixed_pair,2043,True,847.0,847.0,9.355694106535905,3.8551239417098877,2,0,5.5005701648260175,9.355694106535905,7.482422824444445
periodic_rotation,2043,True,484.0,484.0,9.373615760624581,6.607525882694147,22,20,2.766089877930434,5.64043237475963,9.373615760624581
expected_max,2043,True,1201.0,1201.0,9.353736876781308,1.5124208455853179,20,18,7.841316031195991,9.353736876781308,9.33990407389316
gamma_cvar,2043,True,1151.0,1151.0,9.356326439058874,1.7253867788824984,18,16,7.6309396601763755,9.356326439058874,9.096866775150081
fixed_pair,2044,True,1044.0,1044.0,9.356717227414585,2.896921167984731,2,0,6.459796059429854,9.356717227414585,7.482422824444445
periodic_rotation,2044,True,479.0,479.0,9.355582577209013,6.22432420902095,21,19,3.131258368188063,5.095586726682381,9.355582577209013
expected_max,2044,True,1286.0,1286.0,9.354685266179832,1.9491156193734414,20,18,7.4055696468063905,9.354685266179832,9.29423393286286
gamma_cvar,2044,True,1262.0,1262.0,9.356624944670182,2.103071912504155,18,16,7.253553032166027,9.356624944670182,9.186796036003882
fixed_pair,2045,True,841.0,841.0,9.356543370208371,2.41902312780167,2,0,6.937520242406701,9.356543370208371,7.482422824444445
periodic_rotation,2045,True,488.0,488.0,9.675461995148439,5.456263539450855,22,20,4.219198455697583,5.868506457896519,9.675461995148439
expected_max,2045,True,1171.0,1171.0,9.355492988573378,0.5094822207639957,18,16,8.846010767809382,9.355492988573378,9.266109340653637
gamma_cvar,2045,True,1114.0,1114.0,9.354070740946117,1.2262825873112657,18,16,8.127788153634851,9.354070740946117,9.053743128862036
