policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1751.0,1751.0,9.405045224781395,1.9226224003369499,2,0,7.744335024127059,9.405045224781395,7.482422824444445
periodic_rotation,2026,True,962.0,962.0,9.45033901830627,6.293847490094985,42,40,3.1564915282112858,6.170392576242275,9.45033901830627
expected_max,2026,True,2242.0,2242.0,9.434095215405021,0.22007235513221168,30,28,9.329716989374733,9.434095215405021,9.21402286027281
gamma_cvar,2026,True,2242.0,2242.0,9.558138355751684,0.49763755972558243,28,26,9.357596692895353,9.558138355751684,9.060500796026101
fixed_pair,2027,True,1680.0,1680.0,9.389170998187051,1.9067481737426064,2,0,8.630468791105642,9.389170998187051,7.482422824444445
periodic_rotation,2027,True,759.0,759.0,9.353713990236454,6.311527072458223,33,31,3.0421869177782304,6.297562525475224,9.353713990236454
expected_max,2027,True,1880.0,1880.0,9.353836798011201,0.13413596215341883,22,20,9.219700835857783,9.353836798011201,9.348510484218655
gamma_cvar,2027,True,1817.0,1817.0,9.353065594584791,0.5684883081298775,20,18,9.279696156345562,9.353065594584791,8.784577286454914
fixed_pair,2028,True,1842.0,1842.0,9.354313905746732,1.8718910813022873,2,0,9.354313905746732,9.177883833514564,7.482422824444445
periodic_rotation,2028,True,847.0,847.0,9.353485203903112,5.930420238986243,37,35,3.423064964916869,6.556822206325574,9.353485203903112
expected_max,2028,True,2058.0,2058.0,9.465371002509215,0.38364831599228033,20,18,9.181859319415873,9.465371002509215,9.081722686516935
gamma_cvar,2028,True,2110.0,2110.0,9.353547069862127,0.06437743902202264,20,18,9.353547069862127,9.34479818609406,9.289169630840105
fixed_pair,2029,True,1824.0,1824.0,9.354026554825232,1.8716037303807873,2,0,7.825297417489914,9.354026554825232,7.482422824444445
periodic_rotation,2029,True,1073.0,1073.0,9.354942535598115,5.473388518194171,46,44,3.8815540174039436,6.138745277129268,9.354942535598115
expected_max,2029,True,2210.0,2210.0,9.445627962941314,0.24957606997895887,18,16,9.24066692924742,9.445627962941314,9.196051892962355
gamma_cvar,2029,True,2210.0,2210.0,9.52375197973019,0.4946766754445271,22,20,9.52375197973019,9.335239752148196,9.029075304285662
fixed_pair,2030,True,1691.0,1691.0,9.353356485308707,1.9304884318158706,2,0,7.422868053492836,9.353356485308707,7.482422824444445
periodic_rotation,2030,True,830.0,830.0,9.354244238993473,6.510442503862894,36,34,2.84380173513058,5.936702943048411,9.354244238993473
expected_max,2030,True,1915.0,1915.0,9.516448133299996,1.2534593477605291,18,16,8.262988785539466,9.516448133299996,8.918395799609717
gamma_cvar,2030,True,1915.0,1915.0,9.393405739998848,1.1304169544593812,17,15,8.262988785539466,9.034782028972423,9.393405739998848
fixed_pair,2031,True,1229.0,1229.0,9.35306663499285,4.146645357893696,2,0,5.206421277099153,9.35306663499285,7.482422824444445
periodic_rotation,2031,True,534.0,534.0,9.464786320659307,7.303823674356003,24,22,2.1609626463033043,5.560644978576083,9.464786320659307
expected_max,2031,True,1767.0,1767.0,9.353570968663497,2.1094548003064295,24,22,7.244116168357068,9.353570968663497,9.223076528186667
gamma_cvar,2031,True,1756.0,1756.0,9.461091038694986,2.2331518727042363,22,20,7.22793916599075,9.461091038694986,9.110919955462098
fixed_pair,2032,True,1726.0,1726.0,9.42855858177631,1.9461357573318647,2,0,7.84319711611241,9.42855858177631,7.482422824444445
periodic_rotation,2032,True,853.0,853.0,9.354214098337852,5.748721794343,37,35,3.6054923039948528,5.358357567200467,9.354214098337852
expected_max,2032,True,2101.0,2101.0,9.367368009565848,0.31800080051535495,23,21,9.077364842810244,9.049367209050493,9.367368009565848
gamma_cvar,2032,True,2131.0,2131.0,9.353626065736263,0.375800253286819,28,26,9.353626065736263,9.277464725557454,8.977825812449444
fixed_pair,2033,True,1797.0,1797.0,9.35793838886737,1.8755155644229244,2,0,8.306553580925582,9.35793838886737,7.482422824444445
periodic_rotation,2033,True,750.0,750.0,9.38515450797858,6.0877802582445115,33,31,3.2973742497340686,6.371576230337196,9.38515450797858
expected_max,2033,True,2205.0,2205.0,9.354658607000786,0.06721182450715979,32,30,9.354658607000786,9.287446782493626,9.338269316305166
gamma_cvar,2033,True,2161.0,2161.0,9.353342211645398,0.31352942963701125,38,36,9.353342211645398,9.293916906629653,9.039812782008386
fixed_pair,2034,True,1310.0,1310.0,9.433091551958167,3.4446392942561728,2,0,5.9884522577019945,9.433091551958167,7.482422824444445
periodic_rotation,2034,True,620.0,620.0,9.435970932880364,6.825007238361115,27,25,2.6109636945192487,5.413349764117236,9.435970932880364
expected_max,2034,True,1799.0,1799.0,9.354714318621237,1.4615106756664078,20,18,7.89320364295483,9.354714318621237,9.31234336216539
gamma_cvar,2034,True,1720.0,1720.0,9.374240803094253,1.8302435198871514,16,14,7.543997283207101,9.374240803094253,9.070347248790341
fixed_pair,2035,True,1838.0,1838.0,9.353947740555661,1.8715249161112162,2,0,8.23701094400879,9.353947740555661,7.482422824444445
periodic_rotation,2035,True,863.0,863.0,9.353806006000529,6.696829177274283,37,35,2.656976828726245,5.543095604597986,9.353806006000529
expected_max,2035,True,2220.0,2220.0,9.367659404624693,0.12498503224000324,29,27,9.24267437238469,9.30088602462432,9.367659404624693
gamma_cvar,2035,True,2188.0,2188.0,9.376476514644212,0.38724353951559465,28,26,9.376476514644212,9.30640466192711,8.989232975128617
fixed_pair,2036,True,1312.0,1312.0,9.355289385002582,3.3845126829935284,2,0,5.970776702009053,9.355289385002582,7.482422824444445
periodic_rotation,2036,True,758.0,758.0,9.354202358575941,6.428547919735992,33,31,2.925654438839949,5.886299827557792,9.354202358575941
expected_max,2036,True,1637.0,1637.0,9.359225459854423,1.7609686730493692,16,14,7.598256786805054,9.359225459854423,9.31849099305965
gamma_cvar,2036,True,1637.0,1637.0,9.465324126303239,1.8670673394981847,14,12,7.598256786805054,9.465324126303239,9.188507887849825
fixed_pair,2037,True,1597.0,1597.0,9.353657948792895,1.8712351243484502,2,0,9.289864069387292,9.353657948792895,7.482422824444445
periodic_rotation,2037,True,686.0,686.0,9.365296715086924,5.656288239125926,30,28,3.709008475960997,5.878325039835798,9.365296715086924
expected_max,2037,True,1693.0,1693.0,9.378037722263484,0.5206425851638592,22,20,9.378037722263484,8.857395137099624,9.049500097045037
gamma_cvar,2037,True,1693.0,1693.0,9.447811100459699,0.7537831446126209,17,15,9.447811100459699,9.114288470823409,8.694027955847078
fixed_pair,2038,True,1540.0,1540.0,9.354808669516004,2.468456390662519,2,0,6.886352278853485,9.354808669516004,7.482422824444445
periodic_rotation,2038,True,712.0,712.0,9.353537877189167,6.8080308835330845,31,29,2.5455069936560824,5.904769242802862,9.353537877189167
expected_max,2038,True,2099.0,2099.0,9.373421979377003,0.06422993122498077,25,23,9.373421979377003,9.318929153721534,9.309192048152022
gamma_cvar,2038,True,2080.0,2080.0,9.353156746713159,0.2608894453956001,24,22,9.353156746713159,9.347610303133399,9.092267301317559
fixed_pair,2039,True,1824.0,1824.0,9.42874500471951,2.7030098339444946,2,0,6.725735170775015,9.42874500471951,7.482422824444445
periodic_rotation,2039,True,753.0,753.0,9.35319910552086,6.779852559318847,33,31,2.573346546202013,5.358426932174512,9.35319910552086
expected_max,2039,True,2244.0,2244.0,9.354139884229243,0.8595326566264916,26,24,8.494607227602751,9.354139884229243,9.341540074672064
gamma_cvar,2039,True,2192.0,2192.0,9.449749913449269,1.062351286993895,24,22,8.387398626455374,9.449749913449269,9.070005097949725
fixed_pair,2040,True,1581.0,1581.0,9.357148151692183,1.874725327247738,2,0,7.797244455178787,9.357148151692183,7.482422824444445
periodic_rotation,2040,True,716.0,716.0,9.747116276488327,6.209089165323093,31,29,3.538027111165235,5.516409703135731,9.747116276488327
expected_max,2040,True,1920.0,1920.0,9.435667629706868,0.3787756593948366,18,16,9.056891970312032,9.435667629706868,9.177338882464152
gamma_cvar,2040,True,1920.0,1920.0,9.523387313066262,0.6558798971184814,20,18,9.25069270062094,9.523387313066262,8.867507415947781
fixed_pair,2041,True,1473.0,1473.0,9.384211305138278,3.590714443225691,2,0,5.793496861912587,9.384211305138278,7.482422824444445
periodic_rotation,2041,True,542.0,542.0,9.423938605738902,7.48874792797645,24,22,1.935190677762452,4.822099858580349,9.423938605738902
expected_max,2041,True,1966.0,1966.0,9.491636150161684,1.0014278046900777,27,25,8.490208345471606,9.295354428202087,9.491636150161684
