policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,942.0,942.0,9.456663485305691,2.0077986433640422,2,0,7.448864841941649,9.456663485305691,7.482422824444445
periodic_rotation,2026,True,480.0,480.0,9.355456561396236,6.100187209735827,21,19,3.255269351660409,6.158792777917479,9.355456561396236
expected_max,2026,True,1197.0,1197.0,9.54177532758819,0.24720730364735566,20,18,9.54177532758819,9.334996717796182,9.294568023940835
gamma_cvar,2026,True,1147.0,1147.0,9.353495744522936,0.4257812247760171,16,14,8.92771451974692,9.353495744522936,9.07671894221802
fixed_pair,2027,True,828.0,828.0,9.35362043205492,1.8711976076104744,2,0,7.514521213140367,9.35362043205492,7.482422824444445
periodic_rotation,2027,True,468.0,468.0,9.35490071664416,6.158758648549368,21,19,3.1961420680947925,6.686081252037514,9.35490071664416
expected_max,2027,True,1047.0,1047.0,9.354363729124211,0.14299639360893224,17,15,9.349291989092837,9.211367335515279,9.354363729124211
gamma_cvar,2027,True,1028.0,1028.0,9.354065574355186,0.5249939688879799,16,14,9.354065574355186,9.181786938469644,8.829071605467206
fixed_pair,2028,True,915.0,915.0,9.375091527149111,1.8926687027046665,2,0,8.46337351983637,9.375091527149111,7.482422824444445
periodic_rotation,2028,True,425.0,425.0,9.39639829161776,6.160273069499359,19,17,3.236125222118402,6.020964774737774,9.39639829161776
expected_max,2028,True,1078.0,1078.0,9.358598549578568,0.11375631900584615,13,11,9.358598549578568,9.244842230572722,9.278705287485403
gamma_cvar,2028,True,1067.0,1067.0,9.354927435246069,0.3648660088273079,14,12,9.354927435246069,9.32461221212021,8.99006142641876
fixed_pair,2029,True,1034.0,1034.0,9.354041035059506,1.8716182106150612,2,0,8.3805109849125,9.354041035059506,7.482422824444445
periodic_rotation,2029,True,556.0,556.0,9.415354768514772,5.503385887614549,25,23,3.9119688809002233,6.149611983001746,9.415354768514772
expected_max,2029,True,1183.0,1183.0,9.354097251014684,0.19843552972854717,18,16,9.354097251014684,9.155661721286137,9.226981674802966
gamma_cvar,2029,True,1178.0,1178.0,9.36770231171714,0.35989378462584476,18,16,9.270529876177017,9.36770231171714,9.007808527091296
fixed_pair,2030,True,877.0,877.0,9.40616002435894,2.1572257067684317,2,0,7.248934317590508,9.40616002435894,7.482422824444445
periodic_rotation,2030,True,404.0,404.0,9.409931791764517,6.4770146953243,18,16,2.932917096440218,5.5714528309758276,9.409931791764517
expected_max,2030,True,1129.0,1129.0,9.686043056172382,0.6775859114510894,17,15,9.008457144721293,9.155592883906246,9.686043056172382
gamma_cvar,2030,True,1129.0,1129.0,9.855381031378556,0.8618865780422489,16,14,9.008457144721293,9.855381031378556,8.993494453336307
fixed_pair,2031,True,627.0,627.0,9.35363911358813,4.099866842428321,2,0,5.253772271159809,9.35363911358813,7.482422824444445
periodic_rotation,2031,True,343.0,343.0,9.354788903979902,6.918890974833403,16,14,2.4358979291464995,6.033933770315402,9.354788903979902
expected_max,2031,True,873.0,873.0,9.380680779220645,2.266996944603205,12,10,7.11368383461744,9.380680779220645,9.346663494158326
gamma_cvar,2031,True,789.0,789.0,9.439849883946774,2.9420777830942244,12,10,6.49777210085255,9.439849883946774,8.696101910553267
fixed_pair,2032,True,932.0,932.0,9.353205724840148,1.870782900395703,2,0,8.272797369850116,9.353205724840148,7.482422824444445
periodic_rotation,2032,True,480.0,480.0,9.35437081096318,5.788881801489719,21,19,3.5654890094734615,5.528260224523387,9.35437081096318
expected_max,2032,True,1148.0,1148.0,9.35558910576996,0.07839511325801318,17,15,9.35558910576996,9.341738366742634,9.277193992511947
gamma_cvar,2032,True,1123.0,1123.0,9.418758148830042,0.4897905623611116,16,14,9.313864966292055,9.418758148830042,8.92896758646893
fixed_pair,2033,True,775.0,775.0,9.353210193960853,2.0720288605538437,2,0,7.28118133340701,9.353210193960853,7.482422824444445
periodic_rotation,2033,True,496.0,496.0,9.356599350225698,6.0979104650825615,22,20,3.2586888851431373,6.8846234553817,9.356599350225698
expected_max,2033,True,1074.0,1074.0,9.354751654794525,0.0044561668146734235,15,13,9.354751654794525,9.350295487979851,9.35453896768061
gamma_cvar,2033,True,1013.0,1013.0,9.384974177834282,0.4031597338854276,12,10,9.021756946396867,9.384974177834282,8.981814443948855
fixed_pair,2034,True,737.0,737.0,9.355604894319695,3.1173127785634094,2,0,6.238292115756286,9.355604894319695,7.482422824444445
periodic_rotation,2034,True,402.0,402.0,9.388633376901687,6.761999146173946,18,16,2.626634230727741,5.831032012296488,9.388633376901687
expected_max,2034,True,972.0,972.0,9.425245491275243,1.2318030993362612,16,14,8.193442391938982,9.425245491275243,9.255068441071407
gamma_cvar,2034,True,958.0,958.0,9.355624519333423,1.2606530903348894,14,12,8.094971428998534,9.355624519333423,8.981209101686545
fixed_pair,2035,True,945.0,945.0,9.354779712081907,1.872356887637462,2,0,7.499702070478417,9.354779712081907,7.482422824444445
periodic_rotation,2035,True,538.0,538.0,9.356547188567173,5.936998615353243,24,22,3.41954857321393,6.161651444931161,9.356547188567173
expected_max,2035,True,1218.0,1218.0,9.354718153560048,0.12149453990570258,15,13,9.233223613654346,9.349121712527708,9.354718153560048
gamma_cvar,2035,True,1179.0,1179.0,9.353839980488443,0.348304094947558,16,14,9.005535885540885,9.353839980488443,9.200106985546228
fixed_pair,2036,True,862.0,862.0,9.35724028615368,2.0862990046799608,2,0,7.270941281473719,9.35724028615368,7.482422824444445
periodic_rotation,2036,True,340.0,340.0,9.355685831335624,6.5262213119497,16,14,2.8294645193859234,5.302122330113789,9.355685831335624
expected_max,2036,True,1055.0,1055.0,9.40895219073594,0.5117737851527053,14,12,8.897178405583235,9.40895219073594,9.19617720167959
gamma_cvar,2036,True,1043.0,1043.0,9.355838976736868,0.5258644397675063,16,14,8.829974536969361,9.355838976736868,9.043639180493651
fixed_pair,2037,True,822.0,822.0,9.355082832633611,1.8726600081891664,2,0,8.399230467752117,9.355082832633611,7.482422824444445
periodic_rotation,2037,True,401.0,401.0,9.353065115731537,6.010505652037132,18,16,3.3425594636944047,5.902431276262545,9.353065115731537
expected_max,2037,True,993.0,993.0,9.466975980541108,0.14783083502969951,16,14,9.466975980541108,9.319145145511408,9.33558188826009
gamma_cvar,2037,True,970.0,970.0,9.35419307081788,0.487624234749628,14,12,9.35419307081788,9.314339165269857,8.866568836068252
fixed_pair,2038,True,877.0,877.0,9.353548898975545,1.8711260745310998,2,0,7.640224395190842,9.353548898975545,7.482422824444445
periodic_rotation,2038,True,425.0,425.0,9.426527577965764,6.546714014065822,19,17,2.8798135638999423,6.349355076264114,9.426527577965764
expected_max,2038,True,1130.0,1130.0,9.354937568510344,0.10108395922724078,19,17,9.354937568510344,9.345426751194505,9.253853609283103
