policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1751.0,1751.0,9.424142332513972,1.9417195080695269,2,0,7.576354317342293,9.424142332513972,7.482422824444445
periodic_rotation,2026,True,962.0,962.0,9.454631197225185,6.376610077109028,42,40,3.078021120116157,6.159290831511361,9.454631197225185
expected_max,2026,True,2242.0,2242.0,9.4054255435188,0.26801012646191147,31,29,9.13741541705689,9.224348165045587,9.4054255435188
gamma_cvar,2026,True,2254.0,2254.0,9.363437842670631,0.2078531790597875,27,25,9.155584663610844,9.333349734765637,9.363437842670631
fixed_pair,2027,True,1680.0,1680.0,9.425202407569993,1.9427795831255477,2,0,8.428642280605034,9.425202407569993,7.482422824444445
periodic_rotation,2027,True,756.0,756.0,9.370376901307342,6.398073467940524,33,31,2.9723034333668186,6.267510923772538,9.370376901307342
expected_max,2027,True,1926.0,1926.0,9.353983661277338,0.04451203369898771,24,22,9.337235170022996,9.30947162757835,9.353983661277338
gamma_cvar,2027,True,1861.0,1861.0,9.360605736293149,0.3915844818730072,22,20,9.360605736293149,9.157212172050098,8.969021254420142
fixed_pair,2028,True,1862.0,1862.0,9.354074856137183,1.8716520316927383,2,0,9.313111939313071,9.354074856137183,7.482422824444445
periodic_rotation,2028,True,857.0,857.0,9.354023972325713,5.903558528954401,37,35,3.450465443371313,6.553206082850042,9.354023972325713
expected_max,2028,True,2058.0,2058.0,9.417322681344329,0.3690674993953209,22,20,9.048255181949008,9.417322681344329,9.087445732693496
gamma_cvar,2028,True,2112.0,2112.0,9.522308434585867,0.30858442040839407,19,17,9.522308434585867,9.285573670772816,9.213724014177473
fixed_pair,2029,True,1793.0,1793.0,9.406951523449681,2.054305109738081,2,0,7.3526464137116,9.406951523449681,7.482422824444445
periodic_rotation,2029,True,1069.0,1069.0,9.353592628919944,5.739215365004422,46,44,3.6143772639155225,6.0766486003067515,9.353592628919944
expected_max,2029,True,2261.0,2261.0,9.357221987434752,0.08415269713046136,22,20,9.357221987434752,9.285046581844542,9.27306929030429
gamma_cvar,2029,True,2236.0,2236.0,9.37108389147908,0.38236526421088257,22,20,9.37108389147908,9.288470621123492,8.988718627268197
fixed_pair,2030,True,1645.0,1645.0,9.39346905257503,2.1829754701879702,2,0,7.21049358238706,9.39346905257503,7.482422824444445
periodic_rotation,2030,True,788.0,788.0,9.35420095771742,6.682573627823692,34,32,2.6716273298937283,5.585296586795763,9.35420095771742
expected_max,2030,True,1915.0,1915.0,9.575643193082549,1.479461152247822,14,12,8.096182040834726,9.575643193082549,8.983475870051748
gamma_cvar,2030,True,1915.0,1915.0,9.467254867603028,1.3710728267683017,19,17,8.096182040834726,9.103465739828811,9.467254867603028
fixed_pair,2031,True,1212.0,1212.0,9.37307589982735,4.466158053129105,2,0,4.906917846698246,9.37307589982735,7.482422824444445
periodic_rotation,2031,True,534.0,534.0,9.494924686512018,7.40475818207007,24,22,2.090166504441948,5.520399934337413,9.494924686512018
expected_max,2031,True,1756.0,1756.0,9.363404717793191,2.4165220594596555,24,22,6.946882658333536,9.363404717793191,9.259269763747053
gamma_cvar,2031,True,1647.0,1647.0,9.358843817885203,2.859114871736905,18,16,6.4997289461482985,9.358843817885203,8.89259054797965
fixed_pair,2032,True,1693.0,1693.0,9.353112237258019,2.0890449170915177,2,0,7.264067320166501,9.353112237258019,7.482422824444445
periodic_rotation,2032,True,846.0,846.0,9.353685878820636,5.799756436682544,37,35,3.5539294421380925,5.349308527389532,9.353685878820636
expected_max,2032,True,2107.0,2107.0,9.354147374853241,0.45245539999775275,24,22,8.901691974855488,9.354147374853241,9.110355847653876
gamma_cvar,2032,True,2101.0,2101.0,9.464291271451259,0.5716129183620655,28,26,8.892678353089194,9.464291271451259,8.986222867266891
fixed_pair,2033,True,1747.0,1747.0,9.353665246367036,1.8712424219225916,2,0,7.990989703922484,9.353665246367036,7.482422824444445
periodic_rotation,2033,True,750.0,750.0,9.40099043926939,6.1310191615717535,33,31,3.2699712776976377,6.33810142599,9.40099043926939
expected_max,2033,True,2246.0,2246.0,9.353959215518445,0.06595791923203365,39,37,9.353959215518445,9.291077430861094,9.288001296286412
gamma_cvar,2033,True,2191.0,2191.0,9.354096630293855,0.3472433239014414,39,37,9.354096630293855,9.284545046827283,9.006853306392413
fixed_pair,2034,True,1310.0,1310.0,9.487314398465946,3.656171851904362,2,0,5.831142546561584,9.487314398465946,7.482422824444445
periodic_rotation,2034,True,620.0,620.0,9.453731588119993,6.8709443376198145,27,25,2.582787250500178,5.388596546063048,9.453731588119993
expected_max,2034,True,1789.0,1789.0,9.353043528239212,1.704989960822525,22,20,7.648053567416687,9.353043528239212,9.34072470263257
gamma_cvar,2034,True,1729.0,1729.0,9.35638111857946,2.010775508281143,18,16,7.345605610298317,9.35638111857946,9.169091408402668
fixed_pair,2035,True,1850.0,1850.0,9.367991501320967,1.885568676876522,2,0,8.079774769966885,9.367991501320967,7.482422824444445
periodic_rotation,2035,True,911.0,911.0,9.35437449697209,6.72106177711212,39,37,2.63331271985997,5.82763283928583,9.35437449697209
expected_max,2035,True,2296.0,2296.0,9.35327526513767,0.06025688134869611,35,33,9.35327526513767,9.293018383788974,9.345002799444105
gamma_cvar,2035,True,2232.0,2232.0,9.353742059468566,0.3756385963225153,30,28,9.2810255565415,9.353742059468566,8.97810346314605
fixed_pair,2036,True,1298.0,1298.0,9.353048088208205,3.623579406058763,2,0,5.729468682149442,9.353048088208205,7.482422824444445
periodic_rotation,2036,True,747.0,747.0,9.354087399533514,6.509095381348182,33,31,2.844992018185332,5.812221872004173,9.354087399533514
expected_max,2036,True,1637.0,1637.0,9.38275040488221,1.9710225619061337,18,16,7.411727842976076,9.38275040488221,9.346498750093962
gamma_cvar,2036,True,1487.0,1487.0,9.354165611118985,2.5366140783381983,12,10,6.8175515327807865,9.354165611118985,8.621090744753635
fixed_pair,2037,True,1572.0,1572.0,9.353668043079688,1.8712452186352433,2,0,9.353668043079688,9.208451882841823,7.482422824444445
periodic_rotation,2037,True,687.0,687.0,9.353533146467523,5.675701225929554,30,28,3.6778319205379693,5.871421643954879,9.353533146467523
expected_max,2037,True,1773.0,1773.0,9.368292458691368,0.18853763626479747,24,22,9.34439913668787,9.17975482242657,9.368292458691368
