policy,n_runs,health_limit_crossing_share,time_to_limit_mean_h,time_to_limit_std_h,time_to_limit_q10_h,time_to_limit_median_h,time_to_limit_q90_h,start_count_mean,assignment_change_mean,gamma_terminal_cv
expected_max,10,1.0,1372.0,59.74947698515862,1270.6,1389.5,1428.6,26.1,24.1,0.05
fixed_pair,10,1.0,1042.3,54.42027808332724,968.9,1060.5,1089.4,2.0,0.0,0.05
gamma_cvar,10,1.0,1374.2,55.73508769168664,1290.4,1388.0,1428.3,26.0,24.0,0.05
periodic_rotation,10,1.0,530.3,32.89731498668749,478.6,537.5,560.6,23.6,21.6,0.05
expected_max,10,1.0,1373.0,104.0010683705808,1246.5,1385.5,1478.4,23.2,21.2,0.1
fixed_pair,10,1.0,1038.3,111.03658055894113,931.5,1064.0,1136.3,2.0,0.0,0.1
gamma_cvar,10,1.0,1374.6,106.51259706407188,1246.5,1380.5,1481.4,23.4,21.4,0.1
periodic_rotation,10,1.0,540.8,60.02369902333948,463.4,544.0,614.3,24.1,22.1,0.1
expected_max,10,1.0,1356.3,274.8405800540459,1068.9,1498.5,1576.8,19.4,17.4,0.2
fixed_pair,10,1.0,1072.8,210.98751937812185,776.1,1149.0,1273.7,2.0,0.0,0.2
gamma_cvar,10,1.0,1344.6,267.0002913023796,1065.3,1476.5,1559.1,18.5,16.5,0.2
periodic_rotation,10,1.0,565.1,105.40235080659043,449.1,613.0,635.8,25.1,23.1,0.2
