reschedule_h,policy,n_runs,health_limit_crossing_share,time_to_limit_mean_h,time_to_limit_std_h,time_to_limit_q10_h,time_to_limit_median_h,time_to_limit_q90_h,start_count_mean,assignment_change_mean
6,expected_max,10,1.0,1360.3,105.38716978624844,1244.6,1376.0,1467.9,79.9,77.9
6,fixed_pair,10,1.0,1038.3,111.03658055894113,931.5,1064.0,1136.3,2.0,0.0
6,gamma_cvar,10,1.0,1359.2,104.0841539866233,1244.9,1371.5,1467.7,78.4,76.4
6,periodic_rotation,10,1.0,540.8,60.02369902333948,463.4,544.0,614.3,24.1,22.1
12,expected_max,10,1.0,1368.5,104.54265477146956,1246.5,1380.0,1469.7,41.7,39.7
12,fixed_pair,10,1.0,1038.3,111.03658055894113,931.5,1064.0,1136.3,2.0,0.0
12,gamma_cvar,10,1.0,1368.0,105.97798513527862,1245.9,1380.5,1469.7,41.5,39.5
12,periodic_rotation,10,1.0,540.8,60.02369902333948,463.4,544.0,614.3,24.1,22.1
24,expected_max,10,1.0,1373.0,104.0010683705808,1246.5,1385.5,1478.4,23.2,21.2
24,fixed_pair,10,1.0,1038.3,111.03658055894113,931.5,1064.0,1136.3,2.0,0.0
24,gamma_cvar,10,1.0,1374.6,106.51259706407188,1246.5,1380.5,1481.4,23.4,21.4
24,periodic_rotation,10,1.0,540.8,60.02369902333948,463.4,544.0,614.3,24.1,22.1
48,expected_max,10,1.0,1370.0,105.84789926010708,1245.4,1396.0,1463.7,13.0,11.0
48,fixed_pair,10,1.0,1038.3,111.03658055894113,931.5,1064.0,1136.3,2.0,0.0
48,gamma_cvar,10,1.0,1364.3,104.92860006266694,1245.4,1376.5,1463.7,12.5,10.5
48,periodic_rotation,10,1.0,540.8,60.02369902333948,463.4,544.0,614.3,24.1,22.1
