policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1751.0,1751.0,9.405045224781395,1.9226224003369499,2,0,7.744335024127059,9.405045224781395,7.482422824444445
health_greedy,2026,True,2242.0,2242.0,9.430034845563496,0.20929475206735937,30,28,9.430034845563496,9.339291729696601,9.220740093496136
expected_max,2026,True,2242.0,2242.0,9.434095215405021,0.22007235513221168,30,28,9.329716989374733,9.434095215405021,9.21402286027281
fixed_pair,2027,True,1680.0,1680.0,9.389170998187051,1.9067481737426064,2,0,8.630468791105642,9.389170998187051,7.482422824444445
health_greedy,2027,True,1869.0,1869.0,9.354189676753855,0.09746726320552135,23,21,9.274955412956274,9.256722413548333,9.354189676753855
expected_max,2027,True,1880.0,1880.0,9.353836798011201,0.13413596215341883,22,20,9.219700835857783,9.353836798011201,9.348510484218655
fixed_pair,2028,True,1842.0,1842.0,9.354313905746732,1.8718910813022873,2,0,9.354313905746732,9.177883833514564,7.482422824444445
health_greedy,2028,True,2058.0,2058.0,9.471574568932583,0.3555236817393972,25,23,9.116050887193186,9.471574568932583,9.160433479678533
expected_max,2028,True,2058.0,2058.0,9.465371002509215,0.38364831599228033,20,18,9.181859319415873,9.465371002509215,9.081722686516935
fixed_pair,2029,True,1824.0,1824.0,9.354026554825232,1.8716037303807873,2,0,7.825297417489914,9.354026554825232,7.482422824444445
health_greedy,2029,True,2210.0,2210.0,9.464774245322236,0.2561973416196519,24,22,9.464774245322236,9.208576903702584,9.230508185718486
expected_max,2029,True,2210.0,2210.0,9.445627962941314,0.24957606997895887,18,16,9.24066692924742,9.445627962941314,9.196051892962355
fixed_pair,2030,True,1691.0,1691.0,9.353356485308707,1.9304884318158706,2,0,7.422868053492836,9.353356485308707,7.482422824444445
health_greedy,2030,True,1915.0,1915.0,9.523816650954142,1.2608278654146758,17,15,8.262988785539466,8.915260448096301,9.523816650954142
expected_max,2030,True,1915.0,1915.0,9.516448133299996,1.2534593477605291,18,16,8.262988785539466,9.516448133299996,8.918395799609717
fixed_pair,2031,True,1229.0,1229.0,9.35306663499285,4.146645357893696,2,0,5.206421277099153,9.35306663499285,7.482422824444445
health_greedy,2031,True,1760.0,1760.0,9.353708410226279,2.121381042842385,25,23,7.232327367383894,9.223180945670586,9.353708410226279
expected_max,2031,True,1767.0,1767.0,9.353570968663497,2.1094548003064295,24,22,7.244116168357068,9.353570968663497,9.223076528186667
fixed_pair,2032,True,1726.0,1726.0,9.42855858177631,1.9461357573318647,2,0,7.84319711611241,9.42855858177631,7.482422824444445
health_greedy,2032,True,2101.0,2101.0,9.356432110649187,0.29888863710830904,26,24,9.057543473540878,9.087126924726006,9.356432110649187
expected_max,2032,True,2101.0,2101.0,9.367368009565848,0.31800080051535495,23,21,9.077364842810244,9.049367209050493,9.367368009565848
fixed_pair,2033,True,1797.0,1797.0,9.35793838886737,1.8755155644229244,2,0,8.306553580925582,9.35793838886737,7.482422824444445
health_greedy,2033,True,2217.0,2217.0,9.357415759976194,0.02049703392033564,40,38,9.357415759976194,9.352117757717723,9.336918726055858
expected_max,2033,True,2205.0,2205.0,9.354658607000786,0.06721182450715979,32,30,9.354658607000786,9.287446782493626,9.338269316305166
fixed_pair,2034,True,1310.0,1310.0,9.433091551958167,3.4446392942561728,2,0,5.9884522577019945,9.433091551958167,7.482422824444445
health_greedy,2034,True,1810.0,1810.0,9.353090740675313,1.4394146176290237,21,19,7.913676123046289,9.34561366508091,9.353090740675313
expected_max,2034,True,1799.0,1799.0,9.354714318621237,1.4615106756664078,20,18,7.89320364295483,9.354714318621237,9.31234336216539
fixed_pair,2035,True,1838.0,1838.0,9.353947740555661,1.8715249161112162,2,0,8.23701094400879,9.353947740555661,7.482422824444445
