policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,942.0,942.0,9.456663485305691,2.0077986433640422,2,0,7.448864841941649,9.456663485305691,7.482422824444445
health_greedy,2026,True,1197.0,1197.0,9.539521927588186,0.22142414167757174,20,18,9.539521927588186,9.318357566095393,9.318097785910615
expected_max,2026,True,1197.0,1197.0,9.54177532758819,0.24720730364735566,20,18,9.54177532758819,9.334996717796182,9.294568023940835
fixed_pair,2027,True,828.0,828.0,9.35362043205492,1.8711976076104744,2,0,7.514521213140367,9.35362043205492,7.482422824444445
health_greedy,2027,True,1045.0,1045.0,9.354676778091433,0.08704515258393464,19,17,9.292776988831715,9.354676778091433,9.267631625507498
expected_max,2027,True,1047.0,1047.0,9.354363729124211,0.14299639360893224,17,15,9.349291989092837,9.211367335515279,9.354363729124211
fixed_pair,2028,True,915.0,915.0,9.375091527149111,1.8926687027046665,2,0,8.46337351983637,9.375091527149111,7.482422824444445
health_greedy,2028,True,1078.0,1078.0,9.372744754423177,0.13294351317757247,15,13,9.239801241245605,9.372744754423177,9.279687369208661
expected_max,2028,True,1078.0,1078.0,9.358598549578568,0.11375631900584615,13,11,9.358598549578568,9.244842230572722,9.278705287485403
fixed_pair,2029,True,1034.0,1034.0,9.354041035059506,1.8716182106150612,2,0,8.3805109849125,9.354041035059506,7.482422824444445
health_greedy,2029,True,1185.0,1185.0,9.353141295118181,0.18101918441945308,18,16,9.172122110698728,9.24607576675067,9.353141295118181
expected_max,2029,True,1183.0,1183.0,9.354097251014684,0.19843552972854717,18,16,9.354097251014684,9.155661721286137,9.226981674802966
fixed_pair,2030,True,877.0,877.0,9.40616002435894,2.1572257067684317,2,0,7.248934317590508,9.40616002435894,7.482422824444445
health_greedy,2030,True,1129.0,1129.0,9.705211033651471,0.6967538889301785,17,15,9.008457144721293,9.139447658194374,9.705211033651471
expected_max,2030,True,1129.0,1129.0,9.686043056172382,0.6775859114510894,17,15,9.008457144721293,9.155592883906246,9.686043056172382
fixed_pair,2031,True,627.0,627.0,9.35363911358813,4.099866842428321,2,0,5.253772271159809,9.35363911358813,7.482422824444445
health_greedy,2031,True,790.0,790.0,9.369497581472631,2.865099558020745,11,9,6.504398023451886,8.804365147824807,9.369497581472631
expected_max,2031,True,873.0,873.0,9.380680779220645,2.266996944603205,12,10,7.11368383461744,9.380680779220645,9.346663494158326
fixed_pair,2032,True,932.0,932.0,9.353205724840148,1.870782900395703,2,0,8.272797369850116,9.353205724840148,7.482422824444445
health_greedy,2032,True,1127.0,1127.0,9.355399595760243,0.19060253635305457,17,15,9.164797059407189,9.277791747545198,9.355399595760243
expected_max,2032,True,1148.0,1148.0,9.35558910576996,0.07839511325801318,17,15,9.35558910576996,9.341738366742634,9.277193992511947
fixed_pair,2033,True,775.0,775.0,9.353210193960853,2.0720288605538437,2,0,7.28118133340701,9.353210193960853,7.482422824444445
health_greedy,2033,True,1073.0,1073.0,9.355991764656634,0.014898115611385876,14,12,9.341093649045249,9.355991764656634,9.349808254212114
expected_max,2033,True,1074.0,1074.0,9.354751654794525,0.0044561668146734235,15,13,9.354751654794525,9.350295487979851,9.35453896768061
fixed_pair,2034,True,737.0,737.0,9.355604894319695,3.1173127785634094,2,0,6.238292115756286,9.355604894319695,7.482422824444445
health_greedy,2034,True,972.0,972.0,9.442541735753078,1.2490993438140965,15,13,8.193442391938982,9.231580132287423,9.442541735753078
expected_max,2034,True,972.0,972.0,9.425245491275243,1.2318030993362612,16,14,8.193442391938982,9.425245491275243,9.255068441071407
fixed_pair,2035,True,945.0,945.0,9.354779712081907,1.872356887637462,2,0,7.499702070478417,9.354779712081907,7.482422824444445
