policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1751.0,1751.0,9.424142332513972,1.9417195080695269,2,0,7.576354317342293,9.424142332513972,7.482422824444445
health_greedy,2026,True,2242.0,2242.0,9.415312458216297,0.2778970411594077,31,29,9.13741541705689,9.220575256583361,9.415312458216297
expected_max,2026,True,2242.0,2242.0,9.4054255435188,0.26801012646191147,31,29,9.13741541705689,9.224348165045587,9.4054255435188
fixed_pair,2027,True,1680.0,1680.0,9.425202407569993,1.9427795831255477,2,0,8.428642280605034,9.425202407569993,7.482422824444445
health_greedy,2027,True,1933.0,1933.0,9.359093535862408,0.034183772942851576,25,23,9.324909762919557,9.336924727251164,9.359093535862408
expected_max,2027,True,1926.0,1926.0,9.353983661277338,0.04451203369898771,24,22,9.337235170022996,9.30947162757835,9.353983661277338
fixed_pair,2028,True,1862.0,1862.0,9.354074856137183,1.8716520316927383,2,0,9.313111939313071,9.354074856137183,7.482422824444445
health_greedy,2028,True,2058.0,2058.0,9.421313279576708,0.36216486739030884,27,25,9.089820205268401,9.0591484121864,9.421313279576708
expected_max,2028,True,2058.0,2058.0,9.417322681344329,0.3690674993953209,22,20,9.048255181949008,9.417322681344329,9.087445732693496
fixed_pair,2029,True,1793.0,1793.0,9.406951523449681,2.054305109738081,2,0,7.3526464137116,9.406951523449681,7.482422824444445
health_greedy,2029,True,2263.0,2263.0,9.354005914747415,0.07736225687640363,19,17,9.279078870999443,9.276643657871011,9.354005914747415
expected_max,2029,True,2261.0,2261.0,9.357221987434752,0.08415269713046136,22,20,9.357221987434752,9.285046581844542,9.27306929030429
fixed_pair,2030,True,1645.0,1645.0,9.39346905257503,2.1829754701879702,2,0,7.21049358238706,9.39346905257503,7.482422824444445
health_greedy,2030,True,1915.0,1915.0,9.58442208715853,1.4882400463238028,16,14,8.096182040834726,9.58442208715853,8.979241442731903
expected_max,2030,True,1915.0,1915.0,9.575643193082549,1.479461152247822,14,12,8.096182040834726,9.575643193082549,8.983475870051748
fixed_pair,2031,True,1212.0,1212.0,9.37307589982735,4.466158053129105,2,0,4.906917846698246,9.37307589982735,7.482422824444445
health_greedy,2031,True,1756.0,1756.0,9.369749033000883,2.422866374667347,27,25,6.946882658333536,9.27910698435893,9.369749033000883
expected_max,2031,True,1756.0,1756.0,9.363404717793191,2.4165220594596555,24,22,6.946882658333536,9.363404717793191,9.259269763747053
fixed_pair,2032,True,1693.0,1693.0,9.353112237258019,2.0890449170915177,2,0,7.264067320166501,9.353112237258019,7.482422824444445
health_greedy,2032,True,2112.0,2112.0,9.35343156561454,0.4419438985480202,24,22,8.91148766706652,9.35343156561454,9.111444804813228
expected_max,2032,True,2107.0,2107.0,9.354147374853241,0.45245539999775275,24,22,8.901691974855488,9.354147374853241,9.110355847653876
fixed_pair,2033,True,1747.0,1747.0,9.353665246367036,1.8712424219225916,2,0,7.990989703922484,9.353665246367036,7.482422824444445
health_greedy,2033,True,2253.0,2253.0,9.356486900265836,0.04681164967849227,39,37,9.309675250587343,9.356486900265836,9.340548553724782
expected_max,2033,True,2246.0,2246.0,9.353959215518445,0.06595791923203365,39,37,9.353959215518445,9.291077430861094,9.288001296286412
fixed_pair,2034,True,1310.0,1310.0,9.487314398465946,3.656171851904362,2,0,5.831142546561584,9.487314398465946,7.482422824444445
health_greedy,2034,True,1794.0,1794.0,9.353848309121169,1.6975900949543927,20,18,7.656258214166776,9.353848309121169,9.34304765521887
expected_max,2034,True,1789.0,1789.0,9.353043528239212,1.704989960822525,22,20,7.648053567416687,9.353043528239212,9.34072470263257
fixed_pair,2035,True,1850.0,1850.0,9.367991501320967,1.885568676876522,2,0,8.079774769966885,9.367991501320967,7.482422824444445
health_greedy,2035,True,2298.0,2298.0,9.3674073059358,0.03722728060566638,37,35,9.3674073059358,9.340591514905435,9.330180025330133
expected_max,2035,True,2296.0,2296.0,9.35327526513767,0.06025688134869611,35,33,9.35327526513767,9.293018383788974,9.345002799444105
fixed_pair,2036,True,1298.0,1298.0,9.353048088208205,3.623579406058763,2,0,5.729468682149442,9.353048088208205,7.482422824444445
health_greedy,2036,True,1637.0,1637.0,9.38275040488221,1.9710225619061337,18,16,7.411727842976076,9.38275040488221,9.346498750093962
expected_max,2036,True,1637.0,1637.0,9.38275040488221,1.9710225619061337,18,16,7.411727842976076,9.38275040488221,9.346498750093962
fixed_pair,2037,True,1572.0,1572.0,9.353668043079688,1.8712452186352433,2,0,9.353668043079688,9.208451882841823,7.482422824444445
health_greedy,2037,True,1693.0,1693.0,9.356856898878984,0.4511705390105316,23,21,9.031075919333771,9.356856898878984,8.905686359868453
expected_max,2037,True,1773.0,1773.0,9.368292458691368,0.18853763626479747,24,22,9.34439913668787,9.17975482242657,9.368292458691368
fixed_pair,2038,True,1528.0,1528.0,9.353540206790544,2.7274847561845474,2,0,6.626055450605997,9.353540206790544,7.482422824444445
