policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1200.0,1200.0,9.356079932158282,3.5059837799151383,2,0,5.850096152243144,9.356079932158282,7.482422824444445
periodic_rotation,2026,True,611.0,611.0,9.355234336986511,6.78468696765528,27,25,2.570547369331231,5.609566619960398,9.355234336986511
expected_max,2026,True,1558.0,1558.0,9.356302619111371,1.3105430912548357,27,25,8.045759527856536,9.293115319661391,9.356302619111371
gamma_cvar,2026,True,1544.0,1544.0,9.353273755488937,1.349024247615219,26,24,8.004249507873718,9.353273755488937,9.236293970432143
fixed_pair,2027,True,1200.0,1200.0,9.355381781266487,1.9202137193664601,2,0,7.435168061900027,9.355381781266487,7.482422824444445
periodic_rotation,2027,True,621.0,621.0,9.35367212365518,6.1301730113324195,27,25,3.2234991123227603,6.047404415237708,9.35367212365518
expected_max,2027,True,1574.0,1574.0,9.384706599291482,0.4164073073562786,25,23,8.968299291935203,9.334596954068086,9.384706599291482
gamma_cvar,2027,True,1543.0,1543.0,9.355755327718013,0.47471648522812515,26,24,8.881038842489888,9.355755327718013,9.205282226836571
fixed_pair,2028,True,1298.0,1298.0,9.35384811077686,1.871425286332416,2,0,8.3742992160996,9.35384811077686,7.482422824444445
periodic_rotation,2028,True,609.0,609.0,9.355321613469147,6.606455568395033,27,25,2.7488660450741147,6.0732373595361375,9.355321613469147
expected_max,2028,True,1557.0,1557.0,9.407518319349702,0.22373516899504864,26,24,9.183783150354653,9.22472591950524,9.407518319349702
gamma_cvar,2028,True,1557.0,1557.0,9.47884671294001,0.49497873433334405,23,21,9.47884671294001,9.315079188996187,8.983867978606666
fixed_pair,2029,True,1271.0,1271.0,9.356879663892272,2.696073127233751,2,0,6.660806536658521,9.356879663892272,7.482422824444445
periodic_rotation,2029,True,631.0,631.0,9.36197490442824,6.28757923426137,28,26,3.0743956701668704,5.315947413990989,9.36197490442824
expected_max,2029,True,1602.0,1602.0,9.358238796905107,0.8619230701220992,29,27,8.496315726783008,9.339779989796611,9.358238796905107
gamma_cvar,2029,True,1578.0,1578.0,9.35366733694118,0.926792428381944,26,24,8.426874908559236,9.35366733694118,9.189383907616207
fixed_pair,2030,True,1056.0,1056.0,9.353134950907233,4.582627749494645,2,0,4.770507201412588,9.353134950907233,7.482422824444445
periodic_rotation,2030,True,342.0,342.0,9.35449014518155,7.51511970118445,16,14,1.8393704439971001,4.573962224110917,9.35449014518155
expected_max,2030,True,1129.0,1129.0,9.998433772876337,4.624963028223326,14,12,5.373470744653011,9.998433772876337,8.581005952624453
gamma_cvar,2030,True,1129.0,1129.0,10.02776743187996,4.654296687226949,12,10,5.373470744653011,10.02776743187996,8.540467680814423
fixed_pair,2031,True,789.0,789.0,10.376210166922542,6.818785200739171,2,0,3.5574249661833703,10.376210166922542,7.482422824444445
periodic_rotation,2031,True,466.0,466.0,9.4537793054186,7.516758708408844,21,19,1.9370205970097558,5.953746577339866,9.4537793054186
expected_max,2031,True,789.0,789.0,9.521312451715417,5.963887485532046,8,6,3.5574249661833703,9.521312451715417,8.395219341728176
gamma_cvar,2031,True,789.0,789.0,9.493978166912777,5.936553200729406,9,7,3.5574249661833703,8.444580414257436,9.493978166912777
fixed_pair,2032,True,1179.0,1179.0,9.35754477757335,2.4081764771976255,2,0,6.949368300375725,9.35754477757335,7.482422824444445
periodic_rotation,2032,True,616.0,616.0,9.35525595029782,5.21255638609168,27,25,4.142699564206141,5.359959224311644,9.35525595029782
expected_max,2032,True,1470.0,1470.0,9.355202774784146,1.115244807385638,12,10,8.239957967398508,9.355202774784146,9.316168272960155
gamma_cvar,2032,True,1435.0,1435.0,9.353990863569493,1.2137073932746922,10,8,8.1402834702948,9.353990863569493,9.194852522660787
fixed_pair,2033,True,660.0,660.0,9.353490522586737,4.536296809097303,2,0,4.817193713489434,9.353490522586737,7.482422824444445
periodic_rotation,2033,True,615.0,615.0,10.648629796512969,7.203598348089889,27,25,3.4450314484230797,7.456910779361251,10.648629796512969
expected_max,2033,True,1100.0,1100.0,9.354674398631886,2.8184280151556784,8,6,6.5362463834762075,9.354674398631886,9.33410510815184
gamma_cvar,2033,True,1096.0,1096.0,9.356170444192507,2.831903193534,6,4,6.524267250658507,9.356170444192507,9.254336529042007
fixed_pair,2034,True,956.0,956.0,9.356462102706876,3.495426826831091,2,0,5.8610352758757855,9.356462102706876,7.482422824444445
periodic_rotation,2034,True,461.0,461.0,9.35610680359093,7.410684716873244,21,19,1.945422086717685,5.173637910349067,9.35610680359093
expected_max,2034,True,1257.0,1257.0,9.859587495767697,2.7815126913810486,19,17,7.078074804386648,9.30818098092664,9.859587495767697
gamma_cvar,2034,True,1257.0,1257.0,9.823538034531955,2.7454632301453072,21,19,7.078074804386648,9.336658195748374,9.823538034531955
fixed_pair,2035,True,1119.0,1119.0,9.353263639862854,4.16178601336624,2,0,5.1914776264966145,9.353263639862854,7.482422824444445
periodic_rotation,2035,True,679.0,679.0,9.35526859634838,6.5439084491275175,30,28,2.811360147220862,5.517452991109542,9.35526859634838
expected_max,2035,True,1527.0,1527.0,9.354396697337782,1.5110660794730428,26,24,7.843330617864739,9.354396697337782,9.290604172030225
gamma_cvar,2035,True,1518.0,1518.0,9.355120277628538,1.5376444597637988,26,24,7.817475817864739,9.355120277628538,9.235733164873528
