policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1072.0,1072.0,9.355086907512302,3.732147665458519,2,0,5.622939242053783,9.355086907512302,7.482422824444445
periodic_rotation,2026,True,553.0,553.0,9.354842508576034,6.698607833631801,25,23,2.656234674944234,5.838036675334569,9.354842508576034
expected_max,2026,True,1425.0,1425.0,9.354968489278212,1.7609758246215046,14,12,7.5939926646567075,9.354968489278212,9.306917958163558
gamma_cvar,2026,True,1435.0,1435.0,9.355937289288626,1.7339328892920376,13,11,7.622004399996588,9.34013916336097,9.355937289288626
fixed_pair,2027,True,1045.0,1045.0,9.361640856389354,2.49398135255343,2,0,6.867659503835924,9.361640856389354,7.482422824444445
periodic_rotation,2027,True,536.0,536.0,9.389590677563607,6.665298357499761,24,22,2.724292320063846,6.185156245081711,9.389590677563607
expected_max,2027,True,1367.0,1367.0,9.35411380977547,0.594218800749827,15,13,8.759895009025643,9.260583302929508,9.35411380977547
gamma_cvar,2027,True,1367.0,1367.0,9.35411380977547,0.594218800749827,15,13,8.759895009025643,9.260583302929508,9.35411380977547
fixed_pair,2028,True,1132.0,1132.0,9.354908093607614,1.906286681605014,2,0,7.4486214120026,9.354908093607614,7.482422824444445
periodic_rotation,2028,True,529.0,529.0,9.354441476013651,6.444412747987663,24,22,2.910028728025989,5.843871946936537,9.354441476013651
expected_max,2028,True,1438.0,1438.0,9.354968041303286,0.38924957350306144,13,11,8.965718467800224,9.029783375396159,9.354968041303286
gamma_cvar,2028,True,1440.0,1440.0,9.355785347834736,0.3846112800345125,13,11,8.971174067800224,9.036332631067525,9.355785347834736
fixed_pair,2029,True,1175.0,1175.0,9.355043688269223,2.7483978544515058,2,0,6.606645833817717,9.355043688269223,7.482422824444445
periodic_rotation,2029,True,614.0,614.0,9.355083338442904,6.161640271447651,27,25,3.193443066995253,5.560427922880035,9.355083338442904
expected_max,2029,True,1488.0,1488.0,9.353647717560932,1.5520711958573896,13,11,7.801576521703542,9.243357668897238,9.353647717560932
gamma_cvar,2029,True,1488.0,1488.0,9.353647717560932,1.5520711958573896,13,11,7.801576521703542,9.243357668897238,9.353647717560932
fixed_pair,2030,True,1061.0,1061.0,9.354371038321137,3.8500359773185417,2,0,5.504335061002595,9.354371038321137,7.482422824444445
periodic_rotation,2030,True,479.0,479.0,9.427468361519933,7.034690976065378,21,19,2.392777385454555,5.398777320620311,9.427468361519933
expected_max,2030,True,1343.0,1343.0,9.35572646145479,2.331365426651674,10,8,7.024361034803116,9.35572646145479,9.236101241537712
gamma_cvar,2030,True,1331.0,1331.0,9.355770995306052,2.3648924857796905,10,8,6.990878509526362,9.355770995306052,9.180214034627596
fixed_pair,2031,True,792.0,792.0,9.357006079553832,4.951498743523381,2,0,4.4055073360304515,9.357006079553832,7.482422824444445
periodic_rotation,2031,True,458.0,458.0,9.35545158233254,7.0630669428159205,21,19,2.292384639516619,5.820674763313698,9.35545158233254
expected_max,2031,True,1141.0,1141.0,9.354224131784513,3.5417129193756978,10,8,5.812511212408815,9.354224131784513,9.237595152060274
gamma_cvar,2031,True,1141.0,1141.0,9.354224131784513,3.5417129193756978,10,8,5.812511212408815,9.354224131784513,9.237595152060274
fixed_pair,2032,True,1123.0,1123.0,9.421010195707753,2.803040520525153,2,0,6.6179696751826,9.421010195707753,7.482422824444445
periodic_rotation,2032,True,552.0,552.0,9.357501424553389,6.468725035205499,24,22,2.88877638934789,5.16959483609981,9.357501424553389
expected_max,2032,True,1436.0,1436.0,9.356292239544764,1.2136450894230233,12,10,8.142647150121741,9.356292239544764,9.351103826888481
gamma_cvar,2032,True,1386.0,1386.0,9.356384182292125,1.6587786464459828,10,8,7.697605535846142,9.356384182292125,9.149843106629072
fixed_pair,2033,True,969.0,969.0,9.356621581223868,3.1745047762133574,2,0,6.18211680501051,9.356621581223868,7.482422824444445
periodic_rotation,2033,True,606.0,606.0,9.35328346148769,6.111766645361259,27,25,3.241516816126431,6.641619272948966,9.35328346148769
expected_max,2033,True,1344.0,1344.0,9.35626692489132,1.708214858317139,15,13,7.648052066574182,9.214946580561593,9.35626692489132
gamma_cvar,2033,True,1337.0,1337.0,9.354410375918999,1.7272471930295552,14,12,7.6271631828894435,9.354410375918999,9.181087292459402
fixed_pair,2034,True,947.0,947.0,9.359665485011453,3.8232751633584474,2,0,5.5363903216530055,9.359665485011453,7.482422824444445
periodic_rotation,2034,True,464.0,464.0,9.354131499008188,7.154942160548924,21,19,2.1991893384592642,5.463372866657177,9.354131499008188
expected_max,2034,True,1257.0,1257.0,9.537786082934527,2.425003561934064,15,13,7.112782521000463,9.265560208080831,9.537786082934527
gamma_cvar,2034,True,1257.0,1257.0,9.571284044687669,2.4585015236872056,14,12,7.112782521000463,9.571284044687669,9.223797085490562
fixed_pair,2035,True,1067.0,1067.0,9.353482047195817,3.981816381918164,2,0,5.371665665277653,9.353482047195817,7.482422824444445
periodic_rotation,2035,True,617.0,617.0,9.35831455516933,6.69599417211655,27,25,2.662320383052779,5.699695359102809,9.35831455516933
expected_max,2035,True,1461.0,1461.0,9.372552117299044,1.827894907524434,13,11,7.54465720977461,9.324663488471163,9.372552117299044
gamma_cvar,2035,True,1461.0,1461.0,9.372552117299044,1.827894907524434,13,11,7.54465720977461,9.324663488471163,9.372552117299044
