policy,effective_policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,local_seed
fixed_pair,fixed_pair,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,reference,0
health_greedy,health_greedy,0,True,True,1388.0,1423.0,35.0,27.090675038441073,0.8373358543709841,1423.0,27.381847476072437,0.685480374247037,24,22,"(np.int64(2), np.int64(1), np.int64(0))",,1423.0,1388.0,8.670559466662825,9.355248168499752,9.356039840909862,reference,0
order_blend_50,order_blend_50,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,reference,0
expected_n_plus_one,expected_n_plus_one,0,True,True,361.0,1431.0,1070.0,16.07004837669436,6.377647385937081,1431.0,27.40384953048448,0.6563020079672555,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1431.0,361.0,8.697152673656307,9.353454681623562,9.35324217520461,reference,0
continuity_rul,continuity_rul,0,True,True,1390.0,1422.0,32.0,27.103787307901793,0.8294972697997469,1422.0,27.375155916693565,0.6873325671585295,24,22,"(np.int64(2), np.int64(1), np.int64(0))",,1422.0,1390.0,8.667309440835249,9.353204467864538,9.354642007993778,reference,0
continuity_second_0,continuity_second_0,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,reference,0
continuity_second_24,continuity_second_24,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,reference,0
continuity_second_48,continuity_second_48,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,reference,0
continuity_second_100,continuity_second_100,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,reference,0
guarded_blend,order_blend_50,0,True,True,1056.0,1452.0,396.0,23.76664560894436,2.5968525224344887,1452.0,27.565218607112378,0.6698560938046629,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1452.0,8.770681559662538,9.440537653467201,9.353999393982638,reference,0
