scenario_id,policy,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_wins,second_boundary_ties,second_boundary_losses,second_boundary_nonworse_share,start_count_delta_mean
reference,health_greedy,309.8,291.2254504206282,330.25,0.05,-7.05,8.528723747742424,7,2,11,0.45,23.2
heterogeneity_current_perm_3,health_greedy,345.6,327.7,367.6637996254194,-1.25,-7.45,7.0,5,4,11,0.45,22.8
heterogeneity_gp_re_high_perm_1,health_greedy,380.95,357.8626678137043,405.2,-2.45,-8.2,4.051871020545332,6,3,11,0.45,18.85
heterogeneity_gp_re_high_perm_3,health_greedy,609.05,572.95,633.8,1.95,-10.95,15.5,9,1,10,0.5,18.75
heterogeneity_gp_re_increased_perm_1,health_greedy,396.2,370.3,418.6,-14.75,-28.948345846997505,-5.75,6,0,14,0.3,16.8
heterogeneity_gp_re_increased_perm_3,health_greedy,761.0,725.3663102403549,794.3718901013661,-28.35,-51.35,-8.694425713983128,4,3,13,0.35,18.55
reference,order_blend_50,91.65,34.25,167.35,2.45,0.65,6.65,4,16,0,1.0,1.1
heterogeneity_current_perm_3,order_blend_50,-538.7,-636.7970476753493,-337.8672506489564,-1.2,-4.25,3.163276967416368,4,6,10,0.5,0.5
heterogeneity_gp_re_high_perm_1,order_blend_50,-382.6,-404.3,-363.65,-4.45,-9.35,1.6552533335327098,5,5,10,0.5,0.0
heterogeneity_gp_re_high_perm_3,order_blend_50,75.05,-21.85,182.05,-12.6,-27.0,5.864671270068902,4,1,15,0.25,6.9
heterogeneity_gp_re_increased_perm_1,order_blend_50,-277.7,-292.75,-260.85,-10.15,-25.1,5.0,6,2,12,0.4,0.0
heterogeneity_gp_re_increased_perm_3,order_blend_50,367.1,262.0895754053153,476.5548982218743,-47.2,-76.85,-1.6659974931795658,4,1,15,0.25,12.35
reference,expected_n_plus_one,-736.05,-766.4981247528478,-710.0107489881043,7.85,0.75,18.246148772313063,12,5,3,0.85,0.0
heterogeneity_current_perm_3,expected_n_plus_one,-649.2,-678.9,-625.65,-2.3,-9.1,2.05,6,4,10,0.5,0.05
heterogeneity_gp_re_high_perm_1,expected_n_plus_one,-382.6,-403.7,-362.9836212515197,-4.45,-9.4,1.85,5,5,10,0.5,0.0
heterogeneity_gp_re_high_perm_3,expected_n_plus_one,-142.65,-168.51265485645177,-119.8,-35.95,-50.05,-17.85,2,1,17,0.15,2.1
heterogeneity_gp_re_increased_perm_1,expected_n_plus_one,-277.7,-292.9,-261.9,-10.15,-25.15,5.35,6,2,12,0.4,0.0
heterogeneity_gp_re_increased_perm_3,expected_n_plus_one,138.3,102.33359901618411,168.0,-86.3,-114.02426826448892,-59.85285099965813,3,0,17,0.15,5.2
reference,continuity_rul,311.85,292.35,332.5,-0.9,-8.15,6.45,7,3,10,0.5,22.3
heterogeneity_current_perm_3,continuity_rul,347.4,329.6967891177097,369.07039900168076,-2.0,-8.6,6.7,6,4,10,0.5,24.05
heterogeneity_gp_re_high_perm_1,continuity_rul,382.05,359.8297979693995,405.27593593072396,-8.85,-13.0,-3.1042139093464356,3,3,14,0.3,24.6
heterogeneity_gp_re_high_perm_3,continuity_rul,599.45,560.25,626.75,-11.2,-31.35,5.35,9,1,10,0.5,37.5
