month,source_file,running_rows,declared_channels,channels_ever_nonzero,modal_nonzero_channels_per_row,channel_mean_voltage_v_median,stack_voltage_v_median,stack_voltage_over_channel_mean_median
2025-04,21UBE0022_苏E02625F-2025-05-01.csv,21270,85,8,8,1.3,103.0,79.23076923076923
2025-05,21UBE0022_苏E02625F-2025-05-02.csv,16835,85,8,8,1.3,100.0,76.92307692307692
2025-06,21UBE0022_苏E02625F-2025-06-10.csv,13789,85,8,8,1.4,123.0,86.66666666666667
2025-07,21UBE0022_苏E02625F-2025-07-02.csv,21682,85,8,8,1.39,119.0,85.43046357615894
2025-08,21UBE0022_苏E02625F-2025-08-02.csv,8591,85,8,8,1.44,124.0,85.23489932885906
2025-09,21UBE0022_苏E02625F-2025-09-02.csv,18685,85,8,8,1.45,124.0,85.13513513513513
2025-10,21UBE0022_苏E02625F-2025-10-02.csv,17903,85,8,8,1.44,123.0,85.21126760563381
2025-11,21UBE0022_苏E02625F-2025-11-02.csv,19444,85,8,8,1.43,122.0,85.03401360544218
2025-12,21UBE0022_苏E02625F-2025-12-02.csv,19599,85,85,85,1.47,125.0,84.9673202614379
2026-01,21UBE0022_苏E02625F-2026-01-02.csv,21724,85,85,85,1.4,119.0,85.0
2026-02,21UBE0022_苏E02625F-2026-02-02.csv,19450,85,85,85,1.24,105.0,84.96240601503759
2026-03,21UBE0022_苏E02625F-2026-03-02.csv,17515,85,85,85,1.4,119.0,85.0
2026-04,21UBE0022_苏E02625F-2026-04-02.csv,17247,85,85,85,1.4,119.0,85.03401360544218
2026-05,21UBE0022_苏E02625F-2026-05-02.csv,21403,85,85,85,1.4,120.0,84.93150684931507
2026-06,21UBE0022_苏E02625F-2026-06-02.csv,16799,85,85,85,1.37,117.0,85.13513513513513
