month,month_date,matched_current_points,relative_voltage_shift_pct,month_to_month_shift_pct,jump_threshold_pct,discontinuity,epoch
2025-04,2025-04-01,3,-14.328742267827192,,3.9984248856121805,False,0
2025-05,2025-05-01,3,-13.987643043244717,0.3410992245824751,3.9984248856121805,False,0
2025-06,2025-06-01,3,-0.9425908402966036,13.045052202948114,3.9984248856121805,True,1
2025-07,2025-07-01,3,-0.3487470283999752,0.5938438118966284,3.9984248856121805,False,1
2025-08,2025-08-01,3,4.572060300951762,4.920807329351737,3.9984248856121805,True,2
2025-09,2025-09-01,3,4.207107544550343,-0.36495275640141855,3.9984248856121805,False,2
2025-10,2025-10-01,3,3.4525010375436325,-0.7546065070067107,3.9984248856121805,False,2
2025-11,2025-11-01,3,4.481164095363176,1.0286630578195433,3.9984248856121805,False,2
2025-12,2025-12-01,3,1.78579682358632,-2.6953672717768558,3.9984248856121805,False,2
2026-01,2026-01-01,3,0.5796104268547313,-1.2061863967315887,3.9984248856121805,False,2
2026-02,2026-02-01,3,-0.4983197534529298,-1.077930180307661,3.9984248856121805,False,2
2026-03,2026-03-01,3,0.0,0.4983197534529298,3.9984248856121805,False,2
2026-04,2026-04-01,3,-0.5302607222731798,-0.5302607222731798,3.9984248856121805,False,2
2026-05,2026-05-01,3,-0.6492273934071103,-0.11896667113393056,3.9984248856121805,False,2
2026-06,2026-06-01,3,-0.7442408835772398,-0.0950134901701295,3.9984248856121805,False,2
