stride_s,state,normalized_level,mapped_single_stack_kw,occupancy_count,occupancy_fraction
1,0,0.41428571428571426,12.428571428571427,40058,0.39998402380453124
1,1,0.5857142857142856,17.57142857142857,5513,0.05504797851201709
1,2,0.8285714285714285,24.857142857142854,41251,0.41189627455091915
1,3,1.0,30.0,13327,0.13307172313253252
5,0,0.41428571428571426,12.428571428571427,8019,0.4003095047923323
5,1,0.5857142857142856,17.57142857142857,1099,0.054862220447284345
5,2,0.8285714285714285,24.857142857142854,8249,0.4117911341853035
5,3,1.0,30.0,2665,0.13303714057507987
10,0,0.41428571428571426,12.428571428571427,4014,0.40079880179730404
10,1,0.5857142857142856,17.57142857142857,548,0.05471792311532701
10,2,0.8285714285714285,24.857142857142854,4120,0.41138292561158263
10,3,1.0,30.0,1333,0.13310034947578633
30,0,0.41428571428571426,12.428571428571427,1342,0.40155595451825254
30,1,0.5857142857142856,17.57142857142857,182,0.054458408138839016
30,2,0.8285714285714285,24.857142857142854,1373,0.41083183722321964
30,3,1.0,30.0,445,0.1331538001196888
60,0,0.41428571428571426,12.428571428571427,669,0.4001196172248804
60,1,0.5857142857142856,17.57142857142857,94,0.056220095693779906
60,2,0.8285714285714285,24.857142857142854,688,0.41148325358851673
60,3,1.0,30.0,221,0.13217703349282298
