stride_s,source_state,target_state,transition_count,empirical_probability,ci95_lower,ci95_upper,zuo_fast_probability,zuo_slow_probability
1,0,0,39604,0.9892344198826027,0.9791349635067453,0.9982687598470373,0.1,0.7
1,0,1,431,0.010765580117397278,0.0017312401529627132,0.0208650364932546,0.35,0.1
1,0,2,0,0.0,0.0,0.0,0.35,0.15
1,0,3,0,0.0,0.0,0.0,0.2,0.05
1,1,0,431,0.07817884999093053,0.012698018818950576,0.14301746242657568,0.35,0.05
1,1,1,5058,0.9174678033738436,0.8531773894785089,0.9819015775266189,0.1,0.8
1,1,2,24,0.0043533466352258295,0.003349969127877832,0.0059897947014486575,0.35,0.05
1,1,3,0,0.0,0.0,0.0,0.2,0.1
1,2,0,0,0.0,0.0,0.0,0.2,0.05
1,2,1,24,0.0005818181818181818,0.00041332238023414494,0.0009780977270276545,0.35,0.05
1,2,2,41216,0.9991757575757576,0.9987134458406199,0.9993980577570507,0.1,0.85
1,2,3,10,0.00024242424242424242,0.00011859366884819434,0.00040064132782152966,0.35,0.05
1,3,0,0,0.0,0.0,0.0,0.2,0.05
1,3,1,0,0.0,0.0,0.0,0.35,0.15
1,3,2,10,0.0007503564192991671,0.0004032258064516129,0.0018216765309444932,0.35,0.2
1,3,3,13317,0.9992496435807008,0.9981783234690554,0.9995967741935484,0.1,0.6
5,0,0,7858,0.982127234095738,0.9678783325544632,0.9946166702079277,0.1,0.7
5,0,1,143,0.017872765904261966,0.005383329792072375,0.03212166744553678,0.35,0.1
5,0,2,0,0.0,0.0,0.0,0.35,0.15
5,0,3,0,0.0,0.0,0.0,0.2,0.05
5,1,0,140,0.12738853503184713,0.03055917002254436,0.22111213389447731,0.35,0.05
5,1,1,936,0.8516833484986351,0.7605438362660036,0.9455211804473426,0.1,0.8
5,1,2,23,0.020928116469517744,0.016149349837459363,0.02813327349983242,0.35,0.05
5,1,3,0,0.0,0.0,0.0,0.2,0.1
5,2,0,3,0.00036372453928225026,0.0,0.0012071045896496428,0.2,0.05
5,2,1,20,0.0024248302618816685,0.0018379846015992953,0.0036878534695128583,0.35,0.05
5,2,2,8217,0.9962415130940834,0.9941747654895002,0.997196536938913,0.1,0.85
5,2,3,8,0.0009699321047526673,0.0005056883619931347,0.0016567328689273955,0.35,0.05
5,3,0,0,0.0,0.0,0.0,0.2,0.05
5,3,1,0,0.0,0.0,0.0,0.35,0.15
5,3,2,8,0.00300187617260788,0.0018806840448784509,0.006913416269956072,0.35,0.2
5,3,3,2657,0.9969981238273922,0.9930865837300439,0.9981193159551215,0.1,0.6
10,0,0,3922,0.9809904952476238,0.9630975552518601,0.9907025236157784,0.1,0.7
10,0,1,76,0.01900950475237619,0.009297476384221633,0.03690244474813987,0.35,0.1
10,0,2,0,0.0,0.0,0.0,0.35,0.15
10,0,3,0,0.0,0.0,0.0,0.2,0.05
10,1,0,71,0.12956204379562045,0.048036207690536493,0.21844724861611683,0.35,0.05
10,1,1,454,0.8284671532846716,0.7451276886567896,0.9089079153928777,0.1,0.8
10,1,2,23,0.041970802919708027,0.03210922624199412,0.05731527739010065,0.35,0.05
10,1,3,0,0.0,0.0,0.0,0.2,0.1
10,2,0,5,0.0012138868657441126,0.00019592284631639954,0.00390458408135431,0.2,0.05
10,2,1,17,0.004127215343529983,0.003124297857449938,0.0056486842334722625,0.35,0.05
