stride_s,source_state,target_state,transition_count,empirical_probability,ci95_lower,ci95_upper,zuo_fast_probability,zuo_slow_probability
1,0,0,45107,0.999468214752609,0.9991812549274143,0.9995911899810742,0.1,0.7
1,0,1,24,0.0005317852473909286,0.0004088100189257684,0.0008187450725857608,0.35,0.1
1,0,2,0,0.0,0.0,0.0,0.35,0.15
1,0,3,0,0.0,0.0,0.0,0.2,0.05
1,1,0,24,0.0005737234652897303,0.0004223918313720684,0.0009137267553118048,0.35,0.05
1,1,1,41799,0.9992111302352267,0.9988148719996075,0.9994140237294286,0.1,0.8
1,1,2,9,0.0002151462994836489,0.00010294156849560257,0.0003605616900713042,0.35,0.05
1,1,3,0,0.0,0.0,0.0,0.2,0.1
1,2,0,0,0.0,0.0,0.0,0.2,0.05
1,2,1,9,0.0006837866585625285,0.0003846087324160197,0.0015044946794987547,0.35,0.05
1,2,2,13153,0.9993162133414375,0.9984955053205012,0.9996153912675839,0.1,0.85
1,2,3,0,0.0,0.0,0.0,0.35,0.05
1,3,0,0,,,,0.2,0.05
1,3,1,0,,,,0.35,0.15
1,3,2,0,,,,0.35,0.2
1,3,3,0,,,,0.1,0.6
5,0,0,8995,0.997449545353737,0.9958944843896796,0.9980971066871237,0.1,0.7
5,0,1,23,0.0025504546462630294,0.0019028933128763016,0.004105515610320353,0.35,0.1
5,0,2,0,0.0,0.0,0.0,0.35,0.15
5,0,3,0,0.0,0.0,0.0,0.2,0.05
5,1,0,23,0.002750538148768237,0.002030408649000767,0.00442514708337835,0.35,0.05
5,1,1,8331,0.996292752929921,0.9942841822718347,0.9972294848928034,0.1,0.8
5,1,2,8,0.0009567089213106913,0.000499620783637067,0.0016143486850075306,0.35,0.05
5,1,3,0,0.0,0.0,0.0,0.2,0.1
5,2,0,0,0.0,0.0,0.0,0.2,0.05
5,2,1,8,0.0030383592859855677,0.0018959549847236245,0.0071227478526578545,0.35,0.05
5,2,2,2625,0.9969616407140144,0.9928772521473421,0.9981040450152764,0.1,0.85
5,2,3,0,0.0,0.0,0.0,0.35,0.05
5,3,0,0,,,,0.2,0.05
5,3,1,0,,,,0.35,0.15
5,3,2,0,,,,0.35,0.2
5,3,3,0,,,,0.1,0.6
10,0,0,4481,0.9948934280639432,0.9917555244874179,0.9961913863145274,0.1,0.7
10,0,1,23,0.005106571936056839,0.003808613685472604,0.008244475512582174,0.35,0.1
10,0,2,0,0.0,0.0,0.0,0.35,0.15
10,0,3,0,0.0,0.0,0.0,0.2,0.05
10,1,0,23,0.005506344266219775,0.004066313896608199,0.008844671201814059,0.35,0.05
10,1,1,4146,0.9925784055542255,0.9885624877343601,0.9944560279537077,0.1,0.8
10,1,2,8,0.0019152501795547043,0.000999643588420915,0.003227083737072989,0.35,0.05
10,1,3,0,0.0,0.0,0.0,0.2,0.1
10,2,0,0,0.0,0.0,0.0,0.2,0.05
10,2,1,8,0.006074411541381929,0.0037913794341519463,0.01424665061754238,0.35,0.05
10,2,2,1309,0.9939255884586181,0.9857533493824576,0.996208620565848,0.1,0.85
10,2,3,0,0.0,0.0,0.0,0.35,0.05
10,3,0,0,,,,0.2,0.05
10,3,1,0,,,,0.35,0.15
10,3,2,0,,,,0.35,0.2
10,3,3,0,,,,0.1,0.6
30,0,0,1476,0.9846564376250834,0.9751345019983381,0.988551417524494,0.1,0.7
30,0,1,23,0.015343562374916611,0.01144858247550601,0.024865498001661983,0.35,0.1
30,0,2,0,0.0,0.0,0.0,0.35,0.15
30,0,3,0,0.0,0.0,0.0,0.2,0.05
30,1,0,17,0.012239020878329733,0.008195884911341586,0.021305840180572244,0.35,0.05
30,1,1,1364,0.9820014398848093,0.9714695476167466,0.9866911103906446,0.1,0.8
30,1,2,8,0.005759539236861051,0.003011709506692437,0.009758702928031743,0.35,0.05
30,1,3,0,0.0,0.0,0.0,0.2,0.1
30,2,0,6,0.0136986301369863,0.00578659188034188,0.039252735978112144,0.2,0.05
30,2,1,2,0.0045662100456621,0.0,0.00847457627118644,0.35,0.05
30,2,2,430,0.9817351598173516,0.9574100093670548,0.9886043360433604,0.1,0.85
30,2,3,0,0.0,0.0,0.0,0.35,0.05
30,3,0,0,,,,0.2,0.05
30,3,1,0,,,,0.35,0.15
30,3,2,0,,,,0.35,0.2
30,3,3,0,,,,0.1,0.6
60,0,0,720,0.9690444145356663,0.9495519787950523,0.976961543220495,0.1,0.7
60,0,1,23,0.03095558546433378,0.023038456779505008,0.05044802120494782,0.35,0.1
60,0,2,0,0.0,0.0,0.0,0.35,0.15
60,0,3,0,0.0,0.0,0.0,0.2,0.05
60,1,0,16,0.023054755043227664,0.016365277151088126,0.03873600675326255,0.35,0.05
60,1,1,670,0.9654178674351584,0.9468727131031467,0.9736548200397902,0.1,0.8
60,1,2,8,0.011527377521613832,0.006060239639441574,0.019673285615331333,0.35,0.05
60,1,3,0,0.0,0.0,0.0,0.2,0.1
60,2,0,6,0.0273972602739726,0.011627906976744186,0.07855392156862734,0.2,0.05
60,2,1,2,0.0091324200913242,0.0,0.01694915254237288,0.35,0.05
60,2,2,211,0.9634703196347032,0.9148607827685842,0.9772727272727273,0.1,0.85
60,2,3,0,0.0,0.0,0.0,0.35,0.05
60,3,0,0,,,,0.2,0.05
60,3,1,0,,,,0.35,0.15
60,3,2,0,,,,0.35,0.2
60,3,3,0,,,,0.1,0.6
