event_id,canonical_row_6104,original_index,health_progress_h,i0_A_per_cm2,ih_A_per_cm2,R_ohm_reported_ohm_cm2,i0_A_per_cm2_monotone,ih_A_per_cm2_monotone,R_ohm_reported_ohm_cm2_monotone
LZW-E000001,1,1,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000002,2,2,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000003,3,3,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000004,4,4,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000005,5,5,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000006,6,6,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000007,7,7,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000008,8,8,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000009,9,9,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000010,10,10,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000011,11,11,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000012,12,12,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000013,13,13,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000014,14,14,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000015,15,15,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000016,16,16,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000017,17,17,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000018,18,18,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000019,19,19,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000020,20,20,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000021,21,21,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000022,22,22,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000023,23,23,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000024,24,24,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000025,25,25,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000026,26,26,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000027,27,27,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000028,28,28,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000029,29,29,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000030,30,30,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000031,31,31,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000032,32,32,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000033,33,33,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000034,34,34,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000035,35,35,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000036,36,36,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000037,37,37,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000038,38,38,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000039,39,39,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000040,40,40,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000041,41,41,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000042,42,42,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000043,43,43,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000044,44,44,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000045,45,45,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000046,46,46,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000047,47,47,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000048,48,48,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000049,49,49,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000050,50,50,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000051,51,51,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000052,52,52,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000053,53,53,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000054,54,54,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000055,55,55,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000056,56,56,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000057,57,57,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000058,58,58,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000059,59,59,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000060,60,60,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000061,61,61,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000062,62,62,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000063,63,63,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000064,64,64,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000065,65,65,0.0,1.907e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000066,66,66,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000067,67,67,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000068,68,68,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000069,69,69,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000070,70,70,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000071,71,71,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000072,72,72,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000073,73,73,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000074,74,74,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000075,75,75,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000076,76,76,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000077,77,77,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000078,78,78,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000079,79,79,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000080,80,80,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000081,81,81,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000082,82,82,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000083,83,83,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000084,84,84,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
LZW-E000085,85,85,0.0,1.90699e-07,0.002,0.0406,1.907e-07,0.002,0.0406
