split,model,feature,coefficient
train70_validation15,constant_segment,constant,3.949865804012452e-05
train70_validation15,event_count_clock,event_count,3.993310133720432e-06
train70_validation15,elapsed_clock,elapsed_samples,2.0730686284348982e-09
train70_validation15,stack_on_clock,stack_on_samples,2.5127617817983225e-09
train70_validation15,load_on_clock,load_on_samples,2.5328941721550984e-09
train70_validation15,charge_throughput,charge_ampere_samples,1.5111974749620858e-11
train70_validation15,stack_on_plus_charge,stack_on_samples,2.5127617817983225e-09
train70_validation15,stack_on_plus_charge,charge_ampere_samples,0.0
train85_test15,constant_segment,constant,4.558676090695819e-05
train85_test15,event_count_clock,event_count,4.639904450358546e-06
train85_test15,elapsed_clock,elapsed_samples,2.3956474292165355e-09
train85_test15,stack_on_clock,stack_on_samples,2.9126469096812968e-09
train85_test15,load_on_clock,load_on_samples,2.936416041480608e-09
train85_test15,charge_throughput,charge_ampere_samples,1.736412951628878e-11
train85_test15,stack_on_plus_charge,stack_on_samples,2.9126469096812968e-09
train85_test15,stack_on_plus_charge,charge_ampere_samples,0.0
rolling_train60_next10,constant_segment,constant,3.7723712009798056e-05
rolling_train60_next10,event_count_clock,event_count,3.927537090197834e-06
rolling_train60_next10,elapsed_clock,elapsed_samples,2.0281886724794585e-09
rolling_train60_next10,stack_on_clock,stack_on_samples,2.505758756000102e-09
rolling_train60_next10,load_on_clock,load_on_samples,2.526947178396517e-09
rolling_train60_next10,charge_throughput,charge_ampere_samples,1.5358108234614603e-11
rolling_train60_next10,stack_on_plus_charge,stack_on_samples,2.505758756000102e-09
rolling_train60_next10,stack_on_plus_charge,charge_ampere_samples,0.0
rolling_train70_next10,constant_segment,constant,3.949865804012452e-05
rolling_train70_next10,event_count_clock,event_count,3.993310133720432e-06
rolling_train70_next10,elapsed_clock,elapsed_samples,2.0730686284348982e-09
rolling_train70_next10,stack_on_clock,stack_on_samples,2.5127617817983225e-09
rolling_train70_next10,load_on_clock,load_on_samples,2.5328941721550984e-09
rolling_train70_next10,charge_throughput,charge_ampere_samples,1.5111974749620858e-11
rolling_train70_next10,stack_on_plus_charge,stack_on_samples,2.5127617817983225e-09
rolling_train70_next10,stack_on_plus_charge,charge_ampere_samples,0.0
rolling_train80_next10,constant_segment,constant,4.29649639272144e-05
rolling_train80_next10,event_count_clock,event_count,4.35142720951228e-06
rolling_train80_next10,elapsed_clock,elapsed_samples,2.2630581389711803e-09
rolling_train80_next10,stack_on_clock,stack_on_samples,2.754024346522664e-09
rolling_train80_next10,load_on_clock,load_on_samples,2.777037987111229e-09
rolling_train80_next10,charge_throughput,charge_ampere_samples,1.641065915759179e-11
rolling_train80_next10,stack_on_plus_charge,stack_on_samples,2.754024346522664e-09
rolling_train80_next10,stack_on_plus_charge,charge_ampere_samples,0.0
rolling_train90_next10,constant_segment,constant,4.75078633490524e-05
rolling_train90_next10,event_count_clock,event_count,4.7998334246824395e-06
rolling_train90_next10,elapsed_clock,elapsed_samples,2.466374274645137e-09
rolling_train90_next10,stack_on_clock,stack_on_samples,3.0005689150860337e-09
rolling_train90_next10,load_on_clock,load_on_samples,3.0249716324741363e-09
rolling_train90_next10,charge_throughput,charge_ampere_samples,1.7870302435076386e-11
rolling_train90_next10,stack_on_plus_charge,stack_on_samples,3.0005689150860337e-09
rolling_train90_next10,stack_on_plus_charge,charge_ampere_samples,0.0
