transition_id,source_segment_start,source_segment_stop,raw_start_index_1based,raw_stop_index_1based_exclusive,original_event_start,original_event_stop,event_count,elapsed_samples,stack_on_samples,load_on_samples,charge_ampere_samples,mean_loaded_current_A,nonfinite_current_samples,health_loss_start,health_loss_stop,delta_health_loss,crosses_deleted_event_gap,eligible_for_model,constant
0,2,3,6057,12026,1,7,6,5969,4853,4689,1273749.6,271.6463211772233,0,0.0,0.0,0.0,False,True,1.0
1,3,4,12026,16157,7,12,5,4131,3875,3712,667940.5,179.94086745689654,0,0.0,0.0,0.0,False,True,1.0
2,4,5,16157,28938,12,20,8,12781,11052,10879,2169793.2,199.4478536630205,0,0.0,0.0,0.0,False,True,1.0
3,5,6,28938,46655,20,30,10,17717,13678,13496,2496382.2,184.97200652045052,0,0.0,0.0,0.0,False,True,1.0
4,6,7,46655,61647,30,36,6,14992,9340,9194,1046880.2000000001,113.86558625190342,0,0.0,0.0,0.0,False,True,1.0
5,7,8,61647,75835,36,42,6,14188,9030,8884,1031609.9,116.11997973885637,0,0.0,0.0,0.0,False,True,1.0
6,8,9,75835,88888,42,51,9,13053,10528,10385,1943487.6000000003,187.1437265286471,0,0.0,0.0,0.0,False,True,1.0
7,9,10,88888,105014,51,59,8,16126,12419,12246,2218338.2,181.147983014862,0,0.0,0.0,0.0,False,True,1.0
8,10,11,105014,123122,59,68,9,18108,15492,15343,1730200.1,112.76804405918008,0,0.0,2.1582477847963567e-07,2.1582477847963567e-07,False,True,1.0
9,11,12,123122,131338,68,75,7,8216,8215,8069,1386230.8000000003,171.79710001239312,0,2.1582477847963567e-07,2.1582477847963567e-07,0.0,False,True,1.0
10,12,13,131338,159904,75,88,13,28566,20660,20485,3221243.6,157.24889431291191,0,2.1582477847963567e-07,2.1582477847963567e-07,0.0,False,True,1.0
11,13,14,159904,167642,88,95,7,7738,5841,5695,848241.1,148.94488147497805,0,2.1582477847963567e-07,2.1582477847963567e-07,0.0,False,True,1.0
12,14,15,167642,192468,95,107,12,24826,21147,21002,2999371.0,142.81358918198268,0,2.1582477847963567e-07,1.3541305882222374e-05,1.3325481103742738e-05,False,True,1.0
13,15,16,192468,208453,107,117,10,15985,11318,11141,1836334.9000000001,164.8267570236065,0,1.3541305882222374e-05,1.3541305882222374e-05,0.0,False,True,1.0
14,16,17,208453,221747,117,123,6,13294,8341,8198,908803.2000000001,110.85669675530617,0,1.3541305882222374e-05,1.3541305882222374e-05,0.0,False,True,1.0
15,17,18,221747,237176,123,131,8,15429,12165,12024,1828331.8000000003,152.05686959414504,0,1.3541305882222374e-05,1.3757132924238998e-05,2.158270420166232e-07,False,True,1.0
16,18,19,237176,252958,131,143,12,15782,12386,12211,2199581.1,180.1311194824339,0,1.3757132924238998e-05,2.7298445597072334e-05,1.3541312672833337e-05,False,True,1.0
17,19,20,252958,266645,143,152,9,13687,11092,10994,1201270.1,109.26597234855376,0,2.7298445597072334e-05,2.7298445597072334e-05,0.0,False,True,1.0
18,20,21,266645,276186,152,160,8,9541,6988,6838,1257259.2000000002,183.863585843814,0,2.7298445597072334e-05,2.7514276034314588e-05,2.1583043724225385e-07,False,True,1.0
19,21,22,276186,292570,160,168,8,16384,11692,11519,2205745.6,191.48759440923692,0,2.7514276034314588e-05,2.7298445597072334e-05,-2.1583043724225385e-07,False,True,1.0
20,22,23,292570,303432,168,176,8,10862,8837,8692,941339.7000000002,108.29955131155086,0,2.7298445597072334e-05,2.7298445597072334e-05,0.0,False,True,1.0
21,23,24,303432,321848,176,186,10,18416,14633,14489,2271154.7,156.75027262060874,0,2.7298445597072334e-05,4.0623931228208464e-05,1.332548563113613e-05,False,True,1.0
22,24,25,321848,337626,186,195,9,15778,11181,11015,1963302.6,178.2390013617794,0,4.0623931228208464e-05,4.0839762797458776e-05,2.1583156925031197e-07,False,True,1.0
23,25,26,337626,349371,195,202,7,11745,9045,8900,988083.0,111.0205617977528,0,4.0839762797458776e-05,4.0839762797458776e-05,0.0,False,True,1.0
24,26,27,349371,365406,202,212,10,16035,13532,13388,1966248.4000000001,146.8664774424858,0,4.0839762797458776e-05,4.1055595498397723e-05,2.158327009389472e-07,False,True,1.0
25,27,28,365406,392286,212,224,12,26880,20705,20531,3228626.900000001,157.25619307388826,0,4.1055595498397723e-05,6.835408636844572e-05,2.7298490870048e-05,False,True,1.0
26,28,29,392286,409421,224,233,9,17135,15129,14972,2302740.7,153.80314587229498,0,6.835408636844572e-05,6.813824800810534e-05,-2.158383603403886e-07,False,True,1.0
27,29,30,409421,436841,233,249,16,27420,21251,21075,3397685.5000000005,161.2187663107948,0,6.813824800810534e-05,8.167958105436863e-05,1.3541333046263295e-05,False,True,1.0
28,30,31,436841,443792,249,257,8,6951,5869,5722,816700.4,142.72988465571478,0,8.167958105436863e-05,8.167958105436863e-05,0.0,False,True,1.0
29,31,32,443792,469038,257,270,13,25246,21845,21698,3262198.3000000003,150.34557562909023,0,8.167958105436863e-05,8.211126343461058e-05,4.316823802419487e-07,False,True,1.0
30,32,33,469038,485129,270,279,9,16091,12115,11940,2173204.5000000005,182.01042713567838,0,8.211126343461058e-05,8.232710632250408e-05,2.1584288789349858e-07,False,True,1.0
31,33,34,485129,499325,279,289,10,14196,9133,8987,993251.2000000001,110.52088572382331,0,8.232710632250408e-05,9.586845068804939e-05,1.3541344365545314e-05,False,True,1.0
32,34,35,499325,512921,289,298,9,13596,11140,10990,2152185.2,195.83122838944496,0,9.586845068804939e-05,9.608429697212676e-05,2.1584628407737253e-07,False,True,1.0
33,35,36,512921,529040,298,308,10,16119,12742,12567,2220641.4000000004,176.70417760802104,0,9.608429697212676e-05,0.000109625648129401,1.3541351157274236e-05,False,True,1.0
34,36,37,529040,543600,308,319,11,14560,14559,14408,1664194.9000000001,115.50492087729039,0,0.000109625648129401,0.00012423429911505272,1.4608650985651716e-05,False,True,1.0
35,37,38,543600,556699,319,328,9,13099,8713,8561,1609740.6,188.031842074524,0,0.00012423429911505272,0.00013670836402836556,1.2474064913312846e-05,False,True,1.0
36,38,39,556699,583835,328,340,12,27136,22131,21953,3574386.1,162.81993804946933,0,0.00013670836402836556,0.0001650742520769285,2.836588804856294e-05,False,True,1.0
37,39,40,583835,590825,340,347,7,6990,5446,5298,755685.8,142.63605134012835,0,0.0001650742520769285,0.00016529011194542194,2.1585986849343526e-07,False,True,1.0
38,40,41,590825,614939,347,363,16,24114,21735,21590,3321642.3000000007,153.85096340898565,0,0.00016529011194542194,0.0001788314902724866,1.3541378327064661e-05,False,True,1.0
39,41,42,614939,645565,363,374,11,30626,21410,21236,3736509.3000000003,175.95165285364476,0,0.0001788314902724866,0.00020613012830613715,2.7298638033650553e-05,False,True,1.0
40,42,43,645565,647974,374,380,6,2409,1671,1522,258062.2,169.55466491458608,0,0.00020613012830613715,0.00021945565242554715,1.3325524119409994e-05,False,True,1.0
41,43,44,647974,660207,380,389,9,12233,10219,10055,2431209.1,241.79105917453998,0,0.00021945565242554715,0.00020613012830613715,-1.3325524119409994e-05,False,True,1.0
42,44,45,660207,687686,389,399,10,27479,21712,21533,3393204.9,157.58161426647473,0,0.00020613012830613715,0.00020656186728997602,4.317389838388668e-07,False,True,1.0
43,45,46,687686,704797,399,410,11,17111,14911,14761,2356596.2,159.65017275252356,0,0.00020656186728997602,0.0002196715224837102,1.3109655193734173e-05,False,True,1.0
44,46,47,704797,731892,410,425,15,27095,21676,21500,3350373.0,155.8313023255814,0,0.0002196715224837102,0.00024718607699663795,2.7514554512927757e-05,False,True,1.0
45,47,48,731892,750148,425,435,10,18256,15108,14959,2336897.4000000004,156.22016177551976,0,0.00024718607699663795,0.00024761783409691783,4.317571002798856e-07,False,True,1.0
46,48,49,750148,766521,435,444,9,16373,12345,12170,2305450.9000000004,189.4372144617913,0,0.00024761783409691783,0.00024890102610648595,1.283192009568111e-06,False,True,1.0
47,49,50,766521,780692,444,450,6,14171,9333,9185,1072603.0,116.7776810016331,0,0.00024890102610648595,0.00026222656268117873,1.3325536574692784e-05,False,True,1.0
48,50,51,780692,795604,450,459,9,14912,11411,11256,2029881.5,180.33773098791755,0,0.00026222656268117873,0.0002628742136178597,6.476509366809633e-07,False,True,1.0
49,51,52,795604,821387,459,470,11,25783,20069,19893,3229018.7,162.31934348765898,0,0.0002628742136178597,0.00027641564176477773,1.3541428146918036e-05,False,True,1.0
50,52,53,821387,839096,470,483,13,17709,15524,15373,2428818.8000000003,157.9925063422884,0,0.00027641564176477773,0.00029167207738224464,1.5256435617466908e-05,False,True,1.0
51,53,54,839096,855400,483,494,11,16304,12853,12679,2364270.0,186.47133054657309,0,0.00029167207738224464,0.0003320805234757544,4.040844609350976e-05,False,True,1.0
52,54,55,855400,874389,494,503,9,18989,16476,16328,1936946.7000000002,118.62730891719747,0,0.0003320805234757544,0.0003589475357608685,2.6867012285114087e-05,False,True,1.0
53,55,56,874389,897876,503,519,16,23487,20288,20138,3398230.9000000004,168.74718939318703,0,0.0003589475357608685,0.000373136716768633,1.4189181007764505e-05,False,True,1.0
54,56,57,897876,923894,519,528,9,26018,20227,20051,3373031.1,168.2225874021246,0,0.000373136716768633,0.0003866781902163158,1.3541473447682803e-05,False,True,1.0
55,57,58,923894,940251,528,537,9,16357,14718,14568,2193285.6,150.55502471169692,0,0.0003866781902163158,0.0003879614457296513,1.283255513335514e-06,False,True,1.0
56,58,59,940251,956648,537,544,7,16397,13137,12960,2442693.2,188.47941358024693,0,0.0003879614457296513,0.0004015029259733752,1.354148024372391e-05,False,True,1.0
57,59,60,956648,968173,544,551,7,11525,9268,9118,1114254.5999999999,122.20383856108796,0,0.0004015029259733752,0.00040193475555411217,4.3182958073696015e-07,False,True,1.0
58,60,61,968173,985620,551,559,8,17447,15543,15394,2506516.7,162.82426269975315,0,0.00040193475555411217,0.00041526032723718514,1.3325571683072963e-05,False,True,1.0
59,61,62,985620,1011845,559,570,11,26225,21832,21655,3518790.2,162.4931978757793,0,0.00041526032723718514,0.00042901773869529614,1.3757411458111002e-05,False,True,1.0
60,62,63,1011845,1019413,570,577,7,7568,6139,5988,899078.1000000001,150.14664328657315,0,0.00042901773869529614,0.0004292336597157016,2.1592102040547418e-07,False,True,1.0
61,63,64,1019413,1042980,577,590,13,23567,21659,21511,3254585.6000000006,151.2986657988936,0,0.0004292336597157016,0.00044384252150112094,1.4608861785419332e-05,False,True,1.0
62,64,65,1042980,1070021,590,603,13,27041,22247,22071,3525595.9000000004,159.73883829459473,0,0.00044384252150112094,0.00044449029815553734,6.477766544163931e-07,False,True,1.0
63,65,66,1070021,1083977,603,614,11,13956,10690,10542,1800409.5,170.78443369379625,0,0.00044449029815553734,0.00044513808500537284,6.477868498355006e-07,False,True,1.0
64,66,67,1083977,1085612,614,619,5,1635,1362,1223,206439.60000000003,168.7977105478332,0,0.00044513808500537284,0.00045824774019926674,1.3109655193893903e-05,False,True,1.0
65,67,68,1085612,1118768,619,633,14,33156,23177,22995,3750721.4000000004,163.1103022396173,0,0.00045824774019926674,0.0005005875051262366,4.233976492696982e-05,False,True,1.0
66,68,69,1118768,1132588,633,641,8,13820,10733,10580,2175588.5,205.6321833648393,0,0.0005005875051262366,0.0005141290442768616,1.3541539150625022e-05,False,True,1.0
67,69,70,1132588,1158599,641,655,14,26011,19762,19589,3202233.2000000007,163.47098882025628,0,0.0005141290442768616,0.000568295246200569,5.416620192370738e-05,False,True,1.0
68,70,71,1158599,1176999,655,666,11,18400,15068,14916,2324930.3000000003,155.86821533923305,0,0.000568295246200569,0.0005820527630203936,1.3757516819824659e-05,False,True,1.0
69,71,72,1176999,1192909,666,677,11,15910,11887,11714,2132594.0,182.05514768652893,0,0.0005820527630203936,0.0005824846764368039,4.3191341641028117e-07,False,True,1.0
70,72,73,1192909,1207298,677,683,6,14389,9318,9173,1102789.8,120.22127984301756,0,0.0005824846764368039,0.0005968776841276416,1.4393007690837682e-05,False,True,1.0
71,73,74,1207298,1221933,683,692,9,14635,11477,11329,2096807.1,185.08315826639597,0,0.0005968776841276416,0.0005970936436687416,2.159595411000293e-07,False,True,1.0
72,74,75,1221933,1234490,692,704,12,12557,12556,12382,2409721.5,194.61488450977225,0,0.0005970936436687416,0.0005841999491490738,-1.2893694519667837e-05,False,True,1.0
73,75,76,1234490,1249106,704,711,7,14616,9163,9018,1053303.8,116.80015524506543,0,0.0005841999491490738,0.0005977415290911172,1.3541579942043442e-05,False,True,1.0
