step,block,requested_current_a,is_on,load_increment_pct,natural_increment_pct,ramp_increment_pct,shift_increment_pct,start_stop_increment_pct,total_increment_pct,damage_pct,theta_i0_a_per_cm2,theta_ih_a_per_cm2,theta_r_ohm_cm2,actual_cell_voltage_v,actual_stack_power_kw,diagnostic_cell_voltage_270a_v,diagnostic_stack_power_270a_kw
0,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
1,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
2,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
3,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
4,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
5,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
6,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
7,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
8,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
9,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
10,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
11,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
12,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
13,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
14,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
15,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
16,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
17,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
18,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
19,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
20,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
21,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
22,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
23,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
24,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
25,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
26,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
27,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
28,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
29,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
30,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
31,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
32,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
33,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
34,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
35,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
36,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
37,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
38,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
39,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
40,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
41,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7412114122222224,1.8912723127094248e-07,0.0028422385261440614,0.045848911126942546,0.914690878225413,0.0,0.7179993318556427,32.956169332174
