candidate_id,horizon,forecast_mode,confidence_form,confidence_rate,trend_weight,trusted_steps,forecast_block_size,move_block_size,max_horizon_switches,min_dwell,w_hydrogen,w_degradation_proxy,w_battery_use,w_soc,w_switch,w_smooth,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,internal_objective_sum,runtime_s,calibration_runs,selection_score,pareto
12,5,window_mean,adaptive,0.35,0.5,5,2,1,1,60,0.3,3.5,1.5,5.0,0.03,0.3,10.0,7200.0,1.0695806479439829,825.9946222318044,0.7140285267904976,0.014028526790497597,46.38810041295429,77.0,408.1437996698264,13939.41056115691,9.888238599873148,2,4.387094990027778,True
23,10,block_mean,linear,0.02,0.5,5,5,2,1,40,0.15,3.5,1.0,8.0,0.03,0.8,20.0,7200.0,1.0309811238384117,778.5346313133812,0.6905353537810066,-0.009464646218993344,45.33284363619504,105.0,584.0488106306329,16913.249820174435,20.781116199912503,2,4.402051526596444,True
47,3,block_mean,linear,0.05,1.0,2,2,1,2,60,0.3,2.0,1.0,8.0,0.6,0.01,6.0,7200.0,1.0843118672886212,909.1929028506248,0.7137694598177361,0.01376945981773614,46.40489280922465,77.0,429.75284104858645,18091.330683769498,5.168218799983151,2,4.5632383822363325,False
28,5,cumulative_mean,linear,0.35,0.5,3,5,1,1,25,0.7,2.0,0.5,5.0,0.6,0.1,10.0,7200.0,1.0452062072561998,783.8738849809732,0.692602629013321,-0.0073973709866789195,44.87095301172059,166.0,870.6886862695447,10068.451802934875,10.501665499992669,2,4.964586046943959,True
14,3,block_mean,linear,0.02,0.5,3,3,5,1,40,1.0,1.25,0.5,5.0,0.3,0.04,6.0,7200.0,1.0712766472778141,904.6795332133264,0.7187854104072108,0.018785410407210823,45.755358126749655,106.0,614.1087312583358,11446.26543260234,4.69493830006104,2,5.08279060041404,False
21,10,window_mean,linear,0.1,0.25,1,3,5,1,15,0.15,0.75,1.5,8.0,0.15,0.01,20.0,7200.0,1.0389638641583814,815.681944855829,0.6954537745400176,-0.0045462254599824,43.517775241755174,256.0,1418.7171352109258,13661.044462913433,16.673589900135994,2,5.9392363600229094,True
1,10,raw,exponential,0.2,0.5,2,2,2,2,15,1.0,3.5,2.5,8.0,0.3,0.01,20.0,7200.0,1.0283083709615362,788.1070998685029,0.6906555475506101,-0.009344452449389862,43.90237632713244,254.0,1386.303391608,18210.29138856474,25.550500400015153,2,6.029391470533066,False
6,5,window_mean,linear,0.05,0.25,2,2,3,1,15,0.45,2.0,1.5,3.0,0.3,0.01,10.0,7200.0,1.0026019936241473,716.2536412539135,0.6804260403249206,-0.019573959675079355,43.67800744923251,245.0,1246.579039262911,8059.500724914021,8.22563729993999,2,6.08868437762043,True
16,10,window_mean,hard_fallback,0.35,0.75,2,5,2,2,15,0.15,0.75,1.5,5.0,0.08,0.8,20.0,7200.0,1.0330944633224524,846.6466295887633,0.6824442854202893,-0.017555714579710613,43.943955806459705,259.0,1454.8303316915594,9442.398737321886,24.513819599873386,2,6.565119320262597,False
19,5,block_mean,exponential,0.05,0.25,1,3,2,2,10,0.7,1.25,0.5,8.0,0.08,0.04,10.0,7200.0,1.0402691620749949,879.4479110786588,0.6931939479293857,-0.0068060520706142436,42.48380583785568,329.0,1778.398224927385,12597.150070995907,10.062775799888186,2,6.900381986601843,True
