strategy,horizon_s,cost_hydrogen,cost_proxy,cost_battery,cost_soc_tracking,cost_switch,cost_smooth,internal_objective_sum
constant,3,207.04864864864865,450.1335360414013,736.4465374183604,1811.0685727216592,9.200000000000001,4.7144879477954245,3218.6117827778653
constant,5,206.8783783783784,456.25903330727886,729.807055066312,1798.601122423086,9.600000000000001,4.868301897894661,3206.01389107295
constant,10,212.19324324324322,516.9022215843477,721.5312177458579,1526.1470282018934,9.400000000000002,4.855649420085062,2991.0293601954268
instant,1,206.22770270270274,405.1767532228632,735.917771636519,1938.2627888337092,5.3999999999999995,2.859385768794768,3293.8444021645887
perfect,3,206.50743243243244,445.81465489055984,724.6872832695705,1723.2530733897595,9.2,4.8183691047372905,3114.28081308706
perfect,5,206.2398648648649,443.38270145348235,722.5863101251686,1770.9809562333708,7.8,4.112866984604153,3155.1026996614905
perfect,10,206.44662162162163,451.2792603313644,721.7724522267979,1733.4372507970845,7.0,3.5311211077214777,3123.4667060845895
predicted,3,206.34324324324325,438.3189490684297,727.5710157207644,1722.8660094616139,8.799999999999999,4.725480085267205,3108.6246975793183
predicted,5,206.00270270270272,436.34268981961065,722.2620441698438,1726.7824198997982,8.4,4.272187079960175,3104.0620436719155
predicted,10,206.03918918918922,438.9466769158121,720.7255476325007,1693.9539463670233,8.799999999999999,4.419029134584674,3072.88438923911
